币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SUI,3.6723,27.2,A,1759774005317,2025-10-07 02:06:45.317,0.0,Open Short,0.0,0x5a7592c6600ea25b5bef042cf6edc502023f00abfb01c12dfe3e3e191f027c45,188623631463,False,0.014982,813042905995168,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0xbe00bfcec8ef4e11a2deaf0a8e525e4f
SUI,3.6723,54.4,A,1759774005408,2025-10-07 02:06:45.408,-27.2,Open Short,0.0,0x48022386580223af497b042cf6edc60203fa006bf3054281ebcaced91705fd99,188623631463,False,0.029964,853977347599807,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0xbe00bfcec8ef4e11a2deaf0a8e525e4f
SUI,3.6723,27.2,A,1759774005561,2025-10-07 02:06:45.561,-81.6,Open Short,0.0,0x49863b34a82407784aff042cf6edc80202c2001a4327264aed4ee6876727e162,188623631463,False,0.014982,738123677672278,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0xbe00bfcec8ef4e11a2deaf0a8e525e4f
SUI,3.6723,27.2,A,1759774005676,2025-10-07 02:06:45.676,-108.8,Open Short,0.0,0x43fe138d5735c9074577042cf6edc90204160072f238e7d9e7c6bee01639a2f1,188623631463,False,0.014982,412245065499438,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0xbe00bfcec8ef4e11a2deaf0a8e525e4f
SUI,3.6723,36.7,A,1759774012684,2025-10-07 02:06:52.684,-136.0,Open Short,0.0,0x7474b4881105655075ee042cf6ee27020265006dac088422183d5fdad0093f3b,188623631463,False,0.020215,1036131786042985,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0xbe00bfcec8ef4e11a2deaf0a8e525e4f
DYM,0.18875,3360.8,B,1759774151956,2025-10-07 02:09:11.956,-2440.7,Short > Long,-14.668607,0x59b64de9b347eacb5b30042cf6f51a02082a00cf4e4b099dfd7ef93c724bc4b5,188623633928,False,0.095152,515275295834170,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0x9bf6db8b96154415804c2d8fcf5508a7
APE,0.58052,800.7,B,1759774234150,2025-10-07 02:10:34.150,634.8,Open Long,0.0,0x22693e8336b7291223e2042cf6f92e020b150068d1ba47e4c631e9d5f5bb02fc,188623591111,False,0.069723,899163186553302,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0x2c02ed9c0ccf43d6a1dbc26a989bff58
FXS,2.3359,171.0,B,1759775411434,2025-10-07 02:30:11.434,-806.7,Close Short,-18.63558,0xca6ba64b91d3d095cbe5042cf7323d02020c00312cd6ef676e34519e50d7aa80,188623659210,False,0.059915,957190784533699,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0x211df721d69e42388ae51a00a24d048a
FXS,2.3359,286.0,B,1759775411434,2025-10-07 02:30:11.434,-635.7,Close Short,-31.16828,0xca6ba64b91d3d095cbe5042cf7323d02020c00312cd6ef676e34519e50d7aa80,188623749800,False,0.10021,160942170278193,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0x8e996a7b69524948a11ddaabda2a1528
BOME,0.001787,10431.0,B,1759775419864,2025-10-07 02:30:19.864,32934.0,Open Long,0.0,0xb473ddd22fdbfd9eb5ed042cf732a302026e00b7cadf1c70583c8924eedfd789,188623633941,False,0.002796,2221543672816,USDC,,0x8f61ec1cff19cc648cf76b86182d1a065fd1bf67,,0x00bb024a267c4aff93eba6fb7529388d
