币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,196.503626,100.0,A,1761755065060,2025-10-30 00:24:25.060,0.0,Open Short,0.0,0x0675fa592a8f6c4407ef042e7137c102023b003ec5828b16aa3ea5abe983462e,216114599822,True,8.842661,839819804826924,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
SOL,196.52,50.0,A,1761755070629,2025-10-30 00:24:30.629,-100.0,Open Short,0.0,0xda978a7d4affbba3dc11042e71380b0203e80062e5f2da757e6035d009f3958e,216114672993,True,4.4217,800501274905826,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
BTC,111306.0,0.25,A,1761755078940,2025-10-30 00:24:38.940,0.0,Open Short,0.0,0x79fe544935fd69fa7b78042e71387e020299002ed0f088cc1dc6ff9bf4f143e5,216114774404,True,12.521921,1072425502197330,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
BTC,111306.0,0.25,A,1761755082768,2025-10-30 00:24:42.768,-0.25,Open Short,0.0,0xc144aa4a52c8fbcdc2be042e7138b3020725002fedcc1a9f650d559d11ccd5b8,216114821008,True,12.521924,1009592157591698,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
SOL,196.51,50.0,A,1761755210507,2025-10-30 00:26:50.507,-150.0,Open Short,0.0,0xcb7e449a65f08573ccf8042e713ef2020255008000f3a4456f46efed24f45f5e,216116631296,True,4.421473,973755644077995,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
SOL,196.45,50.0,A,1761755216131,2025-10-30 00:26:56.131,-200.0,Open Short,0.0,0x7c54cba7309bf9f77dce042e713f3f02024e008ccb9f18c9201d76f9ef9fd3e2,216116686015,True,4.420125,104490364166720,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
SOL,198.1,50.0,A,1761759712915,2025-10-30 01:41:52.915,-250.0,Open Short,0.0,0x7249daa1e7692daf73c3042e721c8402042a0087826c4c81161285f4a66d079a,216174767402,True,4.45725,1081921139050182,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
SOL,198.03423,50.0,A,1761759714537,2025-10-30 01:41:54.537,-300.0,Open Short,0.0,0x46e0f0a94bb9c4b4485a042e721c9902048e008ee6bce386eaa99bfc0abd9e9e,216174795001,True,4.455764,907247726722488,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
SOL,198.02074,50.0,A,1761759927204,2025-10-30 01:45:27.204,-350.0,Open Short,0.0,0x2254cc74c988913723ce042e7227180204b8005a648bb009c61d77c7888c6b21,216177972993,True,4.455463,436051257955692,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
SOL,196.983304,50.0,A,1761761955190,2025-10-30 02:19:15.190,-400.0,Open Short,0.0,0x7cefb5899b851dbf7e69042e7288fe0202da006f36883c9120b860dc5a88f7aa,216211110140,True,4.432122,260619438774853,USDC,,0x91c0f94fab9af7d1b70a58f4052325b524c7b9a9,,
