币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,45.039,0.36,A,1753223200420,2025-07-23 06:26:40.420,0.0,Open Short,0.0,0xadf639967784f55dd74904280928a70201550005d9229b89cbd2037522e1db59,119021714071,True,0.007296,97291312421410,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
FARTCOIN,1.6449,10.0,A,1753223212130,2025-07-23 06:26:52.130,0.0,Open Short,0.0,0xb7102ce93e6b88ec0a2404280929460202bb004023ead1e68dc5c1a622ed8cb4,119021777581,True,0.007402,92827789503548,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
HYPE,45.041,0.36,B,1753223243239,2025-07-23 06:27:23.239,-0.36,Close Short,-0.00072,0xc859f5d199c95295562d0428092ae302019e0022304f82b653b13f9930d79ae3,119021967926,True,0.007296,392849213332487,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
HYPE,45.004,0.36,A,1753223254011,2025-07-23 06:27:34.011,0.0,Open Short,0.0,0xb3af0be013f6a06805ba0428092b6602040c00541ebfaf4fbeb15c76caebf000,119022048276,True,0.00729,684521176667743,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
FARTCOIN,1.6449,10.0,B,1753223263461,2025-07-23 06:27:43.461,-10.0,Close Short,0.0,0x34da73c7cd2b45554cbf0428092bec01a50048741bd32a72afd567aa572a53f6,119022100228,True,0.007402,452208176266459,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
FARTCOIN,1.6451,10.0,A,1753223274354,2025-07-23 06:27:54.354,0.0,Open Short,0.0,0xbf4066193c87d4b56d4f0428092c7a01ab004d33b88bf0618f9f8591a9c6694d,119022153223,True,0.007402,87049513305657,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
AVAX,25.418,0.64,A,1753223290831,2025-07-23 06:28:10.831,0.0,Open Short,0.0,0x6875982e0b6241b7e4760428092d530201e3009af843aed0d5171557413980c0,119022254557,True,0.00732,427030585573479,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
HYPE,45.007,0.36,B,1753223321523,2025-07-23 06:28:41.523,-0.36,Close Short,-0.00108,0x9b5bd5619fa4abc6cacd0428092eef02035000562416783a078d33093ae33f45,119022448058,True,0.007291,526555590554553,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
HYPE,45.007,0.36,A,1753223340444,2025-07-23 06:29:00.444,0.0,Open Short,0.0,0x493bb9817de493d9d9da0428092ff6019500070ab771ff5c40af3b2f543cac6d,119022551952,True,0.007291,487827802030163,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
FARTCOIN,1.647,10.0,B,1753223349429,2025-07-23 06:29:09.429,-10.0,Close Short,-0.019,0xad8e11a22d51b41a17ec042809306802012500548a364b1c359380d69813a5f1,119022617606,True,0.007411,2769848870038,USDC,,0x92c8a50081e4e2c2e6bf1c4b9b26a1ec30130f8f,,
