币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
FARTCOIN,1.0974,78.6,B,1750207701596,2025-06-18 08:48:21.596,0.0,Open Long,0.0,0xa97bcbe79acdad48f5fe0425b849fe0203090078876d2bfba66545fe269ad8db,103562077926,True,0.038815,137364710501726,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
FARTCOIN,1.0974,510.1,B,1750207704277,2025-06-18 08:48:24.277,78.6,Open Long,0.0,0x07f2251118b5da5adc920425b84a230201710058434f5e5aa95f03d5129da079,103562077926,False,0.083967,542066120097964,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
FARTCOIN,1.0974,1065.5,B,1750207706027,2025-06-18 08:48:26.027,588.7,Open Long,0.0,0xdd45a55f4081e31024f70425b84a3701e20005f16063b5b7fb343b7ee9df7659,103562077926,False,0.175391,76970242038259,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
FARTCOIN,1.0974,461.8,B,1750207706094,2025-06-18 08:48:26.094,1654.2,Open Long,0.0,0xad8c47e70f98c3162d5a0425b84a3802023400a5a282a0c7b9d7f5b13abd738a,103562077926,False,0.076016,221445934582140,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
FARTCOIN,1.0974,932.3,B,1750207706238,2025-06-18 08:48:26.238,2116.0,Open Long,0.0,0x237ab41b7f6ea7fff70a0425b84a3901a000ca75cc27ebdefcf8a54b0dc85a44,103562077926,False,0.153465,426760362665135,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
FARTCOIN,1.0974,6064.1,B,1750207708050,2025-06-18 08:48:28.050,3048.3,Open Long,0.0,0xfeb0adae5e5f086c3d1b0425b84a4c02013d000c5c3af95d5374ccb9ce0e567c,103562077926,False,0.998211,1117721956856880,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
GRASS,1.4286,633.3,B,1750207740197,2025-06-18 08:49:00.197,0.0,Open Long,0.0,0xc3f1adad6994e1fe67350425b84bee020147007c6ce51d9942eddaab5d166099,103562209521,True,0.407129,430891347052861,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
GRASS,1.4287,34.6,B,1750207742744,2025-06-18 08:49:02.744,633.3,Open Long,0.0,0xe5cce9d43c39b7ea05bd0425b84c110201bd00dee59ce52c7f31962480c02ac5,103562209521,False,0.007414,724074990137184,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
GRASS,1.4287,7.5,B,1750207746844,2025-06-18 08:49:06.844,667.9,Open Long,0.0,0x234e52102e8aae68417c0425b84c420201f400dedbcee8ecc354ee46652603b4,103562209521,False,0.001607,383277705514292,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
GRASS,1.4331,10.5,B,1750208191540,2025-06-18 08:56:31.540,675.4,Open Long,0.0,0xf8b7855653e0bf5eb16b0425b8627d02018f00d516643a0a985839beda5810cc,103563761534,False,0.002257,839340664894585,USDC,,0x946981828fcd4ffeb81bc14733b0d14b6d19a089,,
