币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,235.54,16.96,A,1757985573868,2025-09-16 09:19:33.868,0.0,Open Short,0.0,0xa5606539cc88cc84a6da042b9ff6710203eb001f678beb564929108c8b8ca66f,163629852964,True,1.797641,542351286218684,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
SOL,238.71,16.96,B,1758056663951,2025-09-17 05:04:23.951,-16.96,Close Short,-53.7632,0xba1730f9e5cf49ebbb90042bada3d20201fa00df80c268bd5ddfdc4ca4c323d6,164527613755,True,1.821834,1047776763906465,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
ASTER,1.2368,274.0,B,1760147830979,2025-10-11 09:57:10.979,0.0,Open Long,0.0,0x418bcbe7eab249e34305042d3d8f0e0202f500cd85b568b5e554773aa9b623cd,194363512096,True,0.152497,383116649368572,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
ENA,0.4634948564,2333.0,B,1760391906751,2025-10-14 05:45:06.751,0.0,Open Long,0.0,0x5d7b3339141cf7035ef4042d6c1503020172001eaf1015d50143de8bd310d0ee,198775344072,True,0.486598,167629049510526,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
BTC,115558.463022508,0.01866,A,1760391984171,2025-10-14 05:46:24.171,0.0,Open Short,0.0,0x089fa741d93bc83e0a19042d6c19080202bb0027743ee710ac685294983fa228,198776246960,True,0.970344,751502102840807,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
ENA,0.46104,2333.0,A,1760392325577,2025-10-14 05:52:05.577,2333.0,Close Long,-5.725182,0x96450d8f1a43584f97be042d6c29e70201590074b54677213a0db8e1d947323a,198780248111,True,0.484021,421714294885672,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
ASTER,1.4532,274.0,A,1760398639437,2025-10-14 07:37:19.437,274.0,Close Long,59.2936,0xe68e365393525b47e807042d6d618d02095400392e557a198a56e1a652563532,198867969597,True,0.179179,158379170615983,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
BTC,115262.0,0.02535,A,1760398667315,2025-10-14 07:37:47.315,-0.01866,Open Short,0.0,0xefb7b25baf901abcf131042d6d62e102021400414a93398e93805dae6e93f4a7,198868402531,True,1.314851,171753059611712,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
BTC,115296.0,0.04401,B,1760398701978,2025-10-14 07:38:21.978,-0.04401,Close Short,4.031316,0xadda89cbec89608faf54042d6d64aa02030e00b1878c7f6151a3351eab8d3a7a,198868830339,True,2.283379,100513876042775,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
BTC,115303.0,0.11765,A,1760398770376,2025-10-14 07:39:30.376,0.0,Open Short,0.0,0x840a6a8e02a571d08584042d6d681902055500739da890a227d315e0c1a94bbb,198869774460,True,6.104429,602217931646281,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
BTC,115296.0,0.11765,B,1760398815415,2025-10-14 07:40:15.415,-0.11765,Close Short,0.82355,0xd6e6040a6f6074e8d85f042d6d6a6902027100f00a6393ba7aaeaf5d2e644ed3,198870391166,True,6.104057,180110137098821,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
LTC,92.338,10.28,B,1760670167896,2025-10-17 11:02:47.896,0.0,Open Long,0.0,0x4d5abd0e978091164ed4042da0bc1c02048400f43283afe8f123686156846b00,203481452578,True,0.427155,799790554328981,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
LTC,86.944,10.28,A,1760686365842,2025-10-17 15:32:45.842,10.28,Close Long,-55.45032,0x3929ae5fa97f11583aa3042da3ca7002055700454472302adcf259b26872eb42,203728815973,True,0.402202,282954739154024,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,"{'liquidatedUser': '0x9641ae927135f034df3de26d4c05b68dfea7b4bd', 'markPx': '86.967', 'method': 'market'}",
BTC,106591.8941538462,0.01625,B,1760727198756,2025-10-18 02:53:18.756,0.0,Open Long,0.0,0x21b0964f9b1b9d37232a042dab79fd0215000035361ebc09c57941a25a1f7721,204459616388,True,0.779451,337457069717258,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,,
BTC,105631.0,0.01625,A,1762183776470,2025-11-03 23:29:36.470,0.01625,Close Long,-15.613,0x93d14b7fec4386d3954b042ec410ba011a0063658746a5a53799f6d2ab4760be,221292607107,True,0.772426,834238238988256,USDC,,0x9641ae927135f034df3de26d4c05b68dfea7b4bd,"{'liquidatedUser': '0x9641ae927135f034df3de26d4c05b68dfea7b4bd', 'markPx': '105746.0', 'method': 'market'}",
