币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
DOGE,0.32563968,975.0,B,1731343922194,2024-11-12 00:52:02.194,0.0,Open Long,0.0,0x6a2ac18285df54333d6d04168c7f9001af00007a62560a655375812ec660c68a,46176741134,True,0.111124,762906117351989,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
kSHIB,0.028097,3909.0,B,1731343943330,2024-11-12 00:52:23.330,0.0,Open Long,0.0,0x0823c0c3b5158dffadf204168c80db02012000d2808da10768bd18bccc80a57a,46176844078,True,0.03844,26230682377246,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
kPEPE,0.012647,2765.0,B,1731343965257,2024-11-12 00:52:45.257,0.0,Open Long,0.0,0xeab7489b39798e10549004168c823a020165004cdf16f179a7de10f42238cc57,46176939220,True,0.012239,588857222664364,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
WIF,3.0532,6.0,B,1731343979250,2024-11-12 00:52:59.250,0.0,Open Long,0.0,0x9aa79153340811569c0004168c831b01cc002670ff060997c6eae64d33c1286f,46176989078,True,0.006411,4574142580536,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
kBONK,0.02685,447.0,B,1731343995741,2024-11-12 00:53:15.741,0.0,Open Long,0.0,0x979d2bc2de43c657191b04168c84130201870000d4f364ed37beb6b622727dfc,46177080114,True,0.0042,71019439376487,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
DOGE,0.40564,975.0,A,1731394761022,2024-11-12 14:59:21.022,975.0,Close Long,78.000975,0x7463ca821af0164988ef041698c49f01dc0091336d4ac582839f4076d2e25225,46376838472,True,0.138424,678442083353593,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
kBONK,0.031055,447.0,A,1731394764643,2024-11-12 14:59:24.643,447.0,Close Long,1.879635,0x6eabf1463dedf08766e5041698c4d80201140027d98607e498fcfd5c513ac75c,46376853997,True,0.004858,211503339161058,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
kPEPE,0.014245,2765.0,A,1731394769787,2024-11-12 14:59:29.787,2765.0,Close Long,4.41847,0xfef1302ea1f3ccf19d07041698c52901c6001fd0e3944565cf14546e7c55be20,46376869333,True,0.013785,1115389684015671,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
DOGE,0.40299,1629.0,B,1731394918934,2024-11-12 15:01:58.934,0.0,Open Long,0.0,0x2ae3e821ac0e81a737c0041698ce5602027500c3b0fd8e732397c3b1d2aadc89,46377555304,True,0.229764,211195810622099,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
kSHIB,0.028916,3909.0,A,1731394926853,2024-11-12 15:02:06.853,3909.0,Close Long,3.201471,0x53cd584721a65f37ad6c041698ced202010a00d91d8c7f93f534da6867317a57,46377596034,True,0.039561,805470021620570,USDC,,0x97363956a841e7ef3528a94c96c3e8dc1f51ee11,,
