币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2315.9,0.0216,A,1707125774992,2024-02-05 17:36:14.992,0.0,Open Short,0.0,0x4b1bc0740a73928d067004077ac72101a000d201d4a420966f951fc808ef33dc,8863145120,True,0.012505,19498958012988,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
ETH,2315.8,0.0216,B,1707125997520,2024-02-05 17:39:57.520,-0.0216,Close Short,0.00216,0x3c049e8bf0464ec1e02a04077ac9c401cd00bd1b11798f860f9cf891237c5696,8863258717,False,-0.001,321906658819343,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
BTC,43006.0,0.02352,B,1707126828361,2024-02-05 17:53:48.361,0.0,Open Long,0.0,0x8a95374365857b03771104077ad350018b00009bd299217f9edb54fa6101c3c3,8863781633,True,0.252875,1004760157509103,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
BTC,43049.0,0.0235,A,1707127203679,2024-02-05 18:00:03.679,0.02352,Close Long,1.0105,0xc837d41c6357ff64d58c04077ad7b002015d008eea23ecfaed27dca1573c927d,8863830899,False,-0.020233,417550887029410,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
BTC,43186.0,0.00002,A,1707127695689,2024-02-05 18:08:15.689,0.00002,Close Long,0.0036,0x199ace543e02b57ceffc04077add1c02026500205b4b9f36bafb7279b989ca14,8864528268,True,0.000215,101015569469697,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
DOGE,0.07983001,13872.0,B,1707130806267,2024-02-05 19:00:06.267,0.0,Open Long,0.0,0x9ad166660600a6748f5a04077b010a01390091db343f0cfab85dfd9449a38bd3,8866980256,True,0.276849,469433588174062,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
DOGE,0.079965,13872.0,A,1707130966067,2024-02-05 19:02:46.067,13872.0,Close Long,1.87272,0x195b783ac67f145f6e9404077b02ef02010b0012ea05f4eb5870acb7c8f8b328,8867099519,True,0.277318,53841108466176,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
SOL,93.821,15.5,B,1707217669411,2024-02-06 19:07:49.411,0.0,Open Long,0.0,0x1bb06370ce5dbab549d704077ee4d502016a00330cf4926b32275449702e3427,8937718789,True,0.363556,930895558234653,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
JTO,1.7576,59.0,B,1707230094074,2024-02-06 22:34:54.074,0.0,Open Long,0.0,0xeda8b4d7dc176761f89c04077f71a801c90054dc07822720f867df0fa242ad53,8949936568,True,0.025924,913454105352576,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
SOL,94.874,15.5,A,1707230176110,2024-02-06 22:36:16.110,15.5,Close Long,16.3215,0x3bb5bfa5c1d8a8057e9404077f728e00009183e23aacd1f3f3cd037514b67626,8947918766,True,0.367636,554309733466520,USDC,,0x9781515ae912b5b2ff70eec4ef13977a6c1f0b21,,
