币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,60230.0,0.00605,B,1715357180046,2024-05-11 00:06:20.046,0.0,Open Long,0.0,0x491ca1fb2357d3c3fcaa0408d79b240203e8002995e77adaed90e3ad620f3ca1,22120945301,False,0.036439,285195782219277,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,60903.0,0.00605,A,1715357433323,2024-05-11 00:10:33.323,0.00605,Close Long,4.07165,0x379af57b332c0962bde20408d79d9b0158005a613d17d44c2c11c515dacf683e,22126398769,True,0.128962,859446770620901,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
ETH,2897.7,0.0752,B,1715365749545,2024-05-11 02:29:09.545,0.0,Open Long,0.0,0xe74cd15a0ebc61692a430408d7f59201930078f36a7ed0b712295e1bc5171a3b,22141903457,True,0.076267,516732547063402,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
ETH,2906.4,0.0752,A,1715369077960,2024-05-11 03:24:37.960,0.0752,Close Long,0.65424,0xb23b82527e51a6586b130408d81a0c0201940085484febd8d6f2b52356dd3936,22145650714,True,0.076496,931936967657637,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
ETH,2935.7,0.6416,B,1715453895923,2024-05-12 02:58:15.923,0.0,Open Long,0.0,0xa6f82f974e5523427e700408dbce280122006e8bb6dd20e2f2e4c8662b0a1abe,22223847231,True,0.65924,404421964281158,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
ETH,2913.0,0.653,B,1715459466679,2024-05-12 04:31:06.679,0.6416,Open Long,0.0,0xe75fd92b41a6efa9fed70408dc0e20015700ef0adbb68c2f7d4dd09c44b9620b,22224179800,False,0.190218,392006488091154,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
ETH,2950.0,1.2946,A,1715530606901,2024-05-13 00:16:46.901,1.2946,Close Long,33.33595,0xda97e3d1a9720dffd9290408e3a6e701c500a9c8ac70a59b65418ced7a592cc5,22263048354,False,0.381907,593700485209576,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,62795.0,0.01925,B,1715604372991,2024-05-13 20:46:12.991,0.0,Open Long,0.0,0xb6dbbf47bd8f350cb5460408f474af01310009add1d2482c9f36b14c281a7d4e,22371912405,True,0.423081,1027810545958778,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,62900.0,0.01924,A,1715606158050,2024-05-13 21:15:58.050,0.01925,Close Long,2.0202,0x2fdea3fd376174275e7b0408f4dd7501310055bd432442e02275453980c4d15f,22374826534,False,0.121019,323564200105263,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,62912.0,0.00001,A,1715606174873,2024-05-13 21:16:14.873,0.00001,Close Long,0.00117,0xa52b671ce353c5b2ecdc0408f4de72015a001f800617404f5108a2c370046503,22374931518,True,0.00022,467223555996711,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,63054.0,0.11716,B,1715606691182,2024-05-13 21:24:51.182,0.0,Open Long,0.0,0x9f4c9f7618ea960c76f50408f4fcc70145001fb1da11e07110b97c9360e94e36,22375865066,True,2.585592,881302338437364,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,62600.0,0.00074,A,1715653487937,2024-05-14 10:24:47.937,0.11716,Close Long,-0.33596,0x86b099fa2d84acdb797f0408ff9f940117007714a3bcc8d2a0935db09fb18fdf,22445574831,False,0.004632,87954877484282,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,62600.0,0.00518,A,1715653488110,2024-05-14 10:24:48.110,0.11642,Close Long,-2.35172,0x0000000000000000000000000000000000000000000000000000000000000000,22445574831,False,0.032426,543622116884992,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,62600.0,0.11123,A,1715653490574,2024-05-14 10:24:50.574,0.11124,Close Long,-50.49842,0x527408f964ee4a3555710408ff9fbc012100d2ccbcddb38dda407537584a3ddb,22445574831,False,0.696299,811895664941355,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,62619.0,0.00001,A,1715653506856,2024-05-14 10:25:06.856,0.00001,Close Long,-0.00435,0xdf49be1d812b3e5a3c6e0408ffa0b1013d00a23e4f1700694bb2b5828a63ceaf,22445614834,True,0.000219,1075484598542996,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,66000.0,0.09258,A,1715801970465,2024-05-16 03:39:30.465,0.0,Open Short,0.0,0xe52332507849f737ab6b0409218925020102002a1dc7f37ba71b04aab35c6d35,22630645099,False,0.611028,378597683356248,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,65757.0,0.00028,B,1715803477536,2024-05-16 04:04:37.536,-0.09258,Close Short,0.06804,0xbb238db8e9bbd4dce1df040921e1d8013200fd55bbfa29813cf707dad10eb314,22674822185,False,0.001841,798147559677719,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,65757.0,0.09229,B,1715803478993,2024-05-16 04:04:38.993,-0.0923,Close Short,22.42647,0x9e6eaa68e8ec1baedb9d040921e1ee016e0024ae10b6f4cf66f781c45ac7c52c,22674822185,False,0.606871,555087297148769,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,65806.0,0.00001,B,1715804073752,2024-05-16 04:14:33.752,-0.00001,Close Short,0.00194,0x91da0a69e1ea6171bb4c04092204bc0109000abeacfa920111f38561b5e72e74,22675829978,True,0.00023,46461352978255,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,68870.0,0.02734,A,1716232872072,2024-05-21 03:21:12.072,0.0,Open Short,0.0,0x26f53fc94a6157b0578a0409846d0801e1006ea52d94867faf1965fd732d2612,23160099737,False,0.18829,347460719312159,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,69300.0,0.03578,A,1716233035055,2024-05-21 03:23:55.055,-0.02734,Open Short,0.0,0x3d24a6702bbf2d5849ca04098476ac00005debff7e9f3986bca113670f0b711a,23160141211,False,0.247955,1118575918042538,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,69851.0,0.0631,B,1716233599104,2024-05-21 03:33:19.104,-0.06312,Close Short,-46.52363,0x14e4ae94c1a86f54f8c704098497e50000456552ae4486710878b31509d9ce56,23179842440,False,0.440759,883087257110754,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,69753.0,0.00002,B,1716233723165,2024-05-21 03:35:23.165,-0.00002,Close Short,-0.012786,0xc35627286b48610ec0300409849f3c015a000283b7f07bafc102329fff872669,23180355744,True,0.000488,973075646966100,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,69511.0,0.11951,A,1716385441171,2024-05-22 21:44:01.171,0.0,Open Short,0.0,0x496a664aa15655b431f90409a79bf7012300edf5195512086fb1065fb31c0bac,23435316893,True,2.90754,317221570833650,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
BTC,70232.0,0.1195,B,1716389569076,2024-05-22 22:52:49.076,-0.11951,Close Short,-86.1595,0xbf9563f6c82f14c852640409a8903e016800d249ffcd6b5b545418a2f2462ce7,23445037290,True,2.937452,485508559705368,USDC,,0x9a045f0ad13fec3e86d731243d7eacef1debc918,,
