币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,120590.0,0.5,B,1752526521893,2025-07-15 04:55:21.893,0.0,Open Long,0.0,0x6173c503d535acc54bdb042780eb0e01bd00fa786efa33ebbe7708b033f26313,113999212947,False,9.04425,338069262035621,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
XRP,2.9326984,2500.0,B,1752526653883,2025-07-15 04:57:33.883,0.0,Open Long,0.0,0x9703ca1e57a6025baa34042780f1fc0201a8000ef30703db0d34c53a9d1fc018,114000015365,True,3.299284,269100665814794,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
BTC,120172.0,0.25357,B,1752528148042,2025-07-15 05:22:28.042,0.5,Open Long,0.0,0x1910f16663e3854d5c4b0427813ec501fe00d2eb367274f6598732bd18261dba,114009018920,False,4.570801,195677430817728,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
BTC,120172.0,0.17216,B,1752528148091,2025-07-15 05:22:28.091,0.75357,Open Long,0.0,0x3885632fb82e135a06b90427813ec601bc007af23b3a63f3955b73606af02425,114009018920,False,3.103321,1052055078553430,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
BTC,120172.0,0.00034,B,1752528148703,2025-07-15 05:22:28.703,0.92573,Open Long,0.0,0x0fdc8f37dd6924b7f8e80427813ecf01c60088955d29b3fefb8f4175b04e481c,114009018920,False,0.006128,834144598121701,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
BTC,120172.0,0.07393,B,1752528149500,2025-07-15 05:22:29.500,0.92607,Open Long,0.0,0x396d8175f18d570ebba00427813edb01a100c126a10cc212a70222623df997d4,114009018920,False,1.332647,8514259296838,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,3011.0,0.5785,B,1752528186878,2025-07-15 05:23:06.878,0.0,Open Long,0.0,0xc61fbde28fe622323da404278140cb0203580026a765f04397ea4ec1831db65e,114009328183,False,0.261279,435370423577260,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,3011.0,1.7284,B,1752528188236,2025-07-15 05:23:08.236,0.5785,Open Long,0.0,0x2b8fe31d41f5153a4b0504278140d90205b30037768719409784fe6f4420ca8b,114009328183,False,0.780631,392842640564696,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,3011.0,2.6931,B,1752528188422,2025-07-15 05:23:08.422,2.3069,Open Long,0.0,0x77145de053eb6c50f71904278140db0204ee0042f777592f9664f023a53df4cf,114009328183,False,1.216338,224353608623700,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
BTC,118200.0,1.0,B,1752545869957,2025-07-15 10:17:49.957,1.0,Open Long,0.0,0x579d0d52d0bfcec05d28042784bc1002039e00bda52ae480ca62a42a3b0cd8d2,113999285933,False,17.73,787288316379324,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,2945.0,10.0,B,1752549026070,2025-07-15 11:10:26.070,5.0,Open Long,0.0,0xf5cbb95a784bacbee11e042785575902011b0057fc867b52e8037aed7cfa64aa,114000554729,False,4.4175,942991293269146,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
kPEPE,0.01299,1000000.0,B,1752627637669,2025-07-16 09:00:37.669,0.0,Open Long,0.0,0x868a7f78dc1893f67d2f042794eb890203a200591e7561d39dadaaf19979e310,114715027554,False,1.948498,386128654828769,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,3144.0,50.0345,B,1752627663752,2025-07-16 09:01:03.752,15.0,Open Long,0.0,0x74442405571c0d0c0755042794ece2020348005519f9f5305298980983e40ab9,114715145467,False,23.596269,442058575550008,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,3144.0,0.0052,B,1752627669028,2025-07-16 09:01:09.028,65.0345,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,114715145467,False,0.002452,164220662013849,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,3144.0,0.0218,B,1752627671053,2025-07-16 09:01:11.053,65.0397,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,114715145467,False,0.01028,287729533283300,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
ETH,3144.0,10.0,B,1752627672414,2025-07-16 09:01:12.414,65.0615,Open Long,0.0,0x2db4913d1cfac2c2268a042794ed500204ba008f419716cf01c6eeb7ed7ea34b,114715145467,False,4.716,878061661011256,USDC,,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,,
