币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,54381.0,0.00355,B,1725730245989,2024-09-08 01:30:45.989,0.0,Open Long,0.0,0x43fc36b1913535451f46041144bf16018c00368de4f0f986071a09ce9e6ff6e9,37197615562,True,0.067568,895898714580323,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54392.0,0.00355,B,1725730279075,2024-09-08 01:31:19.075,0.00355,Open Long,0.0,0x487d13f1117bdf2d3d0b041144c12201c80024058494563101117a41950fd257,37197643669,True,0.067582,395907046410049,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54385.0,0.00142,B,1725730341682,2024-09-08 01:32:21.682,0.0071,Open Long,0.0,0x4c6586455b38a2db7e7c041144c4fe013e005be08048006e901f27be93cc182a,37197698413,True,0.027029,80713415606063,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54352.0,0.00142,B,1725730545397,2024-09-08 01:35:45.397,0.00852,Open Long,0.0,0x8a8ed409090ddf34a3f4041144d1930146008143be0b2beb0e6d06853c7ab3ba,37197905977,True,0.027012,770005540307903,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54376.0,0.00142,B,1725730562787,2024-09-08 01:36:02.787,0.00994,Open Long,0.0,0x302d105de1437dc1fb4f041144d2a9019600ccce6d9c9ed644666c0bb3b5bb78,37197924835,True,0.027024,464112479085971,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54307.0,0.00142,B,1725730674155,2024-09-08 01:37:54.155,0.01136,Open Long,0.0,0x5158f85c834d2879d317041144d9810173007948f5f001592370b6cdca44f2e2,37198064527,True,0.02699,554689220072799,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54315.0,0.00142,B,1725730761436,2024-09-08 01:39:21.436,0.01278,Open Long,0.0,0x5cfe234462c5c3ba8e40041144deef015300a1de8d25b68a5e3cd5f92b033dc1,37198112148,False,0.007712,610642134308687,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54314.0,0.00234,B,1725731068570,2024-09-08 01:44:28.570,0.0142,Open Long,0.0,0x8ff8600e07fed9d0672c041144f1e7013200380f816304304777f68876e19e33,37198403786,True,0.044483,961930991026870,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54308.0,0.00234,B,1725731116054,2024-09-08 01:45:16.054,0.01654,Open Long,0.0,0x1a2ab0c965c98da8fbc0041144f4d30119004c08da588873315c8c59a302b2d4,37198446694,False,0.012708,1007036996672418,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54279.0,0.00031,B,1725731295095,2024-09-08 01:48:15.095,0.01888,Open Long,0.0,0xb49168c3649d9029a418041144ffdc013200cd50a159410a075a37b4bf31e402,37198648168,True,0.005889,132800921289183,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54228.0,0.00031,B,1725731393959,2024-09-08 01:49:53.959,0.01919,Open Long,0.0,0x71f80b642008705994a404114505f20187009f1c4d51e1b55d6d726ce60499d3,37198753480,True,0.005883,361156331880374,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54079.0,0.00062,B,1725731580886,2024-09-08 01:53:00.886,0.0195,Open Long,0.0,0x0676a6abc93a4cb67a34041145117101bb004fc08f09369d436fe63203b91eae,37199082568,True,0.011735,61935876569642,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54071.0,0.00062,B,1725731583522,2024-09-08 01:53:03.522,0.02012,Open Long,0.0,0x63cb51839d0e8d3b8ffa041145119a019d00424f7f5d3f5ceb3d3a46c7ae0862,37199096533,True,0.011733,248707857410225,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
BTC,54066.0,0.00062,B,1725731593733,2024-09-08 01:53:13.733,0.02074,Open Long,0.0,0x2fae203310229a85f809041145123c016800dfba8805709fcb7295f14b4d4c46,37199128940,True,0.011732,965641006942334,USDC,,0x9b6d0492222194874c22f4c9b62bf79f51c2b781,,
