币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,3791.4,0.01,B,1717567143881,2024-06-05 13:59:03.881,0.0,Open Long,0.0,0x32e498b7dcf05119efd3040ab8471101360079498349af74a8101a865f839725,25022840237,False,0.003791,292521102245567,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
ETH,3791.4,0.2537,B,1717567147850,2024-06-05 13:59:07.850,0.01,Open Long,0.0,0xcfd3224eee36e4491430040ab8474b012200143b4707243519dbb6eb06392176,25022840237,False,0.096187,677610363169079,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
BNB,705.15,1.418,B,1717567157472,2024-06-05 13:59:17.472,0.0,Open Long,0.0,0x3a8c17f2eac3fa5f30bb040ab847de01050080e1efaff579b043f6b4b42014ba,25022854592,False,0.09999,213892081194533,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
SOL,173.57,5.76,B,1717567161064,2024-06-05 13:59:21.064,0.0,Open Long,0.0,0xcfb605d20c8f214f86f2040ab848140125007906086b38c56d42fec3eebe0c93,25022870114,True,0.349917,177589622637861,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
TON,7.455,134.0,B,1717567176513,2024-06-05 13:59:36.513,0.0,Open Long,0.0,0x88044ad303ac2a37452f040ab848ff0122005f6a3d603c474cfb8b7011a8432b,25022882747,True,0.349639,655161456056619,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
BTC,71049.0,0.01407,B,1717567203623,2024-06-05 14:00:03.623,0.0,Open Long,0.0,0x76b4d2698c80b1206a19040ab84a8f012800345a53398929f8ff89a06012169d,25022828340,False,0.099965,293748015155806,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
AVAX,36.268,27.56,B,1717567212038,2024-06-05 14:00:12.038,0.0,Open Long,0.0,0x21b5f769857901268fff040ab84b10017d009449ce93c28a86beacb1f27b3510,25022921785,True,0.349841,962598161870436,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
ADA,0.46186,2165.0,B,1717567212693,2024-06-05 14:00:12.693,0.0,Open Long,0.0,0x0ca3c08189fe94e6fba3040ab84b1a010800ace3d6b8210c9ffa9f525005dfab,25022893812,False,0.099992,395362841397292,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
BCH,482.01,2.074,B,1717567258436,2024-06-05 14:00:58.436,0.0,Open Long,0.0,0x6c2cb2f68466023dd0c0040ab84dc0013d005e4a25adab031777471a6f19441c,25022986324,True,0.349891,1065566682723186,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
NEAR,7.5827,131.8,B,1717567271381,2024-06-05 14:01:11.381,0.0,Open Long,0.0,0xcfaec5464118f2d6c1e7040ab84e86013400aa807caeed4617c7bbdc6751bb51,25023004791,True,0.349789,708827554393023,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
TRX,0.11435,8745.0,B,1717567330965,2024-06-05 14:02:10.965,0.0,Open Long,0.0,0x727f26c91b7cb24ee024040ab8520b012300a974837fcaad7ac4a120b892d3d6,25022963029,False,0.099999,1087871776144544,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
BTC,70967.0,0.01407,A,1717567950304,2024-06-05 14:12:30.304,0.01407,Close Long,-1.15374,0x6486460a4c518bccba72040ab876a6014100a41a016283181f37444205354966,25023788657,True,0.349476,983967738463088,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
ETH,3796.5,0.2637,A,1717567951205,2024-06-05 14:12:31.205,0.2637,Close Long,1.34487,0xd0b18965086ff135cd0d040ab876b3011a00bcace14c735e131f4516eb9072ab,25023790120,True,0.350397,750968882792510,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
SOL,173.82,5.76,A,1717567952105,2024-06-05 14:12:32.105,5.76,Close Long,1.44,0x41cbb34131db903326ab040ab876c0012200200e33ba7eb26f86972a43216dac,25023791331,True,0.350421,1123703171283087,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
AVAX,36.299,27.56,A,1717567953014,2024-06-05 14:12:33.014,27.56,Close Long,0.85436,0xa576fc9e1bb47c662425040ab876cf017400d6131c742f2ddfb19186ecc800f4,25023793960,True,0.35014,427911935044924,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
BNB,705.42,1.418,A,1717567954030,2024-06-05 14:12:34.030,1.418,Close Long,0.38286,0xb4ec8e72456c3308b6b8040ab876de01410005db6a493535e2d4dfcae88672ce,25023795458,True,0.350099,535665184058752,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
BCH,482.53,2.074,A,1717567955037,2024-06-05 14:12:35.037,2.074,Close Long,1.07848,0x97f477079f943863934d040ab876ed0130002c83cc45dfd16e6a03d7490a7f3a,25023796767,True,0.350268,841218432455564,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
TRX,0.11439,8745.0,A,1717567956042,2024-06-05 14:12:36.042,8745.0,Close Long,0.3498,0xde539ff8d625b11ecd5d040ab876fd012c005985718f011b69c5950309806054,25023797749,True,0.350119,363457454424564,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
ADA,0.46199,2165.0,A,1717567957046,2024-06-05 14:12:37.046,2165.0,Close Long,0.28145,0xfee05e64e6f5a11441a6040ab8770c012100c704eeac8c653fe1b29fff1d6ece,25023798480,True,0.350072,169940103874211,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
TON,7.4308,134.0,A,1717567958059,2024-06-05 14:12:38.059,134.0,Close Long,-3.2428,0xa6f3017d58918a5c92fb040ab8771b016b00c052d0eb40622d11495bbdad580c,25023799533,True,0.348504,995682067131686,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
NEAR,7.6077519,131.8,A,1717567959071,2024-06-05 14:12:39.071,131.8,Close Long,3.30184,0x09618b59be5f200e52e5040ab8772b018a00c548b9a603d0a0ba9c89dd46531d,25023802821,True,0.350944,583253916961223,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
BTC,70971.0,0.01407,B,1717569234771,2024-06-05 14:33:54.771,0.0,Open Long,0.0,0xd542312a1a74d02da38e040ab8c2ad011900cef5d429c8445a512fc640bd0f64,25025195937,True,0.349496,190123068985908,USDC,,0x9c855c1184747e391ecf84a784416daf865e24b6,,
