币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,63907.0,0.00234,A,1721111368215,2024-07-16 14:29:28.215,0.0,Open Short,0.0,0xa73ae1c9d8c330239293040d8f0be40165002f6689063c59ac4e4bb8423b041b,29968287811,True,0.052339,202398645361335,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
SOL,156.98,2.23,B,1721111405500,2024-07-16 14:30:05.500,0.0,Open Long,0.0,0x717c600058e4fbd1665c040d8f0d88017f0018b6a3fe2ee97879065f47efae15,29968323636,True,0.122522,1001916833921623,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
SOL,156.92,2.23,A,1721111443753,2024-07-16 14:30:43.753,2.23,Close Long,-0.1338,0x00509dbedd99375671df040d8f0f3501fd00140014c83e8775b0926e1ca56559,29968394555,True,0.122476,853799719307543,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
TON,7.4515,11.6,B,1721111459561,2024-07-16 14:30:59.561,0.0,Open Long,0.0,0x837b861fee23fce485be040d8f0fe9014700798246645bff2e7ceec848fea755,29968415118,True,0.030253,1017410429005004,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
SOL,156.87,0.49,B,1721111513069,2024-07-16 14:31:53.069,0.0,Open Long,0.0,0x6d5fc54456b9fd2a508f040d8f123b019600137cbd70d13818e3cb1742e26988,29968496537,True,0.026903,192423724056008,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
TON,7.1775,11.6,A,1721236080900,2024-07-18 01:08:00.900,11.6,Close Long,-3.1784,0xd722ff7a72de7c15b284040da4466201bd00a15daa4cdd21f9da1b38b414f959,30191893612,True,0.02914,640696350216453,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
SOL,156.11,0.51,B,1721236098006,2024-07-18 01:08:18.006,0.49,Open Long,0.0,0x637b93e8e102caa36b19040da44720018a00bc45b1e5ef2685ae27a5b098b6c8,30191931566,True,0.027865,81179106317242,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
BTC,63635.0,0.00234,B,1721318908247,2024-07-19 00:08:28.247,-0.00234,Close Short,0.63648,0xc8d53264374948388fea040db24f0801ec001c25b55e05e1092920901f6eec7f,30308183127,True,0.052117,170462000457007,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
SOL,156.36,0.5,B,1721318934591,2024-07-19 00:08:54.591,1.0,Open Long,0.0,0xff0fcbb6def209eb5bc1040db25030015e00432e2da36bbcc5aedb939e6cc7f3,30308240451,True,0.027363,811405971319056,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
TON,7.1786,17.4,A,1721319999632,2024-07-19 00:26:39.632,0.0,Open Short,0.0,0x82d43366230dd8dfb126040db27e8102018200d1becb67e5a6e4e34c664dab5e,30310448857,True,0.043717,1001341224493817,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
TON,7.188,17.4,B,1721320110309,2024-07-19 00:28:30.309,-17.4,Close Short,-0.16356,0x373836aba6c8b3631ad4040db2835c0163004b74c95ebc5e85fde866003f79eb,30310689057,True,0.043774,753245605160358,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
BTC,63862.0,0.00083,B,1721356441485,2024-07-19 10:34:01.485,0.0,Open Long,0.0,0xd278a7b4debcdfab5489040db8b14b019c00a8b7c4b0141b8d1eef2a6b5e8190,30358410687,True,0.018551,67571031380900,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
BTC,64042.0,0.00083,A,1721359597339,2024-07-19 11:26:37.339,0.00083,Close Long,0.1494,0x1b2819397faeacf3c0e1040db93a70013300920ff15b7f15eb2593918a8559fb,30362626137,True,0.018604,459697225371272,USDC,,0x9c963988866cd6559ccea907520e8e9be01f0eee,,
