币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,95368.62539998,3.64394,A,1733217685545,2024-12-03 17:21:25.545,0.0,Open Short,0.0,0x7a1bf2d6ccd6161130f604184f045402019b00648afb0901ee0b99a07aee535a,52203305786,True,121.631136,528605645926542,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
BTC,95287.28415945,3.64394,B,1733217839089,2024-12-03 17:23:59.089,-3.64394,Close Short,296.310044,0xa786fb1fa49242d642b004184f0dd802018c0084cb32851df8eadb3047ea2635,52203926913,True,121.527397,392191866195001,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
BTC,95279.99215905,3.48427,A,1733217851518,2024-12-03 17:24:11.518,0.0,Open Short,0.0,0x25f5cafc9f86ce3d47d704184f0e970201e3003ba88173dcbc1c74c19692dd6c,52203974809,True,116.193423,366366831757847,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
BTC,95903.90943271,1.74213,B,1733238437324,2024-12-03 23:07:17.324,-3.48427,Close Short,-1087.105553,0x3a5f5e12c936bbf1347a041854043d00008f60faa2ccb6017991a02f2781d4d3,52204125018,True,58.476974,1019522027511227,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
BTC,95899.24929684,1.74214,B,1733238439679,2024-12-03 23:07:19.679,-1.74214,Close Short,-1078.993184,0x5274366c66e86d3cdc8b04185404610201f20096814241b337f9b59aeb100b1e,52299071428,True,58.474469,511319485285855,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.5035,8206.0,A,1733238508344,2024-12-03 23:08:28.344,0.0,Open Short,0.0,0xed648d0e0ecbba69d3c4041854089502027200eca6813578e1bcd15b83136d22,52299436537,True,7.190301,966148857757333,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.53642289,15614.0,B,1733270085958,2024-12-04 07:54:45.958,-8206.0,Close Short,-268.7236,0x35a99e4d07ec1f965fec04185ba4f4018c003125c251a71a552e51c498d29fed,52409736556,True,13.861293,188377241436007,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.53392365,18818.0,A,1733270097827,2024-12-04 07:54:57.827,7408.0,Close Long,-19.682536,0x224c40b9823d35bafa3e04185ba5ae01fa009e0c0a89b7ec1d4efd34d15d4a61,52409772370,True,16.689181,185636454311273,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.53053811,23860.0,A,1733270105519,2024-12-04 07:55:05.519,-11410.0,Open Short,0.0,0x883c3e310c1c90cafea004185ba62201ff0086689a3651769af43c3bd428acf3,52409799329,True,21.132521,994432829734836,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.5322,2821.0,B,1733270124798,2024-12-04 07:55:24.798,-35270.0,Close Short,-1.622075,0x4dcb275de407fcb8631204185ba75302016c0074e68b1b47f3320e50dab14322,52409884111,True,2.500167,8256507740836,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.5309,750.0,B,1733270133153,2024-12-04 07:55:33.153,-32449.0,Close Short,0.54375,0x696ee398a6a7ec46775004185ba7d802011e00d10d1eaf8a6ebdde1fd2c54975,52409917198,True,0.664361,889475084867087,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.531,554.0,B,1733270138059,2024-12-04 07:55:38.059,-31699.0,Close Short,0.34625,0x0000000000000000000000000000000000000000000000000000000000000000,52409917198,False,0.140217,338210638186301,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.531,360.0,B,1733270140504,2024-12-04 07:55:40.504,-31145.0,Close Short,0.225,0x0b7dcc14cf33d4e0f13d04185ba85101e9007662607fdf433613703594305c28,52409917198,False,0.091116,897015458497526,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
XRP,2.531,4.0,B,1733270141141,2024-12-04 07:55:41.141,-30785.0,Close Short,0.0025,0x13d0e02f6db6c30e71f204185ba85c02017100c0e2f38205a497b88cd08bdd16,52409917198,False,0.001012,107797315048381,USDC,,0x9dd6ee52ec3185593f994b62afb61da14ad9820a,,
