币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2536.9,0.0064,B,1748285788076,2025-05-27 02:56:28.076,13.1109,Open Long,0.0,0x35f96f1df4056e31fe9d042440179102038400de065a897198adceea98ea7bc5,97410819370,True,0.007306,495325371386430,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2535.0,0.0064,B,1748285847924,2025-05-27 02:57:27.924,13.1173,Open Long,0.0,0x3969b0b2c196adb9e1610424401aa0013a00d2d084e39d7574ebe2fd826ccb6b,97410960501,True,0.0073,874763397923326,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2535.3,0.0064,B,1748285907887,2025-05-27 02:58:27.887,13.1237,Open Long,0.0,0xc5c22989b1fc37b830b60424401db60188009458fcfa97b0f9b3b6e5c5d778c1,97411056692,True,0.007301,55888994553802,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2534.0,0.0064,B,1748285968065,2025-05-27 02:59:28.065,13.1301,Open Long,0.0,0x435fb07e0f9f6e7216be04244020c90203a00098da434ae7b1679cf4b3acd25f,97411226026,True,0.007297,138685874345107,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2534.5,0.0064,B,1748286028088,2025-05-27 03:00:28.088,13.1365,Open Long,0.0,0x94cf2d44f1f6a3f0bb9404244023ac01dd002a4a74711ba7d56989341205538a,97411342416,True,0.007299,493748460676688,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2533.9,0.0064,B,1748286088108,2025-05-27 03:01:28.108,13.1429,Open Long,0.0,0x1b66d7e44a46bedb26ef04244026c0020156000432859d5e5378b39569ede759,97411514655,True,0.007297,1117701604406529,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2533.6,0.0049,B,1748286148392,2025-05-27 03:02:28.392,13.1493,Open Long,0.0,0x42274d7a818932b60f1b04244029c301d400ceaa472f862a68e5306ba8b5b34d,97411668288,True,0.005586,809632535419986,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2533.6,0.0047,B,1748286178094,2025-05-27 03:02:58.094,13.1542,Open Long,0.0,0x424b1319e38e0dffe24e0424402b4c0154008062c10dcf00b42f93ac18af1042,97411723684,True,0.005358,523842417893487,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2533.9,0.0064,B,1748286238144,2025-05-27 03:03:58.144,13.1589,Open Long,0.0,0xce535c86aa2f7144aa990424402e3f015000a67562308f5eb9cac709f0e8db97,97411850466,True,0.007297,738209543489402,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2534.9,0.0064,B,1748286298062,2025-05-27 03:04:58.062,13.1653,Open Long,0.0,0x15e0ed41d8c30fe8a555042440312602027300d396228fcf9f0f1dfec58fa050,97411996769,True,0.0073,370006176719630,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2536.7,0.0064,B,1748286357945,2025-05-27 03:05:57.945,13.1717,Open Long,0.0,0x433a8b6996c3e4275549042440343302034800218d48f89639fe96ea56bc4b3e,97412159277,True,0.007305,246464947700361,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2535.9,0.0064,B,1748286417976,2025-05-27 03:06:57.976,13.1781,Open Long,0.0,0xf69daf2c81f0db9581d0042440374801e300ec28bdf36e790cb2cb2e38897a46,97412302828,True,0.007303,216505477350209,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2536.2,0.0064,B,1748286477906,2025-05-27 03:07:57.906,13.1845,Open Long,0.0,0x79bc511821d5cf8c61f50424403a70019400c9c716279ece80e0fdcdfa9b65d9,97412437284,True,0.007304,4482432283705,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2537.8,0.0064,B,1748286537973,2025-05-27 03:08:57.973,13.1909,Open Long,0.0,0x9caf57a1979884ee65920424403d8801c400c7eafa43756dd4c0860deab79beb,97412561080,True,0.007308,63758754690024,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2537.6,0.0064,B,1748286597848,2025-05-27 03:09:57.848,13.1973,Open Long,0.0,0x45ab0b6562aacf97c29c04244040a902028e0051878117065af3f81b6e99b09c,97412682412,True,0.007308,930984103191426,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2536.1,0.0064,B,1748286657954,2025-05-27 03:10:57.954,13.2037,Open Long,0.0,0x6ef4742041fd2fe9b59104244043af02018d00fc0e25e0c85ac6825e98d3c86a,97412804314,True,0.007303,981356000227080,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2538.4,0.0064,B,1748286718399,2025-05-27 03:11:58.399,13.2101,Open Long,0.0,0x989a40fd4ec705b5fee804244046dc02012f00ef7874f5867888e6754d716a7c,97412938857,True,0.00731,1063945657540081,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2540.0,0.0064,B,1748286777828,2025-05-27 03:12:57.828,13.2165,Open Long,0.0,0x5db9c2d1fadb44b05fca04244049d4020181003fbf95f92a5032fa830e3488a2,97413062453,True,0.007315,882788600597323,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2539.7,0.0064,B,1748286838030,2025-05-27 03:13:58.030,13.2229,Open Long,0.0,0x0cdf1b32a3441e68a3eb0424404cba0199000e3163409aa2eb8543eb165df292,97413196185,True,0.007314,962146890197489,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2539.1,0.0064,B,1748286898030,2025-05-27 03:14:58.030,13.2293,Open Long,0.0,0x8eabf8ab8e141d0e0d2b0424404fa8020140009d52f5c38a431baf1bfca9be7f,97413295567,True,0.007312,984505499151026,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
ETH,2539.3,0.0064,B,1748286957851,2025-05-27 03:15:57.851,13.2357,Open Long,0.0,0xf9a8bfefb739efbc8a1204244052af014e0082935191a7598d1cb9a182ce916f,97413418634,True,0.007313,670020715184407,USDC,,0x9e5b544388de0f07e06b31522bb49c965575e559,,
