币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
POLYX,0.12741,3644.0,B,1757311520935,2025-09-08 14:05:20.935,0.0,Open Long,0.0,0xa1deedeab5d06acba358042b1e66890203d000d050d3899d45a7993d74d444b6,156168504986,True,0.208926,240917771561242,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
XAI,0.04724,7189.4,B,1757311523263,2025-09-08 14:05:23.263,0.0,Open Long,0.0,0x00286dfd556d3b5701a2042b1e66a902029100e2f0605a29a3f1195014611541,156168534216,True,0.15283,771325302533814,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
DYM,0.21257,2184.0,B,1757311526208,2025-09-08 14:05:26.208,0.0,Open Long,0.0,0xda02d4a56098110cdb7c042b1e66cb020292008afb9b2fde7dcb7ff81f9beaf7,156168583666,True,0.208913,633808886135253,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
OMNI,3.2233,4.91,A,1757311527519,2025-09-08 14:05:27.519,0.0,Open Short,0.0,0x794f1a2199869f8f7ac8042b1e66d902071901023489be611d17c574588a797a,156168476724,False,0.002373,554543588321923,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
BOME,0.001946,238566.0,A,1757311528507,2025-09-08 14:05:28.507,0.0,Open Short,0.0,0xfe87cf9c7bb6c7830001042b1e66e7020388008216b9e656a2507aef3abaa16e,156168624358,True,0.208912,446440418080871,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
FIL,2.405,321.7,B,1757311530901,2025-09-08 14:05:30.901,0.0,Open Long,0.0,0xd2f8f620d72e99a6d472042b1e670502024100067221b87876c1a17396227391,156168640344,True,0.348159,186718381375517,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
JTO,1.8031,429.0,B,1757311536605,2025-09-08 14:05:36.605,0.0,Open Long,0.0,0xfd16ab58f9a8bf91fe90042b1e67530204a3003e94abde64a0df56abb8ac997c,156168713007,True,0.348087,491277260408356,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
PYTH,0.1626683361,4760.0,A,1757311538874,2025-09-08 14:05:38.874,0.0,Open Short,0.0,0xf762e00950cb5d5bf8dc042b1e676c020ca800eeebce7c2e9b2b8b5c0fcf3746,156168751797,True,0.348434,221649452294568,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
WIF,0.83469,1483.0,A,1757311545750,2025-09-08 14:05:45.750,0.0,Open Short,0.0,0xed7ef86b661f5f23eef8042b1e67c5020248005101127df59147a3be2513390e,156168839291,True,0.55703,802039666853768,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
BTC,110898.0,0.0046,B,1757311548638,2025-09-08 14:05:48.638,0.0,Open Long,0.0,0x4caeb9f4f16e5c1d4e28042b1e67ea02024c00da8c617aeff0776547b0623607,156168871141,True,0.229558,898935419543295,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
FXS,2.7596,18.5,A,1757311563357,2025-09-08 14:06:03.357,0.0,Open Short,0.0,0x8923bbc08426b59a8a9d042b1e68a70201e700a61f29d46c2cec6713432a8f85,156168667089,False,0.007657,456116349231667,USDC,,0x9fd6b4b177b61b3c4f6c25c9add0ef46ce9fb572,,
