币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
MET,0.5719,100.0,B,1761295364815,2025-10-24 16:42:44.815,0.0,Open Long,0.0,0xbdafb7c4a5df1f8dbf29042e18587202018300aa40d23e5f6178631764d2f978,211151684374,True,0.025735,731630769118430,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
PAXG,4061.3914,1.0,B,1761295614068,2025-10-24 16:46:54.068,0.0,Open Long,0.0,0xb9f2273acc94aaf8bb6b042e1864d302032a00206797c9ca5dbad28d8b9884e3,211154985901,True,1.827624,650711506293629,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
ETH,3955.42346,1.0,A,1761295755303,2025-10-24 16:49:15.303,0.0,Open Short,0.0,0x5adc870bf319ead95c56042e186bbb02014a00f18e1d09abfea5325eb21dc4c3,211156654079,True,1.779939,273204325696520,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
MET,0.5712,900.0,B,1761295846392,2025-10-24 16:50:46.392,100.0,Open Long,0.0,0xf01ef38a9a72c1ebf198042e18701a02011500703575e0be93e79edd59769bd6,211157580705,True,0.231335,74201984887761,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
HYPE,40.5034474692,23.51,A,1761296811815,2025-10-24 17:06:51.815,0.0,Open Short,0.0,0x883306caf6425a0b89ac042e189f940201f800b0914578dd2bfbb21db54633f6,211168291547,True,0.428504,255326730463640,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
MET,0.575488,1000.0,A,1761297337143,2025-10-24 17:15:37.143,1000.0,Close Long,4.218,0xc6cb6c4be2232795c845042e18b91d0201f900317d2646676a94179ea1270180,211174256873,True,0.258968,85475824756870,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
HYPE,40.472,23.51,B,1761297385458,2025-10-24 17:16:25.458,-23.51,Close Short,0.738214,0xce953f28695bfa9dd00e042e18bba0020215000e045f196f725dea7b285fd488,211174817996,True,0.428173,1043586484487278,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
APE,0.46635,1000.0,A,1761297705299,2025-10-24 17:21:45.299,0.0,Open Short,0.0,0x73c9c3f1b9bcfd437543042e18cbd402030700d754b01c1517926f4478b0d72e,211178263278,True,0.209857,1027320101714240,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
PROVE,0.99241,364.0,A,1761298022375,2025-10-24 17:27:02.375,0.0,Open Short,0.0,0x51a4fea360f0897c531e042e18db7d02038e0088fbf3a84ef56da9f61ff46366,211181440269,True,0.162556,252934682480446,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
PAXG,4054.8,0.007,B,1761302112634,2025-10-24 18:35:12.634,1.0,Open Long,0.0,0xbee38981a9a9517fc05d042e19a6610203dd006744ac705162ac34d468ad2b6a,211223802400,True,0.012772,611525696820626,USDC,,0x9ff67ac31aec7ca2bf0a0720b8e2f17cf3aa5c08,,
