币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
WIF,4.74524916,948.0,B,1711889769036,2024-03-31 20:56:09.036,0.0,Open Long,0.0,0xe9a58b00175147b28b73040846a43b0150006e6c226afe070f4c655a4d16c20e,16158223184,True,1.574471,827700812585401,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
APT,16.49340801,153.6,B,1711889788855,2024-03-31 20:56:28.855,0.0,Open Long,0.0,0x5a3c457613604c1caad0040846a47502020400cdac4dc34d257793d3ba160851,16158236628,True,0.886684,561597824045094,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
JUP,1.47922235,2112.0,B,1711889810916,2024-03-31 20:56:50.916,0.0,Open Long,0.0,0x74a06688197634968870040846a4b3011600e4f602a66b1478e4a52c1ddc0122,16158252381,True,1.09344,43155484389436,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
ONDO,0.89838,3232.0,B,1711889832508,2024-03-31 20:57:12.508,0.0,Open Long,0.0,0x26b46fbe3b07941c81de040846a4f0010f00ee65958db59d908be64a19dac6ba,16158267653,True,1.016247,71310520552052,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
STX,3.5332,818.0,B,1711889855246,2024-03-31 20:57:35.246,0.0,Open Long,0.0,0xf9163a37b340bbf5ce73040846a53001300054f7fbd31119a92f9de396c0e4f5,16158284460,True,1.011555,736422965593947,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
APT,16.91219245,153.6,A,1711920255746,2024-04-01 05:24:15.746,153.6,Close Long,64.32652,0x978fa3e86da93b7b0790040847f953010d00eaa2e0716f92b4983a55b5909dd4,16187778149,True,0.909198,793362207486506,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
STX,3.55731528,818.0,A,1711922625404,2024-04-01 06:03:45.404,818.0,Close Long,19.7263,0x99bb2def338017dfca3f0408481407015200794a59395557e69a94de01a0ed33,16189899176,True,1.018458,1109563787495508,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
SOL,201.93,9.91,B,1711927543049,2024-04-01 07:25:43.049,0.0,Open Long,0.0,0x624c0ec7eb4deca348490408484b0302015900dcb5da207dfa47d90fede52357,16159647248,True,0.700394,837901196685784,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
STX,3.6691,818.0,B,1711929074329,2024-04-01 07:51:14.329,0.0,Open Long,0.0,0x3f21c0fcd1ac08bc29b40408485b10011200a6b50723a36750384d7c92be6e82,16189933000,True,1.050462,5160705059124,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
SOL,192.52,9.91,A,1712009137311,2024-04-02 06:05:37.311,9.91,Close Long,-93.2531,0x5968f62f2e5aa831e9f904084bcb8d015300e1dc013b3400e7b8155854778214,16320535665,True,0.667755,1054452788205701,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
STX,3.59683452,818.0,A,1712009168699,2024-04-02 06:06:08.699,818.0,Close Long,-59.11316,0x746736e5bb892295c1fd04084bcbe3018900a9e9411401011d217d4b88375b97,16320571451,True,1.029773,739783707494396,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
ONDO,0.90162,3232.0,A,1712011879638,2024-04-02 06:51:19.638,3232.0,Close Long,10.47168,0xc68afba49cb52d0766d304084bea770141000124c1b289003ff45d871a6836e9,16323124799,True,1.019912,443080751884798,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
JUP,1.6878,2112.0,A,1712161319389,2024-04-04 00:21:59.389,2112.0,Close Long,440.516736,0x5e9019fb602c861f6e09040852214d01f8008497d00069e45fd87b2152fefa47,16581565815,True,1.247621,1012163473580612,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
WIF,3.52131382,948.0,A,1712267777636,2024-04-05 05:56:17.636,948.0,Close Long,-1160.290552,0x62eec3aa85aad567134404085699030139004e7d651464c6db0285cc11a858b6,16738411618,True,1.168371,467865073211602,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
WIF,3.58193226,558.0,B,1712276003196,2024-04-05 08:13:23.196,0.0,Open Long,0.0,0x36c9879d46bd3f4b975e040856f24e0000ae423c934e54516ba24fdd1b52868e,16740959070,True,0.699551,299566829645420,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
WIF,3.2622,558.0,A,1712413575138,2024-04-06 22:26:15.138,558.0,Close Long,-178.410456,0x6722d4b603df24d086ae04085cc5bf01310060db8e102eda6eb3f6154c921c81,16941437555,True,0.637107,716431119330581,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
ALT,0.66495806,3008.0,B,1712654293808,2024-04-09 17:18:13.808,0.0,Open Long,0.0,0xa4ca30845974ec47982c0408670a52018200b0287023aa8a1c3c7711d9f7081e,16159021277,True,0.700067,209321459970270,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
ALT,0.56257,3008.0,A,1712874711016,2024-04-12 06:31:51.016,3008.0,Close Long,-307.983104,0x73d886a3f2a76855e5ff0408705211016900e68d488396dcb284054dace411dc,17579186948,True,0.592272,609736693964952,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
ONDO,0.93,2152.0,B,1713134206042,2024-04-15 06:36:46.042,0.0,Open Long,0.0,0xe7848add80d893d3305404087ad435020556006596a8612d2644b27144d9b05f,16323155744,True,0.700476,1016303764102271,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
ONDO,0.85020279,2152.0,A,1713220280384,2024-04-16 06:31:20.384,2152.0,Close Long,-171.7236,0xc983bad1c0459ec953b604087e4a100201a600b5533658b2d597289f653c7c44,18475000660,True,0.640372,103202256494400,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
kBONK,0.02688566,74470.0,B,1714700476039,2024-05-03 09:41:16.039,0.0,Open Long,0.0,0xa1bf329f9e2307122ce00408bb6b4f00003af5d6aafe3e6240767635da0052b4,20798469295,True,0.70076,1025410472324198,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
kPEPE,0.009936,202020.0,B,1715616596565,2024-05-14 00:09:56.565,0.0,Open Long,0.0,0x1b21d8c3eb39b9329ac00408f73e850000bbe471eac4b5ea7f4f163d6427c4ec,16159847976,True,0.702544,9311434801117,USDC,,0xa1b23e09fba381182452412852db557f464b058a,,
