币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ALT,0.10358,9547.0,B,1727949609991,2024-10-03 18:00:09.991,0.0,Open Long,0.0,0xf085f47505db9bd7c60b041358148e020104004c184f1a54a89094d5c16013ba,40313151921,True,0.346107,209780300157510,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
ALT,0.10406,9547.0,A,1727949799467,2024-10-03 18:03:19.467,9547.0,Close Long,4.58256,0xbf8b9d900148b899bdd80413582039017a004ca4287d27e107902a23d22bce69,40313621910,True,0.347711,303378459002501,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
SUI,1.8905,185.0,A,1727955744214,2024-10-03 19:42:24.214,0.0,Open Short,0.0,0xebd46b1b81be7478dc4a04135990a90201170085b18bbd995077736c63fc61c3,40325492910,False,0.034974,67835705982818,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
SUI,1.8905,352.7,A,1727955752337,2024-10-03 19:42:32.337,-185.0,Open Short,0.0,0xe914cf468b4def757e22041359912a013700b6755b6f68c05b6a3dd2596a1c36,40325492910,False,0.066677,197091524052702,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
SUI,1.8615,537.7,B,1727961227514,2024-10-03 21:13:47.514,-537.7,Close Short,15.5933,0x7c62f3943e307a91ebfa04135ae47c0201600091c114c7a932f01acfb27a864e,40340023068,True,0.350324,561791976058710,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
NEAR,4.93838834,618.2,B,1728394117670,2024-10-08 21:28:37.670,0.0,Open Long,0.0,0xc502914cf1612e785b370413c354a40163008f956e12dfd79f805746d0a59fef,41029778120,True,1.068519,490470369075661,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
NEAR,4.99106236,618.2,A,1728394773944,2024-10-08 21:39:33.944,618.2,Close Long,32.568234,0xd9703ad2ce598368ed7d0413c37d4e02011600df20b5bb42c53f942f4b12c579,41031883628,True,1.079915,155711035928995,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
ONDO,0.69416,2721.0,B,1728394910397,2024-10-08 21:41:50.397,0.0,Open Long,0.0,0xd75ba6979e78b6e51f4d0413c385bd01c701013e3d026011bc62d5138d65cb16,41032299479,False,0.18888,696826579282231,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
ONDO,0.69416,438.0,B,1728394911606,2024-10-08 21:41:51.606,2721.0,Open Long,0.0,0x2cbd99f8c016946493320413c385d0015f00c96da4ee5e8c9591598890ef7793,41032299479,False,0.030404,1018782277220038,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
ONDO,0.69416,2374.0,B,1728394912613,2024-10-08 21:41:52.613,3159.0,Open Long,0.0,0xc1b98f6be7f5833c07640413c385df0201ce00f7eddfd9f53bd509d1b8f4b201,41032299479,False,0.164793,1068474251626199,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
ONDO,0.69416,321.0,B,1728394913617,2024-10-08 21:41:53.617,5533.0,Open Long,0.0,0x92abc814699104d01dc80413c385f1016c0046ca2cb507e24beb0093ba96bea0,41032299479,False,0.022282,718514980326580,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
ONDO,0.69410278,5854.0,A,1728395150426,2024-10-08 21:45:50.426,5854.0,Close Long,-0.33494,0x502a9c338dfbd152edcd0413c3949702012b007862f29f33c9f8cebcd4ddb1cb,41033038783,True,1.422146,403249475820724,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
WIF,2.517,1212.0,A,1728395483090,2024-10-08 21:51:23.090,0.0,Open Short,0.0,0xf0da5627b2bf684034fc0413c3a9260201420043121e07b52d512ca91219f02e,41033399478,False,0.30506,1023455533993928,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
WIF,2.50026642,1212.0,B,1728396644296,2024-10-08 22:10:44.296,-1212.0,Close Short,20.280295,0xff4aacac0494af4b7e220413c3f12f019e00d0b011f5128b6ee5482abd46a165,41038202681,True,1.060612,585663242370783,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
SUI,1.9844,1024.6,A,1728654928032,2024-10-11 21:55:28.032,0.0,Open Short,0.0,0x93845aa73eb8062b0f300414026fe201c6002d6fad3349aae6d4396003c3f0f0,41453358958,True,0.711624,626792519070532,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
SUI,2.17689319,1024.6,B,1728738398839,2024-10-12 21:06:38.839,-1024.6,Close Short,-197.22852,0xd9b43a67dd41145d61d5041416a0bd00008780951c10c00a36ae4f834eeecbde,41456432300,True,0.780655,797344914597278,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
BTC,68196.0,0.02005,A,1729811270990,2024-10-25 07:07:50.990,0.0,Open Short,0.0,0x97629b9f9742c177ef3b04151a9a990112008041b8b128e5b8ce88db4ea0a410,43206558641,True,0.478565,99185722500036,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
BTC,67815.0,0.02005,B,1730758919048,2024-11-05 06:21:59.048,-0.02005,Close Short,7.63905,0xc16d52100c3a20e8e5510415fff416015000e7ea5b41da291bc83315600ea1fa,44710567862,True,0.475891,405824547246622,USDC,,0xa54dcdcc297af6f2adfc906c37c4e47f814abc52,,
