币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,59063.0,0.00831,B,1725112349021,2024-08-31 21:52:29.021,0.0,Open Long,0.0,0x076126cdb00a20064c0e0410afe6f10000e579e759849fd369bc849839f859c3,36301851221,False,0.049081,194166326481470,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,59063.0,0.00329,B,1725112351002,2024-08-31 21:52:31.002,0.00831,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,36301851221,False,0.019431,913720251798418,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,59063.0,0.00348,B,1725112352029,2024-08-31 21:52:32.029,0.0116,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,36301851221,False,0.020553,413215838944622,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,59063.0,0.01533,B,1725112352187,2024-08-31 21:52:32.187,0.01508,Open Long,0.0,0x5fa511e1254f189941aa0410afe7220000669b288fc9d0fc6baca765e8763f7d,36301851221,False,0.090543,971818184433044,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,59001.0,0.03363,B,1725129316863,2024-09-01 02:35:16.863,0.03041,Open Long,0.0,0xa901fdb0d791b292ea550410b3fd9201de009ff16be27454373c953d7a028732,36322890691,False,0.19842,125052392708186,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,59001.0,0.00101,B,1725129317065,2024-09-01 02:35:17.065,0.06404,Open Long,0.0,0x4a8074a246d362cf2eeb0410b3fd9501bc0088c5e3c07a4faf73cd9d09e0a7ed,36322890691,False,0.005959,598792461699671,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,58844.0,0.00021,B,1725131388015,2024-09-01 03:09:48.015,0.06505,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,36325257413,False,0.001235,736303797306651,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,58844.0,0.01022,B,1725131390886,2024-09-01 03:09:50.886,0.06526,Open Long,0.0,0x931260bf27e7db3beccf0410b47d9901fa0085bd3a4eed4ecaae4de7fa866b0e,36325257413,False,0.060138,550459965237941,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,58844.0,0.00328,B,1725131401012,2024-09-01 03:10:01.012,0.07548,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,36325257413,False,0.0193,960569394274537,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,58844.0,0.00007,B,1725131402019,2024-09-01 03:10:02.019,0.07876,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,36325257413,False,0.000411,430738492572503,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,58658.0,0.01094,B,1725161222997,2024-09-01 11:27:02.997,0.07883,Open Long,0.0,0xc313db99adbc0e2125be0410bba8f901350096a8ca781180a313ee1b3702bfca,36350002348,True,0.2246,669608705542750,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,58044.0,0.02378,B,1725168258875,2024-09-01 13:24:18.875,0.08977,Open Long,0.0,0x4742b757518032ac3f440410bd564102012a0048a661e75978e00098c11cef32,36354721014,False,0.138028,40221790406291,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
AVAX,21.93,0.55,B,1725169986082,2024-09-01 13:53:06.082,0.0,Open Long,0.0,0x0d00111a24c36c59943e0410bdc107020118004f3c53abc5ee94a0bd62477c22,36302712005,False,0.001206,401119011471148,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
AVAX,21.93,4.02,B,1725169986571,2024-09-01 13:53:06.571,0.55,Open Long,0.0,0xb9dbb1b4040d63f4f8ba0410bdc1110000f243c97d9bdfc4b65820ab063a0eb1,36302712005,False,0.008815,151557208213794,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,"{'liquidatedUser': '0x1b084109f0c53835e75d3eb1c63d428d9753ec4c', 'markPx': '21.93', 'method': 'market'}",
AVAX,21.93,11.67,B,1725169987135,2024-09-01 13:53:07.135,4.57,Open Long,0.0,0x10b0688fc75813882d560410bdc11902018c0075e7816665da76eb88d1324106,36302712005,False,0.025592,652110942947992,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
SOL,131.5,2.83,B,1725179445395,2024-09-01 16:30:45.395,0.0,Open Long,0.0,0xf3db48537f0035e6c6b70410c00930018400ce4e79956d960927a7ff4eb2033e,36363378023,False,0.037214,468435004111142,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
ORDI,32.0540798,55.14,B,1725333066514,2024-09-03 11:11:06.514,0.0,Open Long,0.0,0x0e6f16524ca32a2d12f20410e4f59a017e001d3659858319ffbe96ecad47fb78,36592591867,True,0.61861,190895871601732,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
ORDI,32.13,55.14,A,1725334335053,2024-09-03 11:32:15.053,55.14,Close Long,4.19064,0xe2a25b9a1a66aec2b8a10410e54410016400167b8de0f017d212fa7698174e86,36594071479,True,0.620076,325203618041174,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
TON,5.26870849,1001.8,A,1725350624806,2024-09-03 16:03:44.806,0.0,Open Short,0.0,0x659c5f41d0ad1836381e0410e9312c014b00abe08d838501d36ee0e6a65b02cc,36610485387,True,1.847366,480951131965989,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
TON,4.95901832,1001.8,B,1725373026146,2024-09-03 22:17:06.146,-1001.8,Close Short,310.23911,0x2a5fd8d1e33038ca442e0410ee96ec0201f000ed7dae56f43b154d99455dce6c,36641527735,True,1.738779,738767721093723,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
TON,4.89374384,500.0,A,1725378441504,2024-09-03 23:47:21.504,0.0,Open Short,0.0,0x9697902b6881f0b867050410efe5fb0201c3007830f570393e8c36a470d1d37d,36652607051,True,0.856402,16608357543129,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
TON,4.95777962,500.0,B,1725389716914,2024-09-04 02:55:16.914,-500.0,Close Short,-32.01981,0x0b8270fb76611b4071e60410f29f7101730061e7134a1c4d33aecd8b803da8b4,36670669534,True,0.867608,961086380989892,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,57778.0,0.09,B,1725404568936,2024-09-04 07:02:48.936,0.11355,Open Long,0.0,0xa8b0df532591ddd444370410f6322a010100eb71077d040a532aee47d1a7d976,36668500300,False,0.520002,582552574716073,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
BTC,56686.0,0.12,B,1725413826105,2024-09-04 09:37:06.105,0.20355,Open Long,0.0,0x52813d720dbfe32396d80410f86e5a02014d00eac6df61caca33c87b68f9749c,36707129608,True,2.380812,111626663409014,USDC,,0xa671357791d0f31eebf135b9a05a0bfac5ba575e,,
