币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,64346.0,0.0002,B,1722476263647,2024-08-01 09:37:43.647,0.0,Open Long,0.0,0xd57e974d55ee544f0ae6040e77f0bf01d100a1bfd197555a21f89c768ee574f5,31841253823,True,0.004504,353540218121651,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64335.0,0.0003,B,1722476457441,2024-08-01 09:40:57.441,0.0002,Open Long,0.0,0x4e17de5545510b20ad8d040e77f93c016500fe176021dbf7586bf13f69f54420,31841736114,True,0.006755,50057537146118,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64372.0,0.0005,B,1722476756090,2024-08-01 09:45:56.090,0.0005,Open Long,0.0,0x2cf0b21ad4ae63651f1f040e78065801920078ca8437a189422da48deb3c6c4d,31842264771,True,0.011265,925179310156930,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64216.0,0.0015,B,1722477674261,2024-08-01 10:01:14.261,0.001,Open Long,0.0,0xc034a0cb276aa9cb8980040e782e8c02011c00316766a99965c7477b51d410e0,31843660146,True,0.033713,724500862946164,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64000.0,0.0025,B,1722478052313,2024-08-01 10:07:32.313,0.0025,Open Long,0.0,0x29804ac03b23e4c7d478040e783f2901eb002ea316ab1ae5242a7f90d2d7a9b1,31844448769,True,0.056,840564834523082,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64059.0,0.01,B,1722478073293,2024-08-01 10:07:53.293,0.005,Open Long,0.0,0xcceb3e2b43ab34774e52040e78401301ad00e431e41e19c22d3cfe1d96782dde,31844489105,True,0.224205,1024419788361596,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64187.0,0.015,A,1722478304234,2024-08-01 10:11:44.234,0.015,Close Long,1.536,0x091479b66f2c50095ac5040e784a2f0000d6d4566987f1b4f733dad244e61f68,31844877235,True,0.336981,822723155728213,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64560.0,0.00025,A,1722510787019,2024-08-01 19:13:07.019,0.0,Open Short,0.0,0x10a6cbc98acc30c96bf6040e7dd763015800a5c2e0686ac587b005bed132fb33,31892082224,True,0.005648,286648882551310,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64866.0,0.00025,A,1722514840123,2024-08-01 20:20:40.123,-0.00025,Open Short,0.0,0xd8ae3c5bd6b21404eeed040e7e886801db0012825644108c38c779d43a5775d4,31897158245,True,0.005675,324561197105899,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64821.0,0.001,A,1722514979145,2024-08-01 20:22:59.145,-0.0005,Open Short,0.0,0x41b37ee0452633cf9f10040e7e8e80017d0019add3bc8099bdc8a207377c3ad3,31897395182,True,0.022687,507195788137447,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64858.0,0.001,A,1722516133810,2024-08-01 20:42:13.810,-0.0015,Open Short,0.0,0x528e9b253351feafbb39040e7ec131013300ec866e4cbe103708b1a52709c669,31899252293,True,0.0227,388747827974726,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64919.0,0.0025,A,1722517410164,2024-08-01 21:03:30.164,-0.0025,Open Short,0.0,0xb924555f71500eafcbba040e7ef8f90144001cae818e4b186ddad3cda08ea66e,31900738285,True,0.056804,605307322404443,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64790.0,0.0045,B,1722517720729,2024-08-01 21:08:40.729,-0.005,Close Short,0.3447,0x572adc0ceb24467068d7040e7f0688014d0080750a659edda3efbcc29ddb1640,31901139022,False,0.029155,997207764685874,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
BTC,64787.0,0.0004,B,1722517986490,2024-08-01 21:13:06.490,-0.0005,Close Short,0.03184,0x86aba80df7c1f9b92b8e040e7f12260000d48ef7e13cce430ebacebe751e537f,31901232044,True,0.00907,251529749234254,USDC,,0xa6861b82ee6a6a53784af7381ee9c7661a0bf3b9,,
