币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
XRP,3.2744998,1526.0,B,1737150185086,2025-01-18 05:43:05.086,0.0,Open Long,0.0,0x5322e797819f9f8046c1041bb60e1c020369002ab364d68c86ef38afb0e42760,63821286937,True,1.748909,1021780297003903,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
VIRTUAL,3.3854,84.9,A,1737151742825,2025-01-18 06:09:02.825,0.0,Open Short,0.0,0xe2d0131f18cc09e62b78041bb66deb01c8007bf8a896f261192d8d2fcd529637,63825215283,True,0.100597,841190026892718,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
VIRTUAL,3.391,84.9,B,1737152302010,2025-01-18 06:18:22.010,-84.9,Close Short,-0.47544,0x6d572fcbc4cf06e28240041bb69060018900855e4ec984132ac5246c5c251db8,63826509145,True,0.100763,287413905349094,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
XRP,3.11628427,1526.0,A,1737178998052,2025-01-18 13:43:18.052,1526.0,Close Long,-241.435674,0x31c256339c117a379f94041bbd010c020165001597e0c3704d8baf785fb63f74,63910274046,True,1.664406,822714838547137,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
LINK,23.8921952,99.9,A,1737179122684,2025-01-18 13:45:22.684,0.0,Open Short,0.0,0xb39ef09077e1556566fd041bbd08c201bd00e016db87d497c586450d3149514a,63910872865,True,0.835389,427997454800469,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
LINK,23.89228428,99.9,B,1737179149135,2025-01-18 13:45:49.135,-99.9,Close Short,-0.009419,0x3da8223a8695aef5b039041bbd0a6502032a009e4782341befc680c6e92503f8,63911007109,True,0.835392,750372317802102,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
TRUMP,11.5,32.9,B,1737179188545,2025-01-18 13:46:28.545,0.0,Open Long,0.0,0xa882bd32a4b3af7e2b70041bbd0cd102029a00ec2adbdb2d5afe1f9c63dd06df,63911204196,True,0.132422,743006598788543,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
TRUMP,14.321,32.9,A,1737180359461,2025-01-18 14:05:59.461,32.9,Close Long,92.8109,0x1e1ba51db6f6e48ec643041bbd5525020160005d888edca3ab35e81d7b39654b,63918952340,True,0.164906,1022776474356939,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
TRUMP,14.683,36.5,B,1737180388592,2025-01-18 14:06:28.592,0.0,Open Long,0.0,0x4f777e0e29e75689c27c041bbd56ea02010e00176304fe5e14e1cefa1424e09b,63919161416,True,0.187575,121814192516840,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
TRUMP,14.906,36.5,A,1737180427626,2025-01-18 14:07:07.626,36.5,Close Long,8.1395,0x89f3a8a61c241f0fa0c2041bbd595101bd00fdf5f0d78371b2dcf9dfc68637a8,63919420651,True,0.190424,709223325242447,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
TRUMP,15.994,33.6,B,1737180469151,2025-01-18 14:07:49.151,0.0,Open Long,0.0,0x6518c8c1a7cb45822e0c041bbd5bec02019900faadf6d0e39fe15a325b40e8a9,63919675522,True,0.188089,815025364863454,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
TRUMP,12.75,33.6,A,1737181239100,2025-01-18 14:20:39.100,33.6,Close Long,-108.9984,0x2327d53a7b4506ea0042041bbd8b6f01e90030fe1a53030efa92537b6ed91b03,63921066280,True,0.14994,684579476066804,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
ENA,0.88229,900.0,B,1737182891057,2025-01-18 14:48:11.057,0.0,Open Long,0.0,0x38a505cb9d0ec12ad140041bbdf1c90201d0006df1412b976001783c2a1c35d6,63929913942,True,0.277921,544761083333985,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
ENA,0.88231,81.0,B,1737182904139,2025-01-18 14:48:24.139,900.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,63929913942,False,0.007146,942651423997263,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
ENA,0.88231,385.0,B,1737182914473,2025-01-18 14:48:34.473,981.0,Open Long,0.0,0x244fd0989fbdffbf86e5041bbdf33801d30081630258023576e9bef7ba707b02,63929913942,False,0.033968,901324428928251,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
XRP,3.1771,432.0,B,1737199546727,2025-01-18 19:25:46.727,0.0,Open Long,0.0,0x935def5883fb2f5708fd041bc1f7910202900006435f32895376638dcc2cd4b5,63992616493,True,0.480377,641190009715702,USDC,,0xadbfd7b81476cdcf6db59152750c8317350cbb51,,
