币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
PUMP,0.004555,21951.0,B,1757062458939,2025-09-05 16:54:18.939,0.0,Open Long,0.0,0xce2361248be7cc13cf9d042aeed0be020310000a26eaeae571ec0c774aeba5fe,153795790289,False,0.014998,395490528149536,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x8096f9a4547b4a689e9f4972181cf8e0
PUMP,0.004544,22006.0,B,1757064407469,2025-09-05 17:26:47.469,21951.0,Open Long,0.0,0x672f97948b763c8668a9042aef2ef00201f7007a26795b580af842e74a7a1671,153802673237,False,0.014999,768228795042497,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x56d06ab49b1c3641a0292a6e3ce52141
PUMP,0.004629,21603.0,A,1757067362051,2025-09-05 18:16:02.051,43957.0,Close Long,1.72824,0xb3bbb85302ffe4dfb535042aefbe160201f100389df303b1578463a5c1f3beca,153847331237,False,0.015,1066431494714264,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x938a60d3da0538611239fce90b989f9f
PUMP,0.004635,22006.0,A,1757067364085,2025-09-05 18:16:04.085,22354.0,Close Long,1.892516,0x2cd05ca06aad5aa52e4a042aefbe330203d3008605a07977d09907f329a1348f,153837053323,False,0.015299,69140409035677,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x6372c7353163c308edbd52a2602385d3
PUMP,0.004647,21516.0,A,1757067403304,2025-09-05 18:16:43.304,348.0,Long > Short,0.034104,0x546fa0f836f5103d55e9042aefc02b010800b8ddd1f82f0ff8384c4af5f8ea27,153795790277,False,0.014997,882954162627729,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x4872267a53d547d89f17e9c9c625a242
PUMP,0.004675,85567.0,A,1757067424584,2025-09-05 18:17:04.584,-21168.0,Open Short,0.0,0xdd29725ee35f3a7edea3042aefc1380204bd00447e52595080f21db1a2531469,153847329568,False,0.060003,331677999328759,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,"{'liquidatedUser': '0xd9456000c1d769c3285016ea834d0f4a60ae970e', 'markPx': '0.004659', 'method': 'market'}",0xb81430b171ecf95217c952cd2a647e47
PUMP,0.004693,85223.0,A,1757067427624,2025-09-05 18:17:07.624,-106735.0,Open Short,0.0,0x3f0a60df7a66ad534084042aefc1610201c900c51569cc25e2d30c32396a873d,153795790255,False,0.059992,499336183391405,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0xe52f6149aab41743e4f93046c024c190
PUMP,0.004581,85567.0,B,1757073710117,2025-09-05 20:01:50.117,-191958.0,Close Short,8.385566,0xdd1c7330bd4e3906de96042af0f5950210230016584157d880e51e837c4212f1,153860842845,False,0.058797,732039358648954,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x5c0866162cdee69faea8956ded9db94a
PUMP,0.004574,21863.0,B,1757073743029,2025-09-05 20:02:23.029,-106391.0,Close Short,2.295615,0x920330882132311f937c042af0f7360203d5006dbc354ff135cbdbdae0360b0a,153904974931,False,0.015,515645404039861,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x70af459d3e44a354bdddfa74f5e834ce
PUMP,0.004539,88127.0,B,1757075480503,2025-09-05 20:31:20.503,-84528.0,Short > Long,11.83392,0x40196d5f9af1bc904193042af14c6402076b004535f4db62e3e218b259f5967a,153925664577,False,0.060001,512897547318001,USDC,,0xaeabd3b5679d8810cecb544469ab72cfd06f336a,,0x42d057c7ac07c54fa5217ba7281d7068
