币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,66316.0,0.00704,B,1715818883200,2024-05-16 08:21:23.200,0.0,Open Long,0.0,0x7a7edb23941cb4fb5f1d0409256888016500c9b7ed1974e21db121691d0afa39,22693733426,True,0.163402,900544167986774,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,66336.0,0.00704,B,1715818987638,2024-05-16 08:23:07.638,0.00704,Open Long,0.0,0x70864d19d8050c6b08270409256eaa01c200d4a1c3a489ba8157c44379e54256,22693901407,True,0.163451,687819311900883,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,66251.0,0.00704,B,1715819091938,2024-05-16 08:24:51.938,0.01408,Open Long,0.0,0x24b98fb9197a7235744304092574d10148003ca4a4718b7079cad47158f48aed,22694065690,True,0.163242,680840685925345,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,66134.0,0.01765,B,1715859528465,2024-05-16 19:38:48.465,0.02112,Open Long,0.0,0xe39870bb76bb70e4eb5804092eb7ad012e00c22551cdb9635538fffddfb7bf06,22738927744,True,0.408542,695559432687789,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ADA,0.45494,1111.0,B,1715859535305,2024-05-16 19:38:55.305,0.0,Open Long,0.0,0xb0fe31b024fae3b2a95004092eb8130117002da6dd4ef9b5809c8adc5890318d,22738932415,True,0.176903,30321190737200,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
AVAX,34.522,14.48,B,1715859541356,2024-05-16 19:39:01.356,0.0,Open Long,0.0,0x3c081cad6508bc4a0b3a04092eb86f01760045b1394d8ea519158c98cd2bbada,22738944524,True,0.174957,813814064637961,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
DOT,6.89193992,72.4,B,1715859547393,2024-05-16 19:39:07.393,0.0,Open Long,0.0,0xfe745f735e785e1a4a5f04092eb8ca013e008ea36fb89b7b6bbb51c2866c8f20,22738952882,True,0.174641,453799381412967,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
LINK,13.823,36.1,B,1715859553628,2024-05-16 19:39:13.628,0.0,Open Long,0.0,0x5ac201995e5e87f45df204092eb92b0154002302554181a85554e37ba9ab97af,22738960553,True,0.174653,464264121260661,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
MATIC,0.68333403,735.0,B,1715859559921,2024-05-16 19:39:19.921,0.0,Open Long,0.0,0xd03727cf0b8e021ea23a04092eb98a011b0048adc9616235c0daa8037760bccf,22738968278,True,0.175786,382989794557383,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
SOL,162.85,3.07,B,1715859565769,2024-05-16 19:39:25.769,0.0,Open Long,0.0,0x6a3d6d1ad78bd20368e304092eb9e201300067448eaa0cf391170e1bf99cb886,22738972440,True,0.174981,101707584542696,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,2995.6,0.1334,B,1715859571434,2024-05-16 19:39:31.434,0.0,Open Long,0.0,0x41411652446093e0db1d04092eba3b013b00fdcf4d33d76e721de0b8075632f0,22738979052,True,0.139864,127841459960984,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,66120.0,0.01765,B,1715859632575,2024-05-16 19:40:32.575,0.03877,Open Long,0.0,0xe937f2c73eac6c1eb8e004092ebdd1018300a796aa5e700662db0d7052e2b779,22739053153,True,0.408456,166765482308211,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,66113.0,0.01765,B,1715859737564,2024-05-16 19:42:17.564,0.05642,Open Long,0.0,0x2f283938900d142b491904092ec3ff010e001a67484c1a8aee0798459c71713a,22739141054,True,0.408413,150221065248596,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
SOL,172.68,0.09,A,1716063672704,2024-05-19 04:21:12.704,3.07,Close Long,0.8847,0x31d76274c13e9676290404095d7c8a011500cb88f799703160d7090634425a5a,22985136101,True,0.005439,168278134900966,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ADA,0.48339,46.0,A,1716063677282,2024-05-19 04:21:17.282,1111.0,Close Long,1.3087,0xb0466738b5781b76ac1404095d7cd0011c00e98d4826465911f2ddb390cc5f87,22985138858,True,0.007782,98514230627840,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
AVAX,37.0,0.56,A,1716063681978,2024-05-19 04:21:21.978,14.48,Close Long,1.38768,0xf748f1cf20350470014b04095d7d16011100be894fad25a66663db3e06d01fc8,22985141383,True,0.007252,68440494910505,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
LINK,16.285,4.4,A,1716063691479,2024-05-19 04:21:31.479,36.1,Close Long,10.8328,0x7a0c8fb6392d30d2016e04095d7da7010e00375fde0aeed05739cd224f1de578,22985148784,True,0.025078,453951494790956,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,66927.0,0.00134,B,1716063702476,2024-05-19 04:21:42.476,0.07407,Open Long,0.0,0xd27b3ab1b465aa4a262a04095d7e49011c001ad599792a4647e92220e3a0e56b,22985155935,True,0.031388,924632464963266,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3115.4,0.1311,B,1716063708134,2024-05-19 04:21:48.134,0.1334,Open Long,0.0,0x688eaab4fc78e9df337b04095d7e9d0111000f57b0a899c8dcb2a7c9ad34fdca,22985158765,True,0.14295,670417144244876,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3123.6,0.1641,B,1716077202728,2024-05-19 08:06:42.728,0.2645,Open Long,0.0,0xaec2bb1ffc474a82e0fb04096095a3011a00ecee07511d033aa0f02cc717c16c,22993778899,True,0.179403,852675837445173,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,71411.0,0.01413,A,1716250010399,2024-05-21 08:06:50.399,0.07541,Close Long,73.820772,0x53a6dd06e91ca55bb33f04098863f0014600153802fc63779b6b296fafaa9e0a,23218587392,True,0.353163,1124148596688383,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,71394.0,0.01413,A,1716250013046,2024-05-21 08:06:53.046,0.06128,Close Long,73.580562,0xb39d70bf3eb05ed5b4be0409886419014800d880b0cb68783bec9ffe9cfd57a3,23218593686,True,0.353079,418400702364538,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,71297.0,0.01413,A,1716250114186,2024-05-21 08:08:34.186,0.04715,Close Long,72.209952,0x3be8726ae64055532d970409886a0f014300d19e4bee5e07cb973fe309979f25,23218856460,True,0.352599,506482451968135,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,71297.0,0.01413,A,1716250117280,2024-05-21 08:08:37.280,0.03302,Close Long,72.209952,0xf843653648b63ef6fcbe0409886a3d016e00c3da0c6ebb8fcdcdbe1cd7de7703,23218861305,True,0.352599,1113606983558617,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,71324.0,0.01413,A,1716250218058,2024-05-21 08:10:18.058,0.01889,Close Long,72.591462,0x3bde9d4c692bbac8791d040988703201510022d5e6a056b903ab4194f9b55f28,23219097872,True,0.352732,27295039731879,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
BTC,71333.0,0.01413,A,1716250221028,2024-05-21 08:10:21.028,0.00476,Long > Short,24.496864,0xfb80f17931566021c701040988705f0160000a5fe88d41f7ec7d417b49e0f82c,23219104171,True,0.352777,934009315852747,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3685.9,0.3476,B,1716250223546,2024-05-21 08:10:23.546,0.4286,Open Long,0.0,0x74f6a788a1fa75be063d04098870850151000659d068d39101280f7d19c0786c,23219109915,True,0.448426,580449888403088,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3686.1,0.3475,B,1716250226785,2024-05-21 08:10:26.785,0.7762,Open Long,0.0,0x90b58964ede50b87ce7d04098870b5015200e99a90c94b71d42cb8fcd69afd69,23219118778,True,0.448321,881344836146013,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ADA,0.50766,35.0,B,1716250228862,2024-05-21 08:10:28.862,1065.0,Open Long,0.0,0xa7d7336e95b535504cba04098870d7014700d216f2b823b81ae51cb1b85bb4bd,23219122633,True,0.006218,164639482538842,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ADA,0.50777,36.0,B,1716250232123,2024-05-21 08:10:32.123,1100.0,Open Long,0.0,0x173a84d67955951fc8e6040988710801550052e33699b2ad51e7728c5ea73cba,23219131435,True,0.006397,1042317668889683,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3688.8,0.3476,B,1716250327514,2024-05-21 08:12:07.514,1.1237,Open Long,0.0,0x3e08451160121868ef2204098876a2016a004c805aaca4be25eaa1a7ffd3959a,23219365883,True,0.448779,123690686987950,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3686.8,0.3475,B,1716250353738,2024-05-21 08:12:33.738,1.4713,Open Long,0.0,0xbaeb668f87b6d1713f280409887831013e00e668e240d42060bad871878761cb,23219435852,True,0.448407,416090238497491,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3688.4,0.0957,B,1716250431463,2024-05-21 08:13:51.463,1.8188,Open Long,0.0,0xcdd29dc38eb68b4a9ca10409887cc9014400f431705bb3318d794f522fcab031,23219621668,True,0.123542,251002371982276,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ETH,3689.4,0.1459,A,1716250437093,2024-05-21 08:13:57.093,1.9145,Close Long,20.137118,0x07ca1a23008ce79cf86e0409887d20012500ee8185845b69e825fe6d2c736f65,23219631235,True,0.188399,32452589788221,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
ADA,0.50689,43.0,A,1716250441149,2024-05-21 08:14:01.149,1136.0,Close Long,2.092036,0x569d87ea8d4b1a933bf70409887d5c014a006eb1d412e8dce51d66a845c9d7d5,23219639687,True,0.007628,608982957933027,USDC,,0xaf362adb3d113ba23db042a34eac8fdccb7e4411,,
