币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
GOAT,0.048443,10590.0,A,1745158690688,2025-04-20 22:18:10.688,0.0,Net Child Vaults,0.0,0x04bf7332a32cc950808f0421e9339c01580067b36257e841f7a853ad4e50db1a,87629014099,True,0.179553,464685041359225,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
VVV,2.211,2.7,A,1745158690688,2025-04-20 22:18:10.688,0.0,Net Child Vaults,0.0,0x04bf7332a32cc950808f0421e9339c01580067b36257e841f7a853ad4e50db1a,87629014103,True,0.002089,1040909028414963,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
GOAT,0.048392,114.0,B,1745158826091,2025-04-20 22:20:26.091,-10590.0,Net Child Vaults,0.005814,0xdd0cdfcb0f5d865edc0a0421e93a0101700053547b1083ef1634b3ba4c957016,87629270432,True,0.00193,165059433260235,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
GOAT,0.048281,10954.0,B,1745159020566,2025-04-20 22:23:40.566,-10476.0,Net Child Vaults,1.697112,0xeef88f73e125dadf64580421e9432c02011b0035db6fc344af560666bc8cab01,87629689351,True,0.185104,350519006051799,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
GOAT,0.04823,5417.0,B,1745159051877,2025-04-20 22:24:11.877,478.0,Net Child Vaults,0.0,0xb8185dd21bd2a519af9c0421e9447702014500d9214ad9936e46a83f35b62f33,87629753669,True,0.091441,334770541200135,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
GOAT,0.048121,7592.0,B,1745159072622,2025-04-20 22:24:32.622,5895.0,Net Child Vaults,0.0,0xba45d5725e2a297b558a0421e9458d02012e00dee02080c77aa8471c37400481,87629799700,True,0.127867,163351869456311,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
GOAT,0.048127,7043.0,B,1745159082992,2025-04-20 22:24:42.992,13487.0,Net Child Vaults,0.0,0x973b3097c78768dd19b80421e946180201c200822f1636a311475e1f56336376,87629823089,True,0.118635,355519010046059,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
GOAT,0.048126,697.0,B,1745159104205,2025-04-20 22:25:04.205,20530.0,Net Child Vaults,0.0,0xe88ada3f9b18a3da074b0421e9470d01f500ff8f70bd7381e726630ff54f5148,87629858428,True,0.01174,207266016174092,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
GOAT,0.048022,21227.0,A,1745159522935,2025-04-20 22:32:02.935,21227.0,Close Long,-2.801964,0x4342f45e56d2a3251c6f0421e95a9501d400af253d6cc860e49942e19123556c,87630632124,True,0.356777,1039848724678902,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
VVV,2.2146,2.7,B,1745160293881,2025-04-20 22:44:53.881,-2.7,Close Short,-0.00972,0xbd43c332827e7d837edc0421e97fb30202810046fe364016bf99ca4ae706e35c,87632076310,True,0.002092,710574389062870,USDC,,0xb0a55f13d22f66e6d495ac98113841b2326e9540,,
