币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,42726.71362229,0.0323,A,1703844872820,2023-12-29 18:14:32.820,0.0,Open Short,0.0,0x9b9145139213174672cd0406dbf820012c00177ff64c1033d50567e2ca5f86c4,5729150083,True,0.345017,304645375802684,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42739.0,0.0323,B,1703844886570,2023-12-29 18:14:46.570,-0.0323,Close Short,-0.39729,0xc7de9ce2c2cca38339610406dbf85101590002c9559862bd6c67fc4940634150,5729160738,True,0.345117,796116629684687,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42758.01069017,0.10664,A,1703844964134,2023-12-29 18:16:04.134,0.0,Open Short,0.0,0x2b39f8c7a0cb477213130406dbf96a013d002a10a313d357ec908e7638e95082,5729222903,True,1.139927,477488073822857,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42768.49990623,0.10664,B,1703844975448,2023-12-29 18:16:15.448,-0.10664,Close Short,-1.11971,0x64303277d0350a65a4490406dbf99101310065fe6be158871ca15c4c69946423,5729229980,True,1.140206,249554500099328,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,41988.11609907,0.1292,A,1703870315447,2023-12-30 01:18:35.447,0.0,Open Short,0.0,0x51ab9cc195e15f182a030406dd6bc301d2001aeb94f1e6bec699f28759f6bdca,5754407755,True,1.356214,40384259547836,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42000.98839009,0.1292,B,1703870340967,2023-12-30 01:19:00.967,-0.1292,Close Short,-1.66518,0x18a709be75949eae20da0406dd6c18010500f837d527573991a9e51595d66c69,5754431905,True,1.356631,724874975710541,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42087.0,0.11734,B,1703917437028,2023-12-30 14:23:57.028,0.0,Open Long,0.0,0xa7a4c4b66b1e2e9491eb0406e0313301b600237600ddf73407f08d1c5bcff163,5788167955,True,1.234622,976237334156111,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42068.83560593,0.11734,A,1703917482207,2023-12-30 14:24:42.207,0.11734,Close Long,-2.13141,0x0216a667dc84f8c6223e0406e031d301c6009a7efb526f5f6ad9af0841e0cfc9,5788198773,True,1.234087,679974536984989,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42414.0,0.10151,B,1703963060065,2023-12-31 03:04:20.065,0.0,Open Long,0.0,0x8725d8f276cb9fc376d50406e2df1b01020015a2bf1786fa8a6abf31c8e9d7b2,5821822157,True,1.076361,816761495375721,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
BTC,42420.04649788,0.10151,A,1703963092397,2023-12-31 03:04:52.397,0.10151,Close Long,0.61378,0x3fc8689455b0668519cc0406e2df9001050058bad325fe4672423c89c3e66162,5821843111,True,1.076514,622338578546140,USDC,,0xb40c2aaa4baf5475676ff3f54929ef4d4a6df9de,,
