币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ADA,0.70119,208.0,B,1741616111321,2025-03-10 22:15:11.321,0.0,Open Long,0.0,0xa3388ef1072b21b359c8041f47eb47020603009ea682419c3951b7b028f9efd1,78698905958,True,0.051046,407401387304439,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.81927,177.0,B,1741616446711,2025-03-10 22:20:46.711,0.0,Open Long,0.0,0x3efb03bc874f03c107ff041f47fb6a020151008163a908de10e863870de87559,78701318045,True,0.050753,625502745495730,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.82888,93.0,A,1741616767653,2025-03-10 22:26:07.653,177.0,Close Long,0.89373,0x943804bafc7e225bb064041f480aa802071f00970584a648169f491057861103,78703555692,True,0.02698,790734670577123,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.82178,84.0,A,1741616890577,2025-03-10 22:28:10.577,84.0,Close Long,0.21084,0x6c95a401c7a4f1644b99041f4810ba0202ef002d56aad68cf7e903b96de40013,78704362120,True,0.02416,217434975904400,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.82005,178.0,B,1741616967863,2025-03-10 22:29:27.863,0.0,Open Long,0.0,0xe24e7b1e94e95c585046041f4814880209cc005e48e3594427e209400965de2a,78704682561,False,0.014596,28490635909345,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.82263,93.0,A,1741617093512,2025-03-10 22:31:33.512,178.0,Close Long,0.23994,0x8785730d8ebb65c5619a041f481ab90203c40045bb6ef7449f365dcc9f43886a,78705669253,True,0.026776,1113385476113907,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.82137,85.0,A,1741617212970,2025-03-10 22:33:32.970,85.0,Close Long,0.1122,0xf08ed0350af0930eaf67041f4820800209b200333c0745a79ac92bd48f5b257a,78706460210,True,0.024435,677529319645359,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.81895,178.0,B,1741617227828,2025-03-10 22:33:47.828,0.0,Open Long,0.0,0x183d8c5a30125b78e815041f4821360202da00eb8052a005054e041262a96158,78706500957,False,0.014577,788086341811306,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.82129,93.0,A,1741617566438,2025-03-10 22:39:26.438,178.0,Close Long,0.21762,0x2e3668ca7fcdb924dfd1041f48315802015b004a3fff39dacb50d1d00e77ddb7,78709014312,True,0.026732,658690590672029,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.81702,86.0,B,1741617660934,2025-03-10 22:41:00.934,85.0,Open Long,0.0,0x0b932861165cd676b973041f4835ef016b00814da5953a731696d229795c51e3,78709209759,False,0.007026,658940437872437,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.81879,94.0,A,1741619460454,2025-03-10 23:11:00.454,171.0,Close Long,0.076234,0x085ebf0e915e05a88c32041f488e9a015700f4d76f84b1dcd0b894bdba2552cb,78720645110,True,0.026938,574506072177650,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ONDO,0.82134,77.0,A,1741619719901,2025-03-10 23:15:19.901,77.0,Close Long,0.258797,0xecbff042295fc618da28041f489b910201b50033ec98a8981fa2653066b20e95,78722095348,True,0.022135,1109222508411047,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ADA,0.70992,109.0,A,1741621172403,2025-03-10 23:39:32.403,208.0,Close Long,0.95157,0x31d0f2dda2fff202cfdc041f48e3b40201d2000286c12e03393326ce26645629,78729883948,True,0.027083,1034927413180603,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ADA,0.7057,99.0,A,1741621269694,2025-03-10 23:41:09.694,99.0,Close Long,0.44649,0x2ffa94e3d7ccac0779c2041f48e8940201d20047f97cfc4e1b1998bf273c255f,78730378390,True,0.024452,749209452284545,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
SUI,2.1504,67.8,B,1741626268572,2025-03-11 01:04:28.572,0.0,Open Long,0.0,0x6e556d3931f5ef4ce5d0041f49e16102068d0057aae39f19d180ddf938c8708b,78753137686,False,0.014579,975775261879403,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
SUI,2.1509,35.5,A,1741626936595,2025-03-11 01:15:36.595,67.8,Close Long,0.01775,0xe56e398c162c4d8ae047041f4a015c0000fc327d1c6f8e4d28f6684b3819cfd8,78754055800,False,0.007635,876290296699568,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
SUI,2.1671,32.3,A,1741627066276,2025-03-11 01:17:46.276,32.3,Close Long,0.53941,0xfdd4eafb6da761b1cad8041f4a079f020459007c6a9001f96480f6610df3d4ac,78758716257,True,0.024499,1076009442991580,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1921.0,0.076,B,1741628291470,2025-03-11 01:38:11.470,0.0,Open Long,0.0,0x8aec54f19686cbcdda73041f4a445a02017f00ad99061c217cd920fb419a2646,78765336715,False,0.014599,385013138002104,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1920.4,0.0397,A,1741628443828,2025-03-11 01:40:43.828,0.076,Close Long,-0.02382,0xbe7cf554a6836fa7d746041f4a4b7c02051a00e002b8588d38420d798192b3cf,78766125146,True,0.026683,1083606010635688,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1919.7,0.0054,B,1741628452124,2025-03-11 01:40:52.124,0.0363,Open Long,0.0,0xa4f56ff758d6e277a4d5041f4a4bf102044a00b7a43f43aaf2cf8c226f84fa10,78766153484,False,0.001036,24627895677727,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1919.7,0.0312,B,1741628452718,2025-03-11 01:40:52.718,0.0417,Open Long,0.0,0x0202dc0d62e3a757f817041f4a4bf80202ac0088ee500255fe7b0c1d0a4215dc,78766153484,False,0.005989,258873009456051,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1921.5,0.0397,A,1741628582384,2025-03-11 01:43:02.384,0.0729,Close Long,0.046052,0x6e16417b2052abd4377a041f4a528502047f00ea5a380a4fd0d78879cfe639cc,78766831545,True,0.026699,1853441635451,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1915.7,0.04,B,1741628799807,2025-03-11 01:46:39.807,0.0332,Open Long,0.0,0x570bf012f51abd8b7f2a041f4a5d1002035600e93060d982765d2e262a2934da,78767739998,False,0.007662,701283001326261,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
DOGE,0.15777,925.0,B,1741628899964,2025-03-11 01:48:19.964,0.0,Open Long,0.0,0x70add5d8d7b49750449d041f4a620c02020d00512dd3e5180ad966f8086fff05,78768430565,False,0.014593,192666923422199,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1923.4,0.0398,A,1741629839737,2025-03-11 02:03:59.737,0.0732,Close Long,0.22288,0x260c81772c00db7c9e19041f4a90810202e400b74a4b106f76ede4ec608cb8b7,78773842480,True,0.026792,1027208617556138,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
DOGE,0.15858,484.0,A,1741629854015,2025-03-11 02:04:14.015,925.0,Close Long,0.39204,0xa698dbd818c0de88c484041f4a9128020110001bc78d0147db2310764e813086,78773928427,True,0.026863,25808848575080,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
ETH,1920.0,0.0334,A,1741629979326,2025-03-11 02:06:19.326,0.0334,Close Long,0.07348,0x14a3aff09fe3c9c33c55041f4a97630202f20055fc7e0fe8c60edfa5f2a0fe20,78774571882,True,0.022444,411191321198090,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
DOGE,0.15807,441.0,A,1741629990413,2025-03-11 02:06:30.413,441.0,Close Long,0.1323,0x343cc724b31a904be2d0041f4a97ed01e700ade89b68f48b571cd73689a29378,78774636822,True,0.024398,1017274188216933,USDC,,0xb5191bb6dba7630faba2a5c12248e4ecbad1991c,,
