币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
MATIC,0.72568,6889.1,A,1716779638102,2024-05-27 11:13:58.102,0.0,Open Short,0.0,0xa78e3527d57ad87c7bf9040a028f03012600cb93bf70374e3b2658b01b81e9de,23979932743,True,1.749748,394080128722296,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ETH,3925.0,1.2738,B,1716779659034,2024-05-27 11:14:19.034,0.0,Open Long,0.0,0xc4f8fe1fa62be79767bb040a0290330124004ae8e1af6aff552a2e6cb7b8c2d0,23979951633,True,1.749882,6529666487424,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
STRK,1.312704,3808.3,A,1716780519160,2024-05-27 11:28:39.160,0.0,Open Short,0.0,0x01475ae4f739467afaec040a02c2ec01120092f97aaed11413217ce38992e6bb,23980834898,True,1.749708,262786701565802,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ARB,1.2654,3950.2,A,1716780556351,2024-05-27 11:29:16.351,0.0,Open Short,0.0,0x8204863bdd0747714969040a02c51d011400b4eb7d8e5d67ef349e3f1cbe3f6d,23980868102,True,1.749504,591979541614483,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
BTC,69111.0,0.07234,A,1716780567829,2024-05-27 11:29:27.829,0.0,Open Short,0.0,0x2eb4fbf36a842bd43f13040a02c5ca012400a737e0f23b0c32ce0e0131bd6eeb,23980878517,True,1.749821,710046528456228,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ARB,1.2673,3950.2,B,1716780590139,2024-05-27 11:29:50.139,-3950.2,Close Short,-7.505423,0xb102fca3c5768f28c7ed040a02c7180113008b1269d3cdb061303c18eddb5f6d,23980902326,True,1.75213,311358569765561,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ARB,1.2653,3951.9,B,1716780601685,2024-05-27 11:30:01.685,0.0,Open Long,0.0,0xe945cda1910dcf7a227e040a02c7c1011500e28bf6510422143e3630b5dd01c1,23980914935,True,1.750118,31932876217467,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
OP,2.6107,1916.4,B,1716780628139,2024-05-27 11:30:28.139,0.0,Open Long,0.0,0xf06b64b8868cac5495b3040a02c954013300bf88030156ccb860745144ff0c12,23980945829,True,1.7511,448041754520210,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
MATIC,0.74475745,6889.1,B,1716853814170,2024-05-28 07:50:14.170,-6889.1,Close Short,-131.426428,0x820d8b2f53e0ab64760d040a13a10b012400bed2d609ffa9f38262bb4f5a0b02,24079985941,True,1.795746,102896819383905,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ARB,1.2323,3951.9,A,1716853818209,2024-05-28 07:50:18.209,3951.9,Close Long,-130.4127,0xa9d2f6b915a91bbee315040a13a149011e00898fce99953d5031a4ba3973cb9c,24079988555,True,1.704474,166009299516819,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
STRK,1.3087,3808.3,B,1716853826702,2024-05-28 07:50:26.702,-3808.3,Close Short,15.2332,0xd72ed05573e18c253abe040a13a1cb011700216278e628555d13b85213f44541,24079997739,True,1.744372,984813585508889,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
BTC,69490.0,0.07234,B,1716853831163,2024-05-28 07:50:31.163,-0.07234,Close Short,-27.41686,0x8f9f17994deb1b002667040a13a20e011c0072fb585de4160398cdbf620f919e,24080000737,True,1.759417,478071578145957,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
OP,2.5949,1916.4,A,1716853837110,2024-05-28 07:50:37.110,1916.4,Close Long,-30.27912,0x33a08711e629f313bc05040a13a26801a200b74271c58272ccd1e53c396227da,24080006706,True,1.740503,706519183481186,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ETH,3900.0,1.2738,A,1716853863595,2024-05-28 07:51:03.595,1.2738,Close Long,-31.845,0x91c59585ed3b3789d8a4040a13a3f60133009fbe46dd9aef169a102d6431e596,24080027544,True,1.738737,1050931182279549,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ETH,3852.7,0.2595,B,1716862514631,2024-05-28 10:15:14.631,0.0,Open Long,0.0,0x34b1160960e0efbee53c040a15a2ee01ab002503f2e0c19c56b5e807b17fb3fd,24098518496,True,0.349921,947137640520554,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
BCH,477.58,1.047,A,1716862543547,2024-05-28 10:15:43.547,0.0,Open Short,0.0,0x8af5c8c726988921e164040a15a4a401a4000f2c44b2b64ce587cf05055dc789,24098630790,True,0.175009,1065939349249217,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
ETH,3790.3,0.2595,A,1717021488492,2024-05-30 06:24:48.492,0.2595,Close Long,-16.1928,0x77cfbb71b0c7db1f70ed040a3a59a7012a005b9e6f51ff121cc5ae9bbbfd18fe,24349384042,True,0.344253,538785947009250,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
BCH,468.83,1.047,B,1717021490190,2024-05-30 06:24:50.190,-1.047,Close Short,9.16125,0x44c9203ab1c494418300040a3a59c1011400cd831d6e186a6a03541db573137a,24349385979,True,0.171802,387105003004877,USDC,,0xb52d27b0a165bae5b8c46619e3a4576f95c7e599,,
