币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,1622.6,0.0616,B,1744536668386,2025-04-13 17:31:08.386,0.0,Open Long,0.0,0xce0f130a4f3921bf97e6042174dd7c020123002de454810fdc23252500a96b20,86195766368,True,0.034983,666229992908857,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
ETH,1624.7,0.0616,A,1744536904641,2025-04-13 17:35:04.641,0.0616,Close Long,0.12936,0xf3e48baaa5f89cd93940042174e8c4010100d7e1acb01b37d5b00c4ff57df039,86196220795,True,0.035028,144591246666096,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
ETH,1600.5,0.0624,B,1744543900340,2025-04-13 19:31:40.340,0.0,Open Long,0.0,0xbfe6d5bee875b285e0aa0421763b3b0201120077d6d5088fc56cba9ebd4b85f4,86212160961,True,0.034954,330484953030633,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
ETH,1601.8,0.0624,A,1744545347518,2025-04-13 19:55:47.518,0.0624,Close Long,0.08112,0x1668724f599ef47542820421768190010900434129f77678bf605a042a165a59,86214371686,True,0.034983,575738653363272,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
ETH,1605.6,0.0374,B,1744546670247,2025-04-13 20:17:50.247,0.0,Open Long,0.0,0x33f6b5b1b5eeb3b0ebc6042176c0dc0203d400c4b767e2323802dc2872385cbc,86218313128,True,0.021017,1097136784655729,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
ETH,1606.3,0.0241,B,1744546704351,2025-04-13 20:18:24.351,0.0374,Open Long,0.0,0x1be81984a7d614cb1dc5042176c271020407002d08453a3983d6a38fd7b5eaff,86218400427,True,0.013549,384685422690048,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
POPCAT,0.27253,696.0,A,1744547382276,2025-04-13 20:29:42.276,0.0,Open Short,0.0,0x5f87044b841cc2e4d59f042176e3c202017000c88a4ae0292c452d643d1c5b1b,86220311259,True,0.066388,217823345483633,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
BTC,84380.0,0.00089,B,1744547560051,2025-04-13 20:32:40.051,0.0,Open Long,0.0,0x6ee0e4e74b3bd4f0fdb6042176ec7202036100a100e2fb9708dd55fbba2ba8f8,86220865261,True,0.026284,154240157604268,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
POPCAT,0.277697445,1182.0,A,1744554032470,2025-04-13 22:20:32.470,-696.0,Open Short,0.0,0xa26cc9d2860105e21c1f0421782876016b0032e3c79efa2cd7f7649ca0edfafe,86238535402,True,0.114883,346609214199370,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
BTC,83705.0,0.00089,A,1744554037998,2025-04-13 22:20:37.998,0.00089,Close Long,-0.60075,0x434e8f171b5234a441c004217828cb01b200e2c88b64a7edca31c849b4f71d73,86238548519,True,0.026074,278872792488442,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
ETH,1575.6,0.0615,A,1744554041168,2025-04-13 22:20:41.168,0.0615,Close Long,-1.861605,0x9f71b8746e9e937b2f0204217828fa01af00743657599662eb238b5d3920327b,86238553138,True,0.033914,1092441157877067,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
POPCAT,0.27703,308.0,A,1744554159516,2025-04-13 22:22:39.516,-1878.0,Open Short,0.0,0xe642d1e3715d8ab9087a0421782ee501c10066a0bebdf4d70a591823a8c41cff,86238863670,True,0.029863,773929507043536,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
POPCAT,0.26691,2186.0,B,1744557024011,2025-04-13 23:10:24.011,-2186.0,Close Short,19.778928,0xf6bafec3d221d0db2688042178b1db013e0029820f53dddb98b00918a4bbb670,86245399496,True,0.204212,1085544678633251,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
SOL,128.63,0.9,A,1744559681853,2025-04-13 23:54:41.853,0.0,Open Short,0.0,0xfc0625a6d032c9865c540421793000020146004c5ea081bad597cb6364d488a4,86251581518,True,0.040518,846547679627467,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
SOL,130.08,0.84,A,1744564732197,2025-04-14 01:18:52.197,-0.9,Open Short,0.0,0xf91418c224096023f4e204217a254d02013900cc881fc62e45bce1cffd74e07a,86263222944,True,0.038243,161802192251523,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
SOL,130.96,0.78,A,1744565798967,2025-04-14 01:36:38.967,-1.74,Open Short,0.0,0xd6b38eed71dbc385b53304217a599402012600f6af33d15b76b4a78bb909d412,86267442240,True,0.035751,1021517423190101,USDC,,0xb976c80f29e38ce73f641e0d4fe8cc8508051034,,
