币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2018.16666056,1.0921,B,1700144890563,2023-11-16 22:28:10.563,0.0,Open Long,0.0,0x02e13e8bed53838fc2c3040604b610016600978235aaf1dd79859152b502a24a,3200777340,True,0.551008,0,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,6.2942,79.8,B,1700165525357,2023-11-17 04:12:05.357,0.0,Open Long,0.0,0x50801cbd456aaeb2de02040605e2da0134001355cc03fb60262bcc826b8c4801,3217247641,True,0.125569,0,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,6.7881,79.8,A,1700323411249,2023-11-19 00:03:31.249,79.8,Close Long,39.41322,0xfaf79f4af3fd1690250304060ef34f017f00202b4442a02b1a3fef0347a3562b,3318782016,True,0.135422,0,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,6.9783,380.9,B,1700423408222,2023-11-20 03:50:08.222,0.0,Open Long,0.0,0xc92112d843d512eb3724040614c09c015a009813a4d65cc06de0b0dda53e559b,3361488969,True,0.664508,0,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ETH,2039.9,1.0921,A,1700494784536,2023-11-20 23:39:44.536,1.0921,Close Long,23.742254,0xef0f75dcaf5961fdeb5a040618df130131002efb02a713cdd1a03f6b9cecded3,3400307565,True,0.556943,0,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
SEI,0.22984,2372.0,B,1701037056962,2023-11-27 06:17:36.962,0.0,Open Long,0.0,0x781482f99e2287a7b1b00406381559011100cbcabfe6f4f3cbda5cd2fce18959,3704721093,True,0.136295,686509141353329,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,7.3702,380.9,A,1701493125963,2023-12-02 12:58:45.963,380.9,Close Long,149.27471,0x18fc134e4aaa50b271b60406522add015400c3474549d473d4b2fb1fb81c5dfc,3939451297,True,0.701827,562440844010321,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
SEI,0.25082,2372.0,A,1701493128912,2023-12-02 12:58:48.912,2372.0,Close Long,49.76456,0x328f92dd57be610219e90406522aeb01500089359728fc4dd23f80b5806f45c5,3939452577,True,0.148736,1020236316782865,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ETH,2096.58160625,6.6702,B,1701497214794,2023-12-02 14:06:54.794,0.0,Open Long,0.0,0x90f9df03071293c49d6304065267d6013400235ea392f6d4b6cfda2eb2a805db,3940831624,True,3.496153,475470848622094,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
DOGE,0.08448898,74142.0,B,1701497294552,2023-12-02 14:08:14.552,0.0,Open Long,0.0,0xe6dab3a26667617aafda04065268fb010b00b26f1f60809d2dec8c6050871a30,3940858697,True,1.566044,990080654815406,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ETH,2102.5,6.6702,A,1701531954397,2023-12-02 23:45:54.397,6.6702,Close Long,39.487584,0x9c303ce2146c9a14c6110406546c99011000872ea67a9039000584f31a4475ad,3954567386,True,3.506023,940056078168774,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,8.5067,457.9,A,1701531964657,2023-12-02 23:46:04.657,0.0,Open Short,0.0,0xbbf3f8c34c98bf4de3b70406546cc0010f00b80dcd52eed54336bff1c683e51f,3954571430,True,0.973804,307596985077678,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,8.6691,457.9,B,1701544055858,2023-12-03 03:07:35.858,-457.9,Close Short,-74.36296,0x007e6174da78984204320406551fd00198006853259af12d0a8e09fadcda49cd,3960635063,True,0.992395,956471950174420,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,8.6829308,940.4,B,1701544073830,2023-12-03 03:07:53.830,0.0,Open Long,0.0,0x0a85952aae5013c7af420406552010011000176827ab806d155d0355cfe3b42d,3960647542,True,2.041356,361745336190277,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ETH,2182.4,2.8885,B,1701544144292,2023-12-03 03:09:04.292,0.0,Open Long,0.0,0x4df76bcc6d24fbad6f55040655211101c400e2b255b3f5168f72acffce5b5e82,3960717544,True,1.575965,817070278044979,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
DOGE,0.08595036,74142.0,A,1701547425945,2023-12-03 04:03:45.945,74142.0,Close Long,108.422236,0x5184c416656261c8df770406555163011500d14de53d79a6da48e799258207e2,3963222673,True,1.593132,711431152545154,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
OP,1.7459,5172.1,B,1701547825561,2023-12-03 04:10:25.561,0.0,Open Long,0.0,0xe08570d6690392cc2331040655572f01ad006a41f6e7252370b5fea5a3a50dca,3963432670,True,2.257492,681907160385735,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ETH,2200.0,0.0702,A,1701641484829,2023-12-04 06:11:24.829,2.8885,Close Long,1.23552,0x8470da7b49983fc62f0a04065ac19c010b00b5a85f5d7acefe368f264ff2647b,3963730787,False,-0.003088,307280370758509,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ETH,2200.0,2.8183,A,1701641487772,2023-12-04 06:11:27.772,2.8183,Close Long,49.60208,0x52555aede0c6a93837dc04065ac1aa01bb006b9acf72822c1c20be60090f6e49,3963730787,False,-0.124005,798733725112712,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ARB,1.1185,10038.3,B,1701660215256,2023-12-04 11:23:35.256,0.0,Open Long,0.0,0x3b39fad33788ac5eefcc04065bd7370154001d6ba618733fb9e6d5c473fbaee9,4016437493,True,2.806959,561953323479941,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
OP,1.7331,5172.1,A,1701688346684,2023-12-04 19:12:26.684,5172.1,Close Long,-66.20288,0xdcd5194fbe985ac635c704065d726301bc010415ad903571f89e3f5512e1e154,4036035330,True,2.240941,2141275210224,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,"{'markPx': '1.7273', 'method': 'market'}",
ARB,1.0899,10038.3,A,1701688346684,2023-12-04 19:12:26.684,10038.3,Close Long,-287.09538,0xded50a6a61361e9a0dbe04065d726301bc01056d9a3b5e7467ce4866886830fa,4036035331,True,2.735185,930612555225137,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,"{'markPx': '1.0757', 'method': 'market'}",
TIA,8.49167442,940.4,A,1701688346684,2023-12-04 19:12:26.684,940.4,Close Long,-179.856752,0x04f9ffc059c1eaca5dd704065d726301bc0106edf8004e56fb1831bec9cf5cf3,4036035332,True,1.996392,180122488266244,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,"{'markPx': '8.4936', 'method': 'market'}",
TIA,8.4315,1071.1,B,1701700199443,2023-12-04 22:29:59.443,0.0,Open Long,0.0,0x54367e67a7e5d36b9ff104065e1bff01960079822fa1a9f7eead081415092a64,4048545511,True,2.257744,632349404575859,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.3671,43.0,A,1701799775711,2023-12-06 02:09:35.711,1071.1,Close Long,40.2308,0xe7cde14ee6c51fb6107f040663ddcd02010d0047fad5c7fdf148040be64d28d7,4106310743,False,-0.008055,1056403743717885,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.3671,1028.1,A,1701799776319,2023-12-06 02:09:36.319,1028.1,Close Long,961.89036,0xa6ff59adc7d2818da86f040663ddcf01bd0020dddb4aa4cf6ef65d9e65c86760,4106310743,False,-0.192606,36100873211126,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
OP,1.82862912,5000.0,B,1701803573031,2023-12-06 03:12:53.031,0.0,Open Long,0.0,0x142bb04758c4e574d9e804066415b30172008d9e05f18d7a7e1d991c1eb23e11,4119560765,True,2.285786,470816437834305,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ARB,1.09,5000.0,B,1701803601042,2023-12-06 03:13:21.042,0.0,Open Long,0.0,0x0c7c147966c3a4b37793040664161d01a200562e507444f877d8646bc174deb1,4119583611,True,1.3625,50698222474417,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
OP,2.0,5000.0,A,1701965047963,2023-12-08 00:04:07.963,5000.0,Close Long,856.9,0x727904cb0569fbf421ec04066d5c8b01d3005cc52743ed373b18c2d433f40133,4126349602,False,-0.2,994738864204728,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ARB,1.186,3373.5,A,1701966462898,2023-12-08 00:27:42.898,5000.0,Close Long,323.856,0x7d97b0baed556d04ffcc04066d7116014600a6703ed78b040cba8c6273acc0f9,4126358747,False,-0.080019,878405107865879,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ARB,1.186,49.6,A,1701966849261,2023-12-08 00:34:09.261,1626.5,Close Long,4.7616,0x6cae9446d9c8ff7e4f1804066d76bb02013000c681561974b4a6c2ab10ee95bb,4126358747,False,-0.001176,1050841877611297,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ARB,1.186,49.6,A,1701966850524,2023-12-08 00:34:10.524,1576.9,Close Long,4.7616,0x59a4c4c3b1910a92b7c204066d76bf0175003213bc11fb8790f0f60a6d41d7c4,4126358747,False,-0.001176,310398410322437,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ARB,1.186,1527.3,A,1701966851706,2023-12-08 00:34:11.706,1527.3,Close Long,146.6208,0xccd89a5d5e997e4f8fab04066d76c3010d00f877f4cffb1e5c9c2d29cc7b006f,4126358747,False,-0.036227,617099641987619,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
SOL,72.001,100.0,B,1702022934041,2023-12-08 16:08:54.041,0.0,Open Long,0.0,0x1a64c6b2c410bde5daed040670c3c801ab00fb0de0d894accc7b32de67922232,4279558398,True,1.800025,490174887272063,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.39828458,1000.0,B,1702023168181,2023-12-08 16:12:48.181,0.0,Open Long,0.0,0x4124daf1ba26700cfbf8040670c6fe013200894df5f3682ce5db8e4da7240ac6,4279772107,True,2.34957,1041079056310732,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
SOL,73.47632,100.0,A,1702087321754,2023-12-09 10:02:01.754,100.0,Close Long,147.532,0xd51b1c72126e1d6171610406749b8b015300984034cd28ea3a41fdac0a47efb4,4320498908,True,1.836908,917305175940669,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.71419881,1000.0,A,1702121750351,2023-12-09 19:35:50.351,1000.0,Close Long,315.91881,0x28f9ff37969a717de412040676a02001080045a421c2a4adaee22e650ff22e35,4345717297,True,2.428549,929666291377066,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.6958,1000.0,A,1702122291904,2023-12-09 19:44:51.904,0.0,Open Short,0.0,0x9720c6810c3b9953abce040676a8600155002fd877cb920a8b6060208948c535,4346053842,True,2.42395,353108375344547,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.693,1000.0,B,1702122567263,2023-12-09 19:49:27.263,-1000.0,Close Short,2.8,0x3d533498c3190355d2a7040676ac800128000c2a012d205b60ce6fdc265509ca,4346256041,True,2.423249,620478696602160,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.1,64.0,B,1702202361392,2023-12-10 17:59:21.392,0.0,Open Long,0.0,0x711a7f8da536a3696c2404067b7e9f01fa005c37e629842faa1ad01df29fa7a2,4346347259,False,-0.011648,481269905451897,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.1,500.6,B,1702202363030,2023-12-10 17:59:23.030,64.0,Open Long,0.0,0xb587905b2ba151c6727804067b7ea401bd00cd48c1cddb9125a4b814ccab8d2d,4346347259,False,-0.091108,176094356850341,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.1,1435.4,B,1702202363615,2023-12-10 17:59:23.615,564.6,Open Long,0.0,0x79d5cd31f40e29a5198104067b7ea601e7003af76594973e8f04303d209f647f,4346347259,False,-0.261242,848560224309297,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,9.94,2000.0,A,1702251113392,2023-12-11 07:31:53.392,2000.0,Close Long,1680.0,0x9ed465f9ca7d1539769304067e7188011c00f46c20db56e1738c09b4dcb4ec4e,4402026465,False,-0.3976,214245742078691,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,10.6621482,1000.0,B,1702267661124,2023-12-11 12:07:41.124,0.0,Open Long,0.0,0x2f66ad274154d37d142904067f636a01130030accc1c4057d7bf4bbad357140f,4444683527,True,2.665535,812008272396986,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,10.194,1000.0,A,1702269993594,2023-12-11 12:46:33.594,1000.0,Close Long,-468.14,0x98183dbde2b49bc4db5104067f856b01b000e4e8bd004da73324739203bb7296,4447267958,True,2.5485,1020618593646931,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
SOL,68.58,100.0,B,1702302855727,2023-12-11 21:54:15.727,0.0,Open Long,0.0,0xe026e9f6daff42cbfd710406817292010f00a012edf51c3fb3a8cc75253a0fc5,4474301169,True,1.7145,810382311928338,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
ARB,1.0974,5000.0,B,1702302886846,2023-12-11 21:54:46.846,0.0,Open Long,0.0,0xaac523b3112b38501d62040681731701010015953f4c277db34e0c24eefcda32,4474337337,True,1.37175,631914396109322,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
DOGE,0.097032,100000.0,B,1702304516543,2023-12-11 22:21:56.543,0.0,Open Long,0.0,0x6754b074a35eef1481420406818b33012100fcc8fb8cc4bbe39571d5d11568b5,4476198978,True,2.425799,201132469235031,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
SOL,69.826,100.0,A,1702330303168,2023-12-12 05:31:43.168,100.0,Close Long,124.6,0x17dcae23fbce38467a0004068311150159000980ae60b308ee365739b1a32847,4502321854,True,1.74565,3442006553422,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,10.63808368,2500.0,B,1702330335354,2023-12-12 05:32:15.354,0.0,Open Long,0.0,0xa2e670f1db343a2533960406831193010d0088d859cd54fc0c0a7f856c9c013f,4502342069,True,6.648801,358293709367173,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
TIA,10.82939376,2500.0,A,1702332737041,2023-12-12 06:12:17.041,2500.0,Close Long,478.2844,0xa730171d3fc5ca02244e040683344f011c008eb8cf4f3455bba564f520c4ab91,4503720448,True,6.76837,40057807778434,USDC,,0xbab9bb048bd96ac0ee3788f0725f252cb68a168c,,
