币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,88209.0,0.02267,B,1741119198367,2025-03-05 04:13:18.367,0.0,Open Long,0.0,0xcdc98b728e8665ec5974041ee933e80202b000c3bed421536da7e2e78567eec8,77176135006,True,0.699894,363422058251780,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
BTC,88236.0,0.04688,A,1741120222146,2025-03-05 04:30:22.146,0.02267,Long > Short,0.61209,0x6b3f115be64021b7dd8b041ee9657502030400824de93d331e568723f6ac0a34,77180010232,True,1.447776,147892026041785,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
BTC,88110.3432465923,0.02421,B,1741120554450,2025-03-05 04:35:54.450,-0.02421,Close Short,3.04215,0xf454743375f7d837e762041ee9758902021b00f3f9a9c13647c332846b29a274,77181490983,True,0.746599,835197977465283,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
ETH,2166.8024319868,0.9704,A,1741120765549,2025-03-05 04:39:25.549,0.0,Open Short,0.0,0xe30c9e703cae0df19818041ee97f9e0202ee0030ad7573e5fa1ff9de000dd947,77182272152,True,0.735932,609331925802692,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
ETH,2138.3,0.9704,B,1741122388867,2025-03-05 05:06:28.867,-0.9704,Close Short,27.6564,0x00f31e8f4c62d343470d041ee9cb65018300bf42dd33c70de87767f05595fb24,77188428306,True,0.726252,960666670637476,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
BTC,87500.0,0.01784,B,1741123178866,2025-03-05 05:19:38.866,0.0,Open Long,0.0,0x07ce75aaf572de017a94041ee9eff4020226004038917f58a3b7d71336859fe2,77191484548,True,0.54635,1063322794372593,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
BTC,88477.0,0.01784,A,1741123835391,2025-03-05 05:30:35.391,0.01784,Close Long,17.42968,0xa9c9fd724cce58c2414d041eea0ea70205df00ae000e1a00209c3c92492fc336,77195012484,True,0.55245,131094953363697,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
BTC,87858.0,0.03455,B,1741127502295,2025-03-05 06:31:42.295,0.0,Open Long,0.0,0xf4edbad9324b1c35ead6041eeab9b80202d00077c141c698d1ebe93110fea4a0,77208840611,True,1.062422,60802493555150,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
BTC,87240.1256150507,0.03455,A,1741130449579,2025-03-05 07:20:49.579,0.03455,Close Long,-21.34756,0x46de3091998cd1577d53041eeb44c40201c200fc9dd323b7bae8b3608ca8ef49,77208930336,True,1.054944,991736687232099,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
SOL,143.37,28.11,B,1741138443611,2025-03-05 09:34:03.611,0.0,Open Long,0.0,0x96bd1a7868c63eed14f4041eecc7bb0208d400512cac11f831e34ee59c276b95,77240685042,True,1.410545,456084761960680,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
XRP,2.4754,1608.0,B,1741138580222,2025-03-05 09:36:20.222,0.0,Open Long,0.0,0x179272c74f2051c2ac16041eecce0f0201250032abd27d5c878c4dc63e317084,77241353505,True,1.393155,253537982792863,USDC,,0xc333bd9332a802021144df830d4d44f301b93bb5,,
