币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,1614.4,0.0145,B,1695238419774,2023-09-21 03:33:39.774,0.0,Open Long,0.0,0x36fddfd0346eedd8bd710404d2cebb011f00102d6db994a6eac942ca10b3ef72,1532030948,False,-0.000468,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1614.4,0.0254,B,1695238518070,2023-09-21 03:35:18.070,0.0145,Open Long,0.0,0x255acebcbd79d1e54f380404d2d04b010800c7184deb550a96f6e87227d658f0,1532030948,False,-0.00082,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1614.4,0.0613,B,1695238527591,2023-09-21 03:35:27.591,0.0399,Open Long,0.0,0x0a12f57d837cfe7e2f010404d2d07201310054a18fc749ed16c561750bb3fbd9,1532030948,False,-0.001979,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1614.4,0.0178,B,1695238528192,2023-09-21 03:35:28.192,0.1012,Open Long,0.0,0x9fbdc0b4fbf4f2c66cbd0404d2d074010f003755fddfd02354338b934c0f71c3,1532030948,False,-0.000574,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1614.4,6.0737,B,1695238574313,2023-09-21 03:36:14.313,0.119,Open Long,0.0,0xccab056c926ffa5a25a50404d2d129011c008fec71ac74230d067379c6afd10a,1532030948,False,-0.196107,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1614.4,6.1917,B,1695238574313,2023-09-21 03:36:14.313,6.1927,Open Long,0.0,0xccab056c926ffa5a25a50404d2d129011c008fec71ac74230d067379c6afd10a,1532045587,False,-0.199917,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1614.4,6.1927,B,1695238574313,2023-09-21 03:36:14.313,12.3844,Open Long,0.0,0xccab056c926ffa5a25a50404d2d129011c008fec71ac74230d067379c6afd10a,1532049600,False,-0.199949,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ARB,0.84297,11865.4,A,1695238599884,2023-09-21 03:36:39.884,0.0,Open Short,0.0,0xb48fa3cf9aaa9cfd9fe90404d2d189011400de7e228013baab62c2274ba997fb,1532099797,False,-0.200043,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
OP,1.37802005,7258.2,A,1695238620015,2023-09-21 03:37:00.015,0.0,Open Short,0.0,0x2d3bcd5b0d6f2e4db4200404d2d1de01ce001d36d6efc973b50eba386108770b,1532108100,True,2.500484,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
MATIC,0.53894,18559.4,A,1695238636861,2023-09-21 03:37:16.861,0.0,Open Short,0.0,0xbb37125a912087a409650404d2d216011c00245f3f97f994f26d1d7aae7ba326,1532111481,False,-0.200048,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1588.1,0.0112,B,1695343907978,2023-09-22 08:51:47.978,18.5771,Open Long,0.0,0x77a5e75d4ed593e60aa30404d90eb301070018cb57932a70dd6a4e1d7393232e,1550556631,False,-0.000355,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1590.1,0.0104,B,1695344250983,2023-09-22 08:57:30.983,18.5883,Open Long,0.0,0xf9ac1ae34ace77ab122e0404d913e0013e00f0eb51ae0392942e2d1490891e5a,1550621359,False,-0.00033,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1591.6,0.0249,B,1695344441014,2023-09-22 09:00:41.014,18.5987,Open Long,0.0,0xe435a5e7f9dfc1086e2a0404d916bf0138000c755fa9693e924069a5cc622223,1550657219,False,-0.000792,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1591.6,0.0221,B,1695344480940,2023-09-22 09:01:20.940,18.6236,Open Long,0.0,0x8b9363bb7438e86ccd820404d9175a010e005264964a5bf93fbbb7d7e3a80171,1550657219,False,-0.000703,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ETH,1591.6,9.3519,B,1695344490618,2023-09-22 09:01:30.618,18.6457,Open Long,0.0,0xe5fcb78b059a64955bbb0404d91780011400ecc6634a41df34b3f05b2cde21ac,1550657219,False,-0.297689,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
ARB,0.82572,6056.4,A,1695344538054,2023-09-22 09:02:18.054,-11865.4,Open Short,0.0,0xb0db8cfe0257457987240404d91834010e00786594559a15751e1fa036f789f8,1550684451,False,-0.100017,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
MATIC,0.5208,9601.5,A,1695344579607,2023-09-22 09:02:59.607,-18559.4,Open Short,0.0,0xde28e38321d339973dfd0404d918db010800125b1e69b43e83cd1f92cea65353,1550687086,False,-0.100009,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
OP,1.2984,3851.9,A,1695344613417,2023-09-22 09:03:33.417,-7258.2,Open Short,0.0,0x1d15577820946369af0e0404d9195e010a006225a2ff40a620054f0b7073e9b2,1550688663,False,-0.100026,0,USDC,,0xc392f43b4624321c91f1c3b82f87af8c48b71548,,
