币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
PUMP,0.0059577833,10000000.0,A,1752604681327,2025-07-16 02:38:01.327,0.0,Open Short,0.0,0xdc6cbf7a8d19d045384a042790586e0205ed00cbeb531246af731daf07b59bc1,114552093817,True,26.810009,34304209560826,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116793.0,1.51984,B,1752608003853,2025-07-16 03:33:23.853,0.0,Open Long,0.0,0xba398acae8877551323c042790ffab020484000bc6497c0998ac5509b8e56440,114568268413,False,26.626,55332093701257,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116793.0,0.0066,B,1752608005024,2025-07-16 03:33:25.024,1.51984,Open Long,0.0,0x31731ced6b5ce474b82c042790ffb90202cc00399c6c083e2a81079ff06b8e77,114568268413,False,0.115625,244081592898664,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116793.0,0.01583,B,1752608005141,2025-07-16 03:33:25.141,1.52644,Open Long,0.0,0x5e8c4717cf439c3df6af042790ffbb0201d500c4c76c7298d978b59f8ab10625,114568268413,False,0.277324,107375667768940,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.03763,B,1752608100079,2025-07-16 03:35:00.079,1.54227,Open Long,0.0,0x748e3641daacd6fb633604279104b202064800064f43d8416b54173f3e543277,114568239787,False,0.658775,734904495367776,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.00213,B,1752608100687,2025-07-16 03:35:00.687,1.5799,Open Long,0.0,0x65d23c00866d08c53be304279104ba0000eb2968f2d4f2872a2b01439245abea,114568239787,False,0.037289,184997153156515,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.0185,B,1752608101069,2025-07-16 03:35:01.069,1.58203,Open Long,0.0,0x6fb4f4052ee9d3a7258204279104c002051f00250fbff94b37552a44d3c658e8,114568239787,False,0.323872,111648967257496,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.09027,B,1752608102388,2025-07-16 03:35:02.388,1.60053,Open Long,0.0,0xf94da7625f5a30314e6804279104cf0208d3006c2acaba4767bea46c62c45708,114568239787,False,1.580324,702854160887875,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.0147,B,1752608103049,2025-07-16 03:35:03.049,1.6908,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,114568239787,False,0.257347,1016871743348539,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.01,B,1752608103717,2025-07-16 03:35:03.717,1.7055,Open Long,0.0,0xb0e7c9c95704d2cd97d904279104e2020576000a1a131bdf1f7748b674013098,114568239787,False,0.175066,433518553726525,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.00606,B,1752608231177,2025-07-16 03:37:11.177,1.7155,Open Long,0.0,0xfb14c29fdba390ef7bc00427910b70020b490039780ba4f05e10647bffe033d4,114568239787,False,0.10609,506483115395420,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.0015,B,1752608231971,2025-07-16 03:37:11.971,1.72156,Open Long,0.0,0x23c16d61484d5df67f810427910b7a02038c00f4264d8d9493e5a212f4ae621f,114568239787,False,0.026259,345310083550315,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.00196,B,1752608234000,2025-07-16 03:37:14.000,1.72306,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,114568239787,False,0.034313,991667271152322,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
BTC,116711.0,0.00031,B,1752608235006,2025-07-16 03:37:15.006,1.72502,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,114568239787,False,0.005427,145218911871339,USDC,,0xc497f1f8840dd65affbab1a610b6e558844743d4,,
