币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,3289.79650105,0.1429,B,1736647088976,2025-01-12 09:58:08.976,0.0,Open Long,0.0,0xeec791d051f438afd665041b3fa5f00201f600695e45a5bb2c26a60b51be66d6,62377367723,True,0.164538,631266287712519,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
LTC,104.31,0.25,B,1736661708803,2025-01-12 14:01:48.803,0.0,Open Long,0.0,0xd71b82448fbeb080b9fe041b4326880201180035699b52622c99477462e326b6,62397740308,True,0.009127,83460223581861,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
APT,8.5521,8.36,B,1736745996856,2025-01-13 13:26:36.856,0.0,Open Long,0.0,0x208e61e8764f4be365ce041b57676b01c100b4f363fc0766164e9831d5de872a,62577920757,True,0.025023,889863957035332,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
LTC,96.688,0.25,A,1736762666788,2025-01-13 18:04:26.788,0.25,Close Long,-1.9055,0xfc332ad9e3af041330ca041b5b692c01d90058c68ac10ff75dfb3657c9b6edab,62633606709,True,0.00846,745941314033588,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
ETH,3121.0,0.1429,A,1736764089053,2025-01-13 18:28:09.053,0.1429,Close Long,-24.120091,0xf5db093c4ec34620f2b8041b5bc1190203e000e2b6c68096ba85eb78edb27935,62639356314,True,0.156096,1116013941896676,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
ETH,3121.57505811,0.5593,A,1736764101602,2025-01-13 18:28:21.602,0.0,Open Short,0.0,0x3e52f65c2ff7310b650f041b5bc1de02017a00741b5840a7b7d10426417e8fc5,62639449404,True,0.611063,934110988203034,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
ETH,3072.49742535,0.5593,B,1736770148088,2025-01-13 20:09:08.088,-0.5593,Close Short,27.446291,0xdeb1faae2d1139dc6bfa041b5d372d0201e800381ef3e1565f74815c2df21b96,62663435046,True,0.601456,525839279716178,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
ETH,3077.6,0.1735,B,1736770183994,2025-01-13 20:09:43.994,0.0,Open Long,0.0,0x40f79478b19c1f4fb045041b5d3969020189005c3748d4e7eb5aacb0d69735a9,62663633688,True,0.186886,1057788872207316,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
BTC,91233.0,0.00219,B,1736770211089,2025-01-13 20:10:11.089,0.0,Open Long,0.0,0xedef851dca49052099ff041b5d3b0b020124001918eeec0a226e141e4be1d8d4,62663745067,True,0.06993,414482633501892,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
SUI,4.3657,45.2,B,1736770251166,2025-01-13 20:10:51.166,0.0,Open Long,0.0,0x37c8f2ffb648dd4699ab041b5d3d8b02015f00e7fdf2e88081ca694470047c80,62663957314,True,0.069065,857991171099591,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
FARTCOIN,0.75053,18.7,B,1736774237724,2025-01-13 21:17:17.724,0.0,Open Long,0.0,0x1d24ae04959130cba218041b5e333f01910026ab748db8adc74cb848501c8bcc,62682556494,True,0.004912,478722782377871,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
ENA,0.8021,28.0,B,1736774773757,2025-01-13 21:26:13.757,0.0,Open Long,0.0,0xbb1b9140af5bb4fc205c041b5e53f602023500d44c1edce3c3f433119b8d3872,62684940445,True,0.00786,803841850958229,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
BTC,91866.0,0.00219,A,1736785253679,2025-01-14 00:20:53.679,0.00219,Close Long,1.38627,0xa903287c6a95712aa8f2041b60ce77020194003989791e3cb33277c933901f13,62741789340,True,0.070415,373275088089010,USDC,,0xc4a6ff9a85bbe3bae63eab82d54942f888e7f1f4,,
