币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
kBONK,0.016308,768261.0,B,1709139182892,2024-02-29 00:53:02.892,0.0,Open Long,0.0,0x6e966c9860f4f624ad250407d2568301b70101f88a8fc3573d3772fe6fafca67,11272686094,False,-0.250576,1101137571863203,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
kBONK,0.016308,51000.0,B,1709139183340,2024-02-29 00:53:03.340,768261.0,Open Long,0.0,0x6435bd35e35c09f2982f0407d2568401a3007a28d4a729b0e901b4fd1bbe6d7f,11272686094,False,-0.016634,581266286544380,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
kBONK,0.016308,402904.0,B,1709139184405,2024-02-29 00:53:04.405,819261.0,Open Long,0.0,0x9f4c229f7b0a6f2d2ba10407d2568701ed01038ed9a70d25a6d51c1893cecb01,11272686094,False,-0.13141,804983215647697,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
kBONK,0.016308,64679.0,B,1709139184866,2024-02-29 00:53:04.866,1222165.0,Open Long,0.0,0xe6dd04360d209fc504130407d256880203c2000648ada5252c35591cb6855fe5,11272686094,False,-0.021095,111579845277817,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
OP,3.6755,7405.9,B,1709141508765,2024-02-29 01:31:48.765,0.0,Open Long,0.0,0xedeb138ce54eedc895890407d26dca02015a005cf47a864850bc1f211a3af7e3,11275749754,False,-0.544405,550734710532642,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
OP,3.6755,410.1,B,1709141509213,2024-02-29 01:31:49.213,7405.9,Open Long,0.0,0x09c9e2622e449f2401b70407d26dcb02010200ca8fb2d347fb8320aff92fc759,11275749754,False,-0.030146,916792980135151,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
OP,3.6755,500.9,B,1709141509791,2024-02-29 01:31:49.791,7816.0,Open Long,0.0,0x53f47dc41b5b4e99cf300407d26dcd0201e7005a361bcbfda354dc53e7f53813,11275749754,False,-0.036821,319857594225142,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
OP,3.44895231,8287.8,A,1709141567800,2024-02-29 01:32:47.800,8316.9,Close Long,-1877.58192,0x97056c6c452e0df4d5cf0407d26e65016c00eb345925da2c9f5ca92b7afb36dd,11279144030,True,7.146049,477880778969040,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
OP,3.5618,29.1,A,1709141579804,2024-02-29 01:32:59.804,29.1,Close Long,-3.30867,0x2fb83b47e16372c9422f0407d26e870163007c66ca474e2a22b369a9d5612570,11279163053,True,0.025912,423078178968458,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
kBONK,0.012357,103784.0,A,1709141601825,2024-02-29 01:33:21.825,1286844.0,Close Long,-410.050584,0xd91acf7d6287ec8e45510407d26ec3015b009a2900e65c40e475553ded40fc86,11279195069,False,-0.025649,862399516931442,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
kBONK,0.012357,47992.0,A,1709141602513,2024-02-29 01:33:22.513,1183060.0,Close Long,-189.616392,0x2dcbecde7faf1771aa850407d26ec502020e0098c90b06b4f6e7c0959aea7e29,11279195069,False,-0.011859,608336011365030,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
kBONK,0.012357,1135068.0,A,1709141603890,2024-02-29 01:33:23.890,1135068.0,Close Long,-4484.653668,0x26e5d0b006af16e46b380407d26ec801a800a4273b0680e7ec86923cf2dc3772,11279195069,False,-0.28052,583706036364673,USDC,,0xc5d4838ce79517a87618766275f808a46a001af7,,
