币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,181.25,0.42,B,1754777023733,2025-08-10 06:03:43.733,0.0,Open Long,0.0,0xd86b199e07e36005f877042936c3150203f900eeab649787dead50ab451a85f3,129928736131,True,0.034256,347194675304852,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,181.37,0.42,A,1754777047383,2025-08-10 06:04:07.383,0.42,Close Long,0.0504,0x64b06471dcb8d52fc45a042936c4450202630062318aae8470fa651c656a7383,129928927337,True,0.034278,608964252705548,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,182.74,1.09,B,1754804762229,2025-08-10 13:46:02.229,0.0,Open Long,0.0,0x0c2673f5ec4264be9a7804293c2a1b0201aa00c45e37e66e00374e1c21374040,130146015051,True,0.089633,1037109234930650,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,182.43,1.09,A,1754804862808,2025-08-10 13:47:42.808,1.09,Close Long,-0.3379,0x0a1ba753f42110f5afce04293c2f23010700879fe58d2ea3f0374ea03712a513,130146277391,True,0.089481,961998512422951,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,182.29,1.09,B,1754804974402,2025-08-10 13:49:34.402,0.0,Open Long,0.0,0x72caf2b303df0046f10604293c34ab02012700a0a6dabd742c1dbe9ea88e60b7,130147712169,True,0.089413,239897774825240,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,180.0,1.09,A,1754811473586,2025-08-10 15:37:53.586,1.09,Close Long,-2.4961,0x1e555845a40d83fb600804293d78ed020176005c1d3c0a9643c9b679006f2cca,130147712170,True,0.08829,712650625590744,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,180.64,1.17,A,1754836398151,2025-08-10 22:33:18.151,0.0,Open Short,0.0,0xd695ff2461bb5c876e7c0429424eb902092200c348cff3a7157cff4d7b24f686,130430986231,True,0.095106,672971512291837,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,181.86,1.17,A,1754836793855,2025-08-10 22:39:53.855,-1.17,Open Short,0.0,0x945837f3a2a0892bcc7a04294262050202fb003259f6cefef15595ac5ced1b4b,130435201094,True,0.095749,1066819646769271,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,181.51,1.17,A,1754836921742,2025-08-10 22:42:01.742,-2.34,Open Short,0.0,0x098e71b974ddc6259fe1042942684c0208660051c2938b949f9693d7104bbe71,130436381202,True,0.095565,880180859053869,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,181.7,1.17,B,1754836941288,2025-08-10 22:42:21.288,-3.51,Close Short,-0.425178,0xd93d6cbb767bc5249dae042942693c0103003e4bad3a70d0d1208e5cff12cfea,130436381203,True,0.095665,662306344981076,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,181.71,2.34,B,1754839391139,2025-08-10 23:23:11.139,-2.34,Close Short,-0.873756,0x0fce7d13ddcc910740f3042942e10b02058d00ef57645d688df0babe4d7114a3,130461026332,True,0.19134,666867115933113,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,182.04,1.17,A,1754839577906,2025-08-10 23:26:17.906,0.0,Open Short,0.0,0x7918ba8fcf37becadb1a042942ea2e0203fa00716fcbf488d0dafd019332ee6a,130462855776,True,0.095844,457604980409298,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,182.06,1.17,B,1754839597382,2025-08-10 23:26:37.382,-1.17,Close Short,-0.0234,0x5768096a043fbc14d2fe042942eb2c0204de000fafc67815edcb62175689099f,130462986548,False,0.031951,77713614359462,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
SOL,181.51,0.57,A,1754840399113,2025-08-10 23:39:59.113,0.0,Open Short,0.0,0x19abe6ec1e35fe157533042943133302011f0091c8994fdbd3e1800229c2a41e,130470632746,True,0.046557,818203718996816,USDC,,0xcb81ac9be63125b7919f6970cd2859e611676d68,,
