币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
TIA,16.885,95.7,B,1706377540709,2024-01-28 01:45:40.709,0.0,Open Long,0.0,0x8e1ab518ea2d3dee6473040758eafe012e0088b7fb1d095498c71493a72296ca,8250581510,True,0.403973,197928212998451,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,16.785,95.7,A,1706378451138,2024-01-28 02:00:51.138,95.7,Close Long,-9.57,0x0d21daa2f6e662f4d177040758f5a5013200dbb11830d474efedd6c0918e54ee,8251242379,True,0.401581,669675831332600,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,17.729,88.8,B,1706526082678,2024-01-29 19:01:22.678,0.0,Open Long,0.0,0x91cb54f5b9234433a8a904075fae1a019300fe8bbe101bc7f0f0e8483f746005,8367200136,True,0.393583,753218117705380,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,17.692,88.8,A,1706526122172,2024-01-29 19:02:02.172,88.8,Close Long,-3.2856,0x86010d277fdf33f702fc04075fae8d01b600444ddcbc5972fb9df2f7a539658a,8367230093,True,0.392762,894033294266430,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,17.675,50.6,B,1706526497439,2024-01-29 19:08:17.439,0.0,Open Long,0.0,0x6150e0a1c99821ffc14c04075fb2c9012a0035c2a3a3a58eaa3fbdbbbf316398,8367486396,True,0.223588,241506755665132,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,18.42607115,50.6,A,1706617121137,2024-01-30 20:18:41.137,50.6,Close Long,38.0042,0x29d52f6fd0a455f833a3040763d50401bb0025032163b7c45e043e2eb57149d3,8444759452,True,0.233089,922430004436190,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,17.376,55.7,B,1706876556536,2024-02-02 20:22:36.536,0.0,Open Long,0.0,0x362008dcd0858a3b02f604076f8420015400b19340142b5e26c89207516acbeb,8690713431,True,0.24196,133343781750727,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,17.362,55.7,A,1706876709224,2024-02-02 20:25:09.224,55.7,Close Long,-0.7798,0x657619bbba586e403a4004076f85d4011900a0cae238b9ef9786872a92d46234,8690831994,True,0.241765,463440931584966,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,17.49,142.0,B,1706884783825,2024-02-02 22:39:43.825,0.0,Open Long,0.0,0x44e0995528848ada58fe04076fe1a7012700a150618d695b42b0e991117077b9,8699216034,True,0.620895,388334291486855,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
TIA,17.586,142.0,A,1706886772911,2024-02-02 23:12:52.911,142.0,Close Long,13.632,0x6db26c45d7d7c6797c3404076ff85201ed0055dd320a2a0513e247f30a2611aa,8701415182,True,0.624303,334368103663775,USDC,,0xce1cd3f3e028fed4be509d5fd83e6af8643166f6,,
