币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
CHILLGUY,0.13052,482.0,B,1736627960214,2025-01-12 04:39:20.214,0.0,Open Long,0.0,0x3af839f8ced102a90910041b3b10390193006370fdfdf09c374f8c029979e31a,62335165868,True,0.022018,1113482223217382,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
WIF,1.544,163.0,B,1736663229092,2025-01-12 14:27:09.092,0.0,Open Long,0.0,0xe9359991b27d13f7e085041b43837601cb00feaaffa778a457856726ad3dbe49,62399707617,True,0.088085,202580797476078,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
CHILLGUY,0.12479,482.0,A,1736666592016,2025-01-12 15:23:12.016,482.0,Close Long,-2.76186,0xc8db669baa776fa639a8041b44516f01ac0019505cb17b80f90047268a1ed614,62405253678,True,0.021052,894316016566223,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
kNEIRO,0.80524,156.4,B,1736666895664,2025-01-12 15:28:15.664,0.0,Open Long,0.0,0x858c904544988ac2fbd1041b446411016b0019d87da709bb9f3251a1278844b6,62405671036,True,0.044078,596689711918747,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
TURBO,0.00815482,28656.0,B,1736688852446,2025-01-12 21:34:12.446,0.0,Open Long,0.0,0x153b3e751ba055e460f9041b499cc6019a00a6db2490e2edf297d0aefbeda30c,62442809734,True,0.081789,559345455570561,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
WIF,1.463,163.0,A,1736740082307,2025-01-13 11:48:02.307,163.0,Close Long,-13.203,0x3bda4ab5783e951c2914041b55fa710000e71d1322636a816e23d327dc9c9c78,62560546651,True,0.083464,918904043804753,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,"{'liquidatedUser': '0xd293e791b2526017addc96c39c8cd8bdd11f04fa', 'markPx': '1.4635', 'method': 'market'}",
SUI,4.624,25.3,B,1736741723182,2025-01-13 12:15:23.182,0.0,Open Long,0.0,0x228fa38fe0363858a21a041b565fb402013a002262e69ad6823cb2fb0f96d008,62566397589,True,0.040945,1016744335859044,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
TURBO,0.007415,28656.0,A,1736767380050,2025-01-13 19:23:00.050,28656.0,Close Long,-21.176784,0xb38b3b0e5c7ef720132c041b5c8c9501e4007348ffac1ad874a562821c391cac,62651034682,True,0.074369,858711485068115,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
kNEIRO,0.72634,134.5,B,1736767739705,2025-01-13 19:28:59.705,156.4,Open Long,0.0,0x5d8fe9787391ec990543041b5ca2cc01d800b00b180f70f769754d95dc60a6dc,62652008934,True,0.034192,151795782076208,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
kNEIRO,0.72889,14.5,A,1736767873460,2025-01-13 19:31:13.460,290.9,Close Long,-0.57797,0xa7e7fd6a3b2aa31ac72f041b5caaf802019200ad0235e0bc5fb29841c70c1fbf,62652433478,True,0.003699,261486266364909,USDC,,0xd293e791b2526017addc96c39c8cd8bdd11f04fa,,
