币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2591.2,0.0386,B,1749132425118,2025-06-05 22:07:05.118,0.0,Open Long,0.0,0x57891f94ee9f73cc0e790424e6114a02067200b6e733b5d1b88cffc215345c75,100085818571,True,0.045009,174150910790310,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
TON,3.238,30.8,B,1749139892267,2025-06-06 00:11:32.267,0.0,Open Long,0.0,0xd592965241882510f9bb0424e7866e01d1004fc3a4a12056b69f85304bfc6dc3,100116315944,True,0.044878,338488720440916,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
ETH,2470.7,0.0386,A,1749204201639,2025-06-06 18:03:21.639,0.0386,Close Long,-4.6513,0x82cb028e1622f38ce75f0424f40ef4017300c7b126bb10cc154c91012ed48d17,100352839361,True,0.042916,772426512604008,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
TON,3.1284,30.8,A,1749204202995,2025-06-06 18:03:22.995,30.8,Close Long,-3.37568,0x7fec8f11396f848262d70424f40f08020163004b60852d5cbec2f813fb9279a9,100352842412,True,0.043359,961789765255072,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
PAXG,3377.7,0.027,B,1749204204546,2025-06-06 18:03:24.546,0.0,Open Long,0.0,0x193d515f7ca19097d0920424f40f1e020166007db7700eb9bc89dfc70c87babe,100352845481,True,0.041039,944039294840604,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
PAXG,3375.7,0.027,A,1749211899530,2025-06-06 20:11:39.530,0.027,Close Long,-0.054,0x137bfb3af566bf3358430424f592800203a50063e4b88f26a112d5b3cacc8737,100374313405,True,0.041014,519696425505261,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
SPX,1.1007939027,4625.0,B,1749211901050,2025-06-06 20:11:41.050,0.0,Open Long,0.0,0x11f5aeb061e271e9bdf60424f592930202be004d3ffe2b8172f12df1e6f58cbd,100374324066,True,2.291025,320259556474139,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
SPX,1.0739941103,4625.0,A,1749240722863,2025-06-07 04:12:02.863,4625.0,Close Long,-123.93099,0x4350558875403b8849310424fb31ee0201e1007b39af27ec63d9af9f3ccb9772,100484872036,True,2.235244,679306224152203,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
PAXG,3330.7468812877,1.491,B,1749240724153,2025-06-07 04:12:04.153,0.0,Open Long,0.0,0xc9b33a727b3d4a98c03f0424fb32010201a400b50b14d3258b20f4b29465b8aa,100484876321,True,2.234763,792173227657889,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
PAXG,3333.6227364185,1.491,A,1749255149966,2025-06-07 08:12:29.966,1.491,Close Long,4.289214,0x1421da3ce434c44058b20424fe057f0205dc00fa82a67d42cfc2374d32831e6f,100518123972,True,2.236693,323205978272559,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
SPX,1.0727085835,4631.0,B,1749255151422,2025-06-07 08:12:31.422,0.0,Open Long,0.0,0x930079371794b99504360424fe058e0202b50079ec97902277a031aae6092f41,100518129358,True,2.235468,1115843984775714,USDC,,0xd2e94493fa2713591a86790c60076e1d4aca17ff,,
