币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,107585.0,0.00257,A,1761175497606,2025-10-23 07:24:57.606,0.0,Open Short,0.0,0x8548d404f6efa6dd86c2042e0140ce01f000ebea91e2c5af29117f57b5e380c8,209823521436,True,0.124422,72795982072858,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0xcc172337c8b942f189c71e37d0a436c9
ETH,3780.8,0.0342,A,1761175497606,2025-10-23 07:24:57.606,0.0,Open Short,0.0,0x33ebba2f933eba353565042e0140ce01f00101152e31d907d7b465825232941f,209823521437,True,0.058186,34485258222053,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0xee848fb0fa04404a8a884981efce4852
SOL,179.76,0.42,A,1761175497606,2025-10-23 07:24:57.606,0.0,Open Short,0.0,0xe28ea05a2f8dcd8ce408042e0140ce01f001023fca80ec5e86574bacee81a777,209823521438,True,0.033974,130326713307377,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0xcb6be6e34fbd4bdfa1a8aec6b68ad2a2
BNB,1067.0,0.083,B,1761175497606,2025-10-23 07:24:57.606,0.0,Open Long,0.0,0x91318684cbdce0e492ab042e0140ce01f001036a66dfffb634fa31d78ad0bacf,209823521439,True,0.039852,793584387797593,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x1ce77293f36d4a58970732d048d2b72c
DOGE,0.1893,799.0,B,1761175497606,2025-10-23 07:24:57.606,0.0,Open Long,0.0,0x3fd46caf682bf43c414e042e0140ce01f0010495032f130ee39d1802272fce26,209823521440,True,0.068062,1089906711032214,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x61ed019eba604aad8729a32a08d6f736
XRP,2.3554,27.0,B,1761175497606,2025-10-23 07:24:57.606,0.0,Open Long,0.0,0xee7752da047b0793eff1042e0140ce01f00105bf9f7e2665923ffe2cc37ee17e,209823521441,True,0.028618,624572236494827,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0xc8cf7fb447f04ecd8585bec88640d2d4
ETH,3823.0,0.0342,B,1761181984362,2025-10-23 09:13:04.362,-0.0342,Close Short,-1.44324,0xe59b96fc6d5a7a58e715042e0286f702036200e2085d992a8964424f2c5e5443,209898652493,True,0.058835,564130741249902,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x1dbac186a03847cd80f0787db56c0b89
ETH,3821.3,0.0183,A,1761182328773,2025-10-23 09:18:48.773,0.0,Open Short,0.0,0xa3c58dd0e4ad5a19a53f042e0297fc0203c600b67fa078eb478e3923a3a13404,209903281702,True,0.031468,259789730564802,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x3b14e9b75c93480a876225bee635df8f
BTC,108401.0,0.00012,A,1761193135211,2025-10-23 12:18:55.211,-0.00257,Open Short,0.0,0xfecc9a9020e8471a0046042e04b3cc02011a0075bbeb65eda29545e2dfec2105,210011227424,True,0.005853,656442779969385,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x23e3ee6480d24b3fbfd7141e901f656c
BTC,109970.0,0.00269,B,1761200869682,2025-10-23 14:27:49.682,-0.00269,Close Short,-6.317734,0x5d358b671f508cb25eaf042e0636160201a7004cba53ab8400fe36b9de54669d,210088633535,True,0.133118,294006546319961,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0xf539f05fd401434181bf09a3b404bf7d
BTC,109920.0,0.00086,A,1761201120366,2025-10-23 14:32:00.366,0.0,Open Short,0.0,0x1509023ae3ca824b1682042e06429d0207a300207ecda11db8d1ad8da2ce5c35,210091972221,True,0.042539,667815737218879,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0xef12c99d908f4956a8f78ff7552e3058
SOL,187.27,0.42,B,1761202768282,2025-10-23 14:59:28.282,-0.42,Close Short,-3.1542,0x8acfea82fcc8f34e8c49042e0695770203f1006897cc12202e9895d5bbcccd39,210112167444,True,0.035394,530309266923228,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x71e74c7be1a04f8e8e2b42f649245119
SOL,187.22,0.36,A,1761204976716,2025-10-23 15:36:16.716,0.0,Open Short,0.0,0xae8d0cf0422f58f1b006042e0702730202cb00d5dd2277c35255b843012332dc,210137503948,True,0.030329,107131045868334,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x48bd5f1b3c3f47d789347e1d3dc124e9
BTC,109380.0,0.00084,A,1761211675098,2025-10-23 17:27:55.098,-0.00086,Open Short,0.0,0x5bc79b6257af4f245d41042e08498f0201570047f2a26df6ff9046b516a3290e,210213456124,True,0.041345,515348070274982,USDC,,0xd3e4cd447dc6657716b56ac11f38825fa8cd60ac,,0x4cd3876fbe3b4d1497349af9aa428a0c
