币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,102090.0,0.0005,B,1738427490869,2025-02-02 00:31:30.869,0.0,Open Long,0.0,0xd8deb268393b81dfe7c6041cf14d250201750062f4ebca16cede0dca0001b92b,68257165048,False,0.005104,132636604798089,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x995a10d014bbdcea4447291ded21be4f
BTC,101060.0,0.0005,A,1738441956031,2025-02-02 04:32:36.031,0.0005,Close Long,-0.515,0x1223517c352b88a0642e041cf4081d02023e00c35aac858741e616411fa93bf9,68304714895,True,0.017685,489199950281818,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0xab7efe3b1494dc835ae6f3dd57dd5439
BTC,101210.0,0.0005,A,1738446693318,2025-02-02 05:51:33.318,0.0,Open Short,0.0,0x404a90c20710779f022c041cf4ecd702033a00f067382f128d4ecbbccff3918c,68321924232,False,0.00506,954564424854691,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x53026895010176b981c72b2c8b74021c
BTC,101230.0,0.0005,A,1738446745585,2025-02-02 05:52:25.585,-0.0005,Open Short,0.0,0xbb38a35a9686137d3ff7041cf4ef3d0202760102d99bc1035354b4dc371facb4,68321924230,False,0.005061,1078335268056504,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0xfc3c389508119e1375f7cd91f1274f21
BTC,101250.0,0.0005,A,1738446745585,2025-02-02 05:52:25.585,-0.001,Open Short,0.0,0xd4a0b63492cb9b5ad5a7041cf4ef3d02029700f8e218d9be2043aa134e13c6b8,68321924231,False,0.005062,374685967131437,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x9760d727aa4c0eb0b3b6955aa6041773
BTC,101270.0,0.0005,A,1738446750720,2025-02-02 05:52:30.720,-0.0015,Open Short,0.0,0xc5919b9870e3afb3613e041cf4ef8301df0084eb4e44ea3644277243bf7a10ac,68321924633,False,0.005063,384361624746701,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x4a73e912bc8cc918a7abdcac1e9ec39e
BTC,101290.0,0.0005,A,1738447027405,2025-02-02 05:57:07.405,-0.002,Open Short,0.0,0xfb652f4f9aa20ea5b0d4041cf4fcca02020d009a7c38b9cd68e8908d4b903b79,68321923628,False,0.005064,964598000604595,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x13c2605b228291b867710af1f7616077
BTC,100240.0,0.0025,B,1738452292874,2025-02-02 07:24:52.874,-0.0025,Close Short,2.525,0xab9b7046697bbf3a5f06041cf5fb9802016800b53806b27c967a014e5e89ccd3,68338992754,False,0.02506,8649197340846,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x7339370fcfc3e2ce3170ef487cc63675
BTC,100940.0,0.0005,B,1738455736373,2025-02-02 08:22:16.373,0.0,Open Long,0.0,0x58f7b794e539e3ff99e4041cf6a41b02041c0024f24ff5943576bc6dcd986ffc,68351087055,False,0.005047,579959251309752,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x8793dc9ae960dd04343f87c213b65141
BTC,100920.0,0.0005,B,1738455748021,2025-02-02 08:22:28.021,0.0005,Open Long,0.0,0x519f944da5aafea8d47f041cf6a4ae02017f00a5baf2dffaf3ff9d01e2b5e77c,68351087056,False,0.005046,580182461630663,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x56d434c54d06b9c0dddb480b255e455f
BTC,100900.0,0.0005,B,1738455783827,2025-02-02 08:23:03.827,0.001,Open Long,0.0,0xe97d691e3c2c8e15dfe3041cf6a67a0202940082eaca79b275b2b8fdba5b38f2,68351087057,False,0.005045,910441476427528,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x16f8c865c5f8e52ffc01b1fd6da377ef
BTC,100880.0,0.0005,B,1738455788917,2025-02-02 08:23:08.917,0.0015,Open Long,0.0,0x57000dd681e03afa793c041cf6a6af02018900b57a7d5ada53e879a11a0a3afe,68351088535,False,0.005044,1078196212934988,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0xd11bdba4b60ae84cfd4511eea6c9f6d6
BTC,100489.0,0.02196,B,1738464936123,2025-02-02 10:55:36.123,0.002,Open Long,0.0,0x10858709036995bc3166041cf85fae0205eb0076e5e3dc8b17443e7cbdfcab68,68377662623,True,0.772358,117343293383533,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,
BTC,99823.0,0.02396,A,1738466013001,2025-02-02 11:13:33.001,0.02396,Close Long,-16.798356,0xf62de76dd6b1da8c69b1041cf893550201cd00396cee67fecb24a0de94238308,68382080351,True,0.837115,139251688164657,USDC,,0xd52ce5cb38f2ca46a55d8bd6ec3de549465dec96,,0x2f0a199fab29236e85eb4a0db51b430d
