币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
VINE,0.076763,3332.0,A,1753524442426,2025-07-26 18:07:22.426,0.0,Open Short,0.0,0xf342748cc59d5a53bfd5042843f09a0201dc00b5d8ecd8e675a8cf9b8e73e45f,121225056897,False,0.038366,400819948029503,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
VINE,0.076763,22035.0,A,1753524442456,2025-07-26 18:07:22.456,-3332.0,Open Short,0.0,0xa35fa25dfc0a24477599042843f09b02021801011f98d427621fcaa8f118800c,121225056897,False,0.25372,844429950129292,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
VINE,0.0725859412,25367.0,B,1753526416510,2025-07-26 18:40:16.510,-25367.0,Close Short,105.95945,0xf9e9c2b355dc26e8d42b042844556a00000c48f39df1602cfce75cd2b8b8d03c,121220993683,True,0.828578,513587129416918,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
PUMP,0.002598,631532.0,B,1753527121071,2025-07-26 18:52:01.071,0.0,Open Long,0.0,0x8e7e360c276463bd86e0042844793802029100465d7d8216913bdd388acdb4f7,121247209405,True,0.738323,737259682070087,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
PUMP,0.00257,268271.0,B,1753529264057,2025-07-26 19:27:44.057,631532.0,Open Long,0.0,0x6cefd3f2b4067c7784a1042844e67302021b0036753a758a8ed642edcd207291,121258475953,True,0.310255,447540609949565,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
PUMP,0.002546,899803.0,A,1753529891344,2025-07-26 19:38:11.344,899803.0,Close Long,-38.691529,0xe50382c720333c3c5546042845068401d3004dfcb855c17c011f402f2b8f8cb4,121258659106,True,1.030904,480789242284579,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ZORA,0.05797,1741.0,A,1753531266194,2025-07-26 20:01:06.194,0.0,Open Short,0.0,0x3ad5884cb33a4cddef4a0428454dc1018900274dc07248d6ac45a37c79bd8fb2,121269278562,False,0.015138,944377838103127,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ZORA,0.05797,1949.0,A,1753531266293,2025-07-26 20:01:06.293,-1741.0,Open Short,0.0,0x520c3c32c1b953774d020428454dc202019500c23ccda7529d6abfe716ed8f02,121269278562,False,0.016947,779237716493656,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ZORA,0.05797,2147.0,A,1753531266725,2025-07-26 20:01:06.725,-3690.0,Open Short,0.0,0x8b4df135af105c7b1d760428454dc702014a0036af39de3dc9240eb619589b64,121269278562,False,0.018669,582706156481861,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ZORA,0.05797,8221.0,A,1753531266859,2025-07-26 20:01:06.859,-5837.0,Open Short,0.0,0x75cb0d01cfe31229d75d0428454dc9020120003b265f92b88d0702163681a368,121269278562,False,0.071484,36989475505742,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ZORA,0.05797,5221.0,A,1753531266922,2025-07-26 20:01:06.922,-14058.0,Open Short,0.0,0xb8e8f1aff8ea59c406350428454dca02013c00c6fd72a635cffcea4481f0276e,121269278562,False,0.045399,319042262036023,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
HBAR,0.27435,2217.0,B,1753540690004,2025-07-26 22:38:10.004,0.0,Open Long,0.0,0xd87a7dc9ca82d4bc0a3f0428472f1101ae001def806f8207fc194c3976fc0ab5,121320877364,False,0.091235,818582560067553,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
HBAR,0.27915,2217.0,A,1753541459039,2025-07-26 22:50:59.039,2217.0,Close Long,10.6416,0xf8afccb85925cdb663ae04284756c700000f35fa993b6483c351a804f7076f8a,121322467749,True,0.278493,566496732509040,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ZORA,0.063336,1805.0,A,1753544763697,2025-07-26 23:46:03.697,-19279.0,Open Short,0.0,0x8af42c940bf7c6f0a65a042848017202044500431cf6441ae379ff8e44dcf0ed,121345673459,True,0.051444,418029534588447,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ZORA,0.0728284149,21084.0,B,1753563108824,2025-07-27 04:51:48.824,-21084.0,Close Short,-303.597264,0x7fc1a0e64741afc385f704284bacc80000fccfd33def940ef18d9537ae4cd518,121442965793,True,0.690981,1018676399988058,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,"{'liquidatedUser': '0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a', 'markPx': '0.072754', 'method': 'market'}",
CRV,1.1038,3102.7,B,1753598587704,2025-07-27 14:43:07.704,0.0,Open Long,0.0,0x55dcf8b3f778bb0e074f042852bc1300008429af9496cd65db0b3a9f80024a5b,121626615095,False,0.513714,688367395019367,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
CRV,1.0388,3102.7,A,1753627612685,2025-07-27 22:46:52.685,3102.7,Close Long,-201.6755,0xa530d034a926b62ac102042857cbc400009867258f8a38e6ddddf43277e78866,121768064550,True,1.450388,740213902612847,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,"{'liquidatedUser': '0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a', 'markPx': '1.0426', 'method': 'market'}",
AVAX,27.2509780443,231.83,A,1753710125689,2025-07-28 21:42:05.689,0.0,Open Short,0.0,0x586154fabeaca49b52290428680b78020db10046f3b2ebbf80fc89387f34adc3,122291384358,True,2.842916,1071005312326467,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
AVAX,26.8434640469,231.83,B,1753711404572,2025-07-28 22:03:24.572,-231.83,Close Short,94.455877,0x3b91f8853e007c28c85704286849ad01cc0065fff02b05b8245859808e686ede,122301978296,True,2.800402,56608323498868,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
TST,0.0477010891,46844.0,A,1753714893779,2025-07-28 23:01:33.779,0.0,Open Short,0.0,0xa79109b261530ebe3ce9042868f19401ea0093d540bd4cf1f8a8b0f94f28f8e5,122334532970,True,1.005527,530478427028351,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
TST,0.0466284224,46844.0,B,1753716591494,2025-07-28 23:29:51.494,-46844.0,Close Short,50.243826,0x1617fcb65fad64974fee042869458d0000d6e650236dd50dde82b67dd1f5f045,122347688783,True,0.982915,433133742304496,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ENA,0.66259,1585.0,A,1753717617641,2025-07-28 23:46:57.641,0.0,Open Short,0.0,0x9c335794a6609630dca904286978d501bd00358f6237c170b066d4f0e0801b87,122355506954,False,0.15753,949508351411670,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
ENA,0.66259,26.0,A,1753717620016,2025-07-28 23:47:00.016,-1585.0,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,122355506954,False,0.002584,222814470774636,USDC,,0xd5c10a5c9a4e627ee4faabae70b26a5fee29499a,,
