币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,48.22,62.2,B,1761662326122,2025-10-28 22:38:46.122,98612.45,Open Long,0.0,0xc10f17b691519f40c288042e5f6010020e65009c2c54be1264d7c3095055792b,214993380599,False,0.359914,1000694552143456,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.22,62.21,B,1761662411666,2025-10-28 22:40:11.666,98674.65,Open Long,0.0,0xe2bbc08872127c4de435042e5f641a02069f006e0d159b1f86846bdb31165638,214994918405,False,0.359971,273294426662643,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.16,16.39,B,1761662428023,2025-10-28 22:40:28.023,98736.86,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,214995239344,False,0.094721,1003687570284805,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.16,106.2,B,1761662428349,2025-10-28 22:40:28.349,98753.25,Open Long,0.0,0xeae0a0bbb2e9873cec5a042e5f64e90206e900a14deca60e8ea94c0e71ed6127,214995239344,False,0.613751,394466895027562,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.11,163.76,B,1761662441107,2025-10-28 22:40:41.107,98859.45,Open Long,0.0,0x7087004b65d2d2dc7200042e5f65800203bd003100d5f1ae144fab9e24d6acc7,214995525134,False,0.945419,803645838619071,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.09,109.52,B,1761662473540,2025-10-28 22:41:13.540,99023.21,Open Long,0.0,0xc81a8bd10b27a0c3c994042e5f6709016d00a3b6a62abf956be33723ca2b7aae,214996045558,False,0.632018,720700543499579,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.09,62.35,B,1761662487052,2025-10-28 22:41:27.052,99132.73,Open Long,0.0,0x895128af3d6eb2698aca042e5f67ae020f380094d861d13b2d19d401fc628c54,214996451821,False,0.359809,217929189399381,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.08,62.38,B,1761662530006,2025-10-28 22:42:10.006,99195.08,Open Long,0.0,0x93f34e1c97e8adb7956d042e5f69a7020583000232ebcc8937bbf96f56ec87a2,214997178065,False,0.359907,1037163871642345,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.07,8.89,B,1761662537003,2025-10-28 22:42:17.003,99257.46,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,214997357141,False,0.051281,491303748940287,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
HYPE,48.07,53.51,B,1761662537367,2025-10-28 22:42:17.367,99266.35,Open Long,0.0,0xab27cbf54c2b3a88aca1042e5f69fb0208c300dae72e595a4ef077480b2f1473,214997357141,False,0.308667,579154199912,USDC,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,,
