币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
WLD,6.966,1.7,A,1712343976673,2024-04-06 03:06:16.673,0.0,Open Short,0.0,0x4d6d81a4672c49cd3ffb040859c159013800f2ebd4193f4b04d3814c1915427b,16862914810,False,0.001184,947981975841886,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0xbcf0305994857b4fc9087d49fdcb1a68
WLD,6.8895,1.7,B,1712346563323,2024-04-06 03:49:23.323,-1.7,Close Short,0.13005,0x1fb17adf2389ec50a736040859dd9a01ad007fee5b233d8ddc0fbe83e34ff824,16868452740,True,0.004099,894783794194143,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x6bed2b18a4199a79bad4b9b8dfcb6dc8
WLD,6.8416,1.8,B,1712361734484,2024-04-06 08:02:14.484,0.0,Open Long,0.0,0x0cc8ed4cfe1f01fab7ce04085a88e9014e003679b3cc4a60130adecd09ae866f,16882407909,False,0.001231,1004822394067682,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x92df2f04fa7a12991d163163b555355f
WLD,6.8345,1.8,B,1712361921098,2024-04-06 08:05:21.098,1.8,Open Long,0.0,0x1fc8ab708d0e937b0e7604085a8afb0201a700fcd80887c9319ea6812d6f502b,16882408605,False,0.00123,255382349278032,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x8549e09c94b9352b9a42dc72eb851009
WLD,6.8203,1.8,B,1712362281635,2024-04-06 08:11:21.635,3.6,Open Long,0.0,0x33d17a47a095a4da6b6804085a8ee9012200a5a523dd5ccf8ed308fc3b07ef9e,16882409693,False,0.001227,231217425567561,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x597f4319fbe1d4e274dfdc82cf815aba
WLD,6.7919,3.6,B,1712362349111,2024-04-06 08:12:29.111,5.4,Open Long,0.0,0x32a06c67049a7f3b28cf04085a8fa30201170094d40eb9d596b83de6ec93dd2e,16882411640,False,0.002445,958528205387632,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x43d77e1824c92906aaca46db0054badf
WLD,6.9636,9.0,A,1712363269784,2024-04-06 08:27:49.784,9.0,Close Long,1.32804,0xac0f504f5c0ef147d0aa04085a99d202013d00c6600d3d10a5b29248cc2f8188,16884427801,True,0.021935,903146295847844,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x1f1b734c135ad9368a6c3feb6a8c1c16
WLD,6.9886,1.7,A,1712363314521,2024-04-06 08:28:34.521,0.0,Open Short,0.0,0x6c2b8c6a2c6f44509a6604085a9a4a02012f00627d495e41687226001ec55ea5,16871537795,False,0.001188,637183238081334,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x656cb0f01f75cb74bd34e5f7b5a865bf
WLD,7.0148,1.7,A,1712363671357,2024-04-06 08:34:31.357,-1.7,Open Short,0.0,0xbf88879d039c7c9ac80704085a9e2d02013700ea75210a1ccc9996a87dfc6bcb,16871538493,False,0.001192,359457428427062,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0xf0917e12fa9f9ff6f580249c742f8be9
WLD,7.0671,1.7,A,1712364918649,2024-04-06 08:55:18.649,-3.4,Open Short,0.0,0x95ad0ad13372ed16001a04085aab8302011700f7fdb90fc99acc799c9cdd9aa4,16871539422,False,0.001201,28672379420908,USDC,,0xdb908f54800af54b0c3a538896523ab9d14fc023,,0x1c706932a64d77fad01ef407b03242f8
