币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,105471.0,0.00719,B,1749381443608,2025-06-08 19:17:23.608,0.0,Open Long,0.0,0x1fafe0215ba2292b4173042515e8be0201ac002f4e596836a75e14d94348b36a,100802222938,True,0.341251,496160528298010,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ETH,2505.6,0.1752,B,1749381447294,2025-06-08 19:17:27.294,0.0,Open Long,0.0,0x4cf3ea36924ef6ad83aa042515e8e102019b000984c740f832835aa95861518a,100802228893,True,0.197541,505082625316626,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
BTC,105479.0,0.00719,A,1749381688356,2025-06-08 19:21:28.356,0.00719,Close Long,0.05752,0xbb8a43cb44f83f645bf6042515eee60201f500fd61646c6cb64911c3ad880347,100802552210,True,0.341277,549903360024669,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ETH,2505.0,0.1752,A,1749381691135,2025-06-08 19:21:31.135,0.1752,Close Long,-0.10512,0x7c8c0edf2f7894e3778a042515ef0402025000fef436426af9fadff5533da776,100802557283,True,0.197494,940015183884480,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
BTC,105542.0,0.00717,B,1749381878143,2025-06-08 19:24:38.143,0.0,Open Long,0.0,0x32b98f8ff021364d24cc042515f5be02015500f61bbf7b8a3152859c3eec128e,100802974643,True,0.340531,863596646838059,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ETH,2510.0,0.1743,B,1749381886936,2025-06-08 19:24:46.936,0.0,Open Long,0.0,0x8885ba51df12199a1d48042515f5d1021fd300a4c96fe25736282cc1bf7e1319,100802978795,True,0.196871,693033466929464,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
BTC,105500.0,0.00717,A,1749381927948,2025-06-08 19:25:27.948,0.00717,Close Long,-0.30114,0x20edc3fc75316a108b6f042515f76c016100501315fbcf81ea3a2d9d950ad680,100803062169,True,0.340395,716797359292634,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ETH,2509.3,0.1743,A,1749381931675,2025-06-08 19:25:31.675,0.1743,Close Long,-0.12201,0x44e31ccce70d064612eb042515f79f01c300f1df229c7c4494e5803aae8ca31d,100803068467,True,0.196816,405032668146147,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
TNSR,0.12522,2025.2,A,1749382126852,2025-06-08 19:28:46.852,0.0,Open Short,0.0,0x26a0571e7f54cc800722042515fdb901c700c5b70b80d02459fcfa39219c2d88,100803350270,True,0.114117,979891151651590,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
TNSR,0.1254365756,2025.2,B,1749382137129,2025-06-08 19:28:57.129,-2025.2,Close Short,-0.438609,0xb2dcf00c7d7284aafd34042515fddd02170b002d4f99d4a194b1fa3dac76fd88,100803357087,True,0.114315,676170543772529,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
BTC,105624.0,0.00713,B,1749383410697,2025-06-08 19:50:10.697,0.0,Open Long,0.0,0xe37b37c63af78180097f0425161e28019100c5aac1e91286e7f8a30aee995d6a,100805198284,True,0.338894,427376045387940,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ETH,2514.8,0.1733,B,1749383422885,2025-06-08 19:50:22.885,0.0,Open Long,0.0,0x1deaa84e3dffb38c45720425161e5e0203e100c875f18337d8c0f4c3375c57b0,100805209135,True,0.196116,416244224591057,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
BTC,105599.0,0.00713,A,1749383510077,2025-06-08 19:51:50.077,0.00713,Close Long,-0.17825,0xbcd1cd34de08dc2e7f750425161ff5017d009d1fb4b0c1bab1920931aee70ec0,100805339092,True,0.338814,482373834414670,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ETH,2513.5,0.1733,A,1749383515039,2025-06-08 19:51:55.039,0.1733,Close Long,-0.22529,0x6143e3926e402805fae8042516202702028c0016ec45c62d36c3925b823c728a,100805351040,True,0.196014,810650623167723,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ETHFI,1.1506,43.0,A,1749383937274,2025-06-08 19:58:57.274,0.0,Open Short,0.0,0x566b93dded44b59f9e8b0425162b7f021df000558fe3600369bfdb7a33858ba8,100805857565,True,0.022264,391914567879490,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
WLD,1.1081,44.7,A,1749383941265,2025-06-08 19:59:01.265,0.0,Open Short,0.0,0xed33e1b0ba4ba4b769260425162baa01ac00f75354ad3879b96caedc6c768c95,100805862321,True,0.022289,1018279572628641,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
SCR,0.27958,177.2,A,1749383943385,2025-06-08 19:59:03.385,0.0,Open Short,0.0,0x9d3bd41f1ba6585d0bb70425162bc602015700bd6c4b144269315ea9ae4b708d,100805866743,True,0.022293,303674176102448,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ZK,0.053708,922.0,A,1749383946458,2025-06-08 19:59:06.458,0.0,Open Short,0.0,0xe0a56b2385e70faa2d190425162be502019c007831d4079443485718da89383b,100805872510,True,0.022283,524823230121690,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
MORPHO,1.3805,35.9,A,1749383955597,2025-06-08 19:59:15.597,0.0,Open Short,0.0,0x304d3b93bcf6d1af56d40425162c06020b8900923e4a3c7a2276eb240b66ba35,100805877605,True,0.022301,297477438093732,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
ALT,0.026211,1890.0,A,1749383959012,2025-06-08 19:59:19.012,0.0,Open Short,0.0,0xd9feb0ef641234e71e5b0425162c2301a900a855fd3795467a2e09b5be3d8642,100805883238,True,0.022292,553943245836460,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
EIGEN,1.3793,35.94,A,1749383961452,2025-06-08 19:59:21.452,0.0,Open Short,0.0,0x395f145115bf454265d80425162c3e01c600f787aeeb207e8add16f69a781451,100805887799,True,0.022307,758886739798971,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
DYM,0.2834,174.7,A,1749383963710,2025-06-08 19:59:23.710,0.0,Open Short,0.0,0xb9d06b0cc9d276d2b7ba0425162c5902011e0062ca3eb3b7f63a792155893d5e,100805891962,True,0.022279,696980209843221,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
USUAL,0.10046,492.9,A,1749383966136,2025-06-08 19:59:26.136,0.0,Open Short,0.0,0xa5c6b881c0c50abd7a180425162c6c0201a3003130e96d22789ea885db351db6,100805895006,True,0.022282,233255580295448,USDC,,0xdb9cf168543bbc5bcfdfe4c1ea542cdc8499c341,,
