币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
MANTA,3.2715,15.0,B,1706660394185,2024-01-31 08:19:54.185,0.0,Open Long,0.0,0xb498ae7039aa4d5e4d65040765c95d010900c03c8a92142052a58af65d81ddd3,8455385907,False,-0.000981,1037416880220993,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
BTC,42566.0,0.01,B,1706697994388,2024-01-31 18:46:34.388,0.0,Open Long,0.0,0x7368d56b5fa4b3253d5c0407677db90143002c6b807f73b78c7f95ba0e78ef00,8514199015,False,-0.008513,509126879947822,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
INJ,34.16,2.0,B,1706713908605,2024-01-31 23:11:48.605,0.0,Open Long,0.0,0x60ac332cafbcc7d5b15b040768340200004995a244892ac5c8b1e725603b319c,8536612597,False,-0.001366,242085115319694,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
BTC,43574.0,0.005,A,1706724381773,2024-02-01 02:06:21.773,0.01,Close Long,5.04,0x07002887f69cabb69f10040768aaac011100ccdfc09f3c4e81abf659d9410ae8,8553044159,False,-0.004357,402302900837998,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
BTC,42558.0,0.005,A,1706734746528,2024-02-01 04:59:06.528,0.005,Close Long,-0.04,0x894fde2f7fc7488c4a990407691ff4014800230d55f8f5140298be48414a443b,8553088343,True,0.053197,774598188671053,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
MANTA,2.9155,15.0,A,1706750416115,2024-02-01 09:20:16.115,15.0,Close Long,-5.34,0x76dd722bca1421a3795a040769d22e02017a00f585df0ab72deeb5e6b4faae4d,8509436754,True,0.010933,592359638603224,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
SUI,1.48,25.0,B,1706758615634,2024-02-01 11:36:55.634,0.0,Open Long,0.0,0x570b306b4d84ccbb161204076a2f9f01a0009e9b9043b453e5fc11e36b458865,8446467849,False,-0.00074,328593503382885,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
SUI,1.4858,25.0,B,1706774142928,2024-02-01 15:55:42.928,25.0,Open Long,0.0,0xf82af7deeaa3e514106804076ae33501d700d8314b2da35defe28ad82f3e7e07,8606641130,True,0.009286,1121998778727053,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
BTC,42244.0,0.0075,B,1706796881288,2024-02-01 22:14:41.288,0.0,Open Long,0.0,0x85d24d34074e2a2cee3304076be6dd0109000bc4a2251069163f9cc058549d76,8626197928,True,0.079207,126696174948271,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
BTC,42391.0,0.0075,A,1706798142236,2024-02-01 22:35:42.236,0.0075,Close Long,1.1025,0x6f63496c709f67e6f66d04076bf53a0167009de55bc1dcafcfc751e5d42423a6,8627555330,True,0.079483,914584493088711,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
BTC,42441.0,0.02,B,1706798463234,2024-02-01 22:41:03.234,0.0,Open Long,0.0,0xb19d145ef807da2656a804076bf8ba02019c007403ecdaad0007cd29b048fe47,8628037884,True,0.212205,416273278323640,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
INJ,33.973,2.0,A,1706825636951,2024-02-02 06:13:56.951,2.0,Close Long,-0.374,0x6ba8cc24cec2dda8afc504076d3103010d00038a6e968d7218473086e212c67e,8654057272,True,0.016986,200876327129811,USDC,,0xddeb71360de9a73e0701cc71bf6b7f4a3798fefd,,
