币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,58703.0,0.02708,B,1723448701535,2024-08-12 15:45:01.535,0.0,Open Long,0.0,0xe7061b0a5969630c20e8040f2f36640201440095af56a918ea0c98065f08e92c,33872286392,True,0.556387,317355536476697,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,59566.0,0.02708,A,1723462294576,2024-08-12 19:31:34.576,0.02708,Close Long,23.37004,0x55786f323a058f902d20040f3278b10201050010583760fd882b6e9abf177f79,33901474184,True,0.564566,767977945336148,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,58749.46150985,0.02689,A,1723470402770,2024-08-12 21:46:42.770,0.0,Open Short,0.0,0xfebdfe3f05bf87a46cb5040f346eb702018100dbba718f4f0d9a5f7615021b64,33920150985,True,0.552919,286646362730622,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,58596.0,0.01795,B,1723470690154,2024-08-12 21:51:30.154,-0.02689,Close Short,2.75353,0xf0188cfbf98d9262c8f6040f34807f02016d00a3663a34c5851d748cb934b730,33921622717,True,0.368128,43891138977254,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,59252.65261383,0.01779,B,1723472344343,2024-08-12 22:19:04.343,-0.00894,Short > Long,-4.493244,0x0a99b9c6429838b20e73040f34e70902015800881f559353b4ace564407e2192,33929206800,True,0.368936,584904319078597,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,60437.0,0.00872,B,1723473492006,2024-08-12 22:38:12.006,0.00885,Open Long,0.0,0x0cafbf42908fd760d46b040f352e180202c3000a3bcf4b14306abc1bed2977c3,33934022728,True,0.184453,333995802345795,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,59624.0,0.02638,A,1723476284229,2024-08-12 23:24:44.229,0.01757,Long > Short,-3.807419,0xb98802c7fcfed37ed1a8040f35daf3020181007d5bf691c2e0e593f3fa8d3a02,33943514564,True,0.550508,1069618259963185,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,59623.0,0.00881,B,1723512725098,2024-08-13 09:32:05.098,-0.00881,Close Short,0.00881,0x83b5f04ecb5ef6a3496a040f3ea3a101dd00755b17d51da88bc67927ff0de78c,34012616819,True,0.183847,472467255155636,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,59475.0,0.00543,A,1723516748105,2024-08-13 10:39:08.105,0.0,Open Short,0.0,0x1e05f293029be7ece75e040f3f9eab013500399dd7bd106593d2220bb9b134dc,34018649142,True,0.113032,1088325752259295,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
BTC,60483.0,0.00543,B,1723594125053,2024-08-14 08:08:45.053,-0.00543,Close Short,-5.47344,0x3e31e0f324e559c92c18040f525303013a00d9a60d403690df1ab5e28f2667da,34132257485,True,0.114947,320973981261485,USDC,,0xe0c08dfbe0067e421f389966e754f92f058e28d1,,
