币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
AI16Z,0.38376,586.5,B,1740217778175,2025-02-22 17:49:38.175,0.0,Open Long,0.0,0x5b093de78c110abf2f6e041e3de078017700b1a73a1199c530c4266b25817dc0,74070940642,True,0.078776,184210455788569,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
ONDO,1.1654,193.0,B,1740218710138,2025-02-22 18:05:10.138,0.0,Open Long,0.0,0x0150378e99956488426b041e3e0d0c0201e2009c526b7e3feeaf46c9d05cfbc3,74073109822,True,0.078722,683906428249143,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
VIRTUAL,1.2579,157.4,B,1740229866497,2025-02-22 21:11:06.497,0.0,Open Long,0.0,0xc51d13daace858be18a0041e401a7901f2008c43ecdf6109cbd743869a441527,74096988978,True,0.069297,209674676439869,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
FARTCOIN,0.37776,524.8,B,1740232905809,2025-02-22 22:01:45.809,0.0,Open Long,0.0,0x23993ca3aff2f0334ee1041e40ab6c01e500046a25a716023fdd79499294eebd,74103673277,True,0.069386,895611692187420,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
GRIFFAIN,0.072654,2728.0,B,1740234306484,2025-02-22 22:25:06.484,0.0,Open Long,0.0,0xa8d28bae60e47622df8d041e40ee6702017f002388377d7cfef3a47d3b22a94d,74106620754,True,0.06937,192912008855199,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
ETH,2738.6,0.0723,B,1740234306623,2025-02-22 22:25:06.623,0.0,Open Long,0.0,0x8461687926215d31ae67041e40ee6901d9007a1b6ac0321c2ba66d9209a4ac13,74106621023,True,0.0693,932467603151638,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
TRUMP,16.524,11.9,B,1740237902869,2025-02-22 23:25:02.869,0.0,Open Long,0.0,0x9e9fcaa8f5e0174939ab041e419921018c005591162cd94619222f414e0dd103,74114238049,True,0.068822,102395442317810,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
AIXBT,0.21682,913.0,B,1740238329516,2025-02-22 23:32:09.516,0.0,Open Long,0.0,0xa7088976d323e4632dfb041e41ad9802027f00a2bf968e134a39d10104f120ab,74115386555,True,0.069284,838301411245851,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
DOGE,0.2457,271.0,B,1740239322665,2025-02-22 23:48:42.665,0.0,Open Long,0.0,0x05d75f3cac10cb7ce8ed041e41dcaf02014900f879d9821d37687da7d962afc8,74117870883,True,0.023304,470746089797154,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
AVAX,25.905,1.2,B,1740240306675,2025-02-23 00:05:06.675,0.0,Open Long,0.0,0x8e732dfffb98e712bcaa041e420c47020163001575b2be9cfbe7ee1a7e2ba210,74121085637,True,0.01088,104630574967125,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
AI16Z,0.39197965,293.2,A,1740257593731,2025-02-23 04:53:13.731,586.5,Close Long,2.410002,0xce1dbbe357245ed8037a041e4547ba01f700e159537d752da91d54f0d5504064,74160033739,True,0.040224,609873384796303,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
ETH,2770.5,0.0361,A,1740257608588,2025-02-23 04:53:28.588,0.0723,Close Long,1.15159,0x7010c081a815bbaa4193041e454882019b0065ce5b951acbeed14baa3a4973a4,74160057020,True,0.035005,463952293471319,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
AAVE,247.57,0.12,B,1740257683148,2025-02-23 04:54:43.148,0.0,Open Long,0.0,0x9bab88d689a47104cd5b041e454c1f0168000b644d24f45063288841d59db0e5,74160165550,True,0.010397,944745272742587,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
AIXBT,0.22033,913.0,A,1740262453058,2025-02-23 06:14:13.058,913.0,Close Long,3.20463,0xa63f8d56cef8c8243280041e463041020170004cda668f80d132704f73e7b355,74168131702,True,0.070406,505148171805193,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
AI16Z,0.3975,293.3,A,1740262472947,2025-02-23 06:14:32.947,293.3,Close Long,4.029942,0xba49616cac2f117f47a7041e46315c01590082d695c649a1bb3e7f30abc24160,74168165316,True,0.040805,742814674735192,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
VIRTUAL,1.2625,157.4,A,1740262527309,2025-02-23 06:15:27.309,157.4,Close Long,0.72404,0xa4b10137f9b8fcb65058041e4634190202e900b9e51d67df0c5f72c538db264f,74168269903,True,0.069551,240515273833361,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
FIL,3.4409,47.1,B,1740266295623,2025-02-23 07:18:15.623,0.0,Open Long,0.0,0x6df83c6ce6ee25dbcd71041e46e692019d00ebc04f7046017efd2130a18f3ce9,74173694348,True,0.056723,960579929452678,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
ENA,0.43601,247.0,A,1740282347126,2025-02-23 11:45:47.126,0.0,Open Short,0.0,0xfb10a964e8a285b03c57041e49dcf602017e004bd06cfbab504aec7d52803cf6,74201798312,True,0.037693,324603039189452,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
LINK,17.877,9.0,B,1740289577416,2025-02-23 13:46:17.416,0.0,Open Long,0.0,0x732442f38fca4d09f74e041e4b33020201f3002311e379822683f7c9b6c11104,74213456853,True,0.056312,707127087521436,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
CRV,0.51206,284.2,B,1740296113703,2025-02-23 15:35:13.703,0.0,Open Long,0.0,0x759d9f9366f994851ea9041e4c68e90201ce00838ffec653a5d10d6883571e05,74224692570,True,0.050934,148459276786153,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
ETH,2795.0,0.0362,A,1740310241963,2025-02-23 19:30:41.963,0.0362,Close Long,2.04168,0xa777f95d2f8147d50d19041e4f06ad015100981c53d72320ee822b598ecee5ea,74249040515,True,0.035412,643261268127284,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
AVAX,25.08,3.65,A,1740312578516,2025-02-23 20:09:38.516,1.2,Long > Short,-0.99,0x5518ff1c6fa042c86905041e4f7787017400cfba0e3736453fa26ae4ff0f25f6,74253553697,True,0.032039,175056199231830,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
TRUMP,16.02,18.6,A,1740321379323,2025-02-23 22:36:19.323,11.9,Long > Short,-5.9976,0x5aeb8f85399f0355fb6d041e5119a102021200fdc597ccbf726f494f95725a02,74271634664,True,0.10429,1082455296302363,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
FARTCOIN,0.32122,524.8,A,1740324726703,2025-02-23 23:32:06.703,524.8,Close Long,-29.672192,0x0c0123070da0578f1216041e51b99d02038d0020df2e740ac4d79c566276a1fc,74277664724,True,0.059001,1111873754500284,USDC,,0xe4b0a244918c943ca92de3cc112571b0eb9b14b9,,
