币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,98.622,3.19,B,1705051106076,2024-01-12 17:18:26.076,0.0,Open Long,0.0,0x696b49ca5df8eaaa24ce04071d2e1501a00046f26bcd8ac37e6c6431bbc7db8c,6909265635,True,0.078651,643575659339772,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
SOL,87.967,3.31,B,1706241706395,2024-01-26 12:01:46.395,3.19,Open Long,0.0,0x8b8dc72fb4c9f0bc9e18040752bbdc0176006ac629f0398890220e95bf63e4a0,8135059255,True,0.072792,515030948003760,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
SOL,99.34,6.5,A,1706849467283,2024-02-02 12:51:07.283,6.5,Close Long,39.93535,0x4b6772806db5f9c7156c04076e47e101040032ef944558dc963eaab4d3767954,8671129131,True,0.161427,2960583543780,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
SOL,99.326,9.54,A,1706849498996,2024-02-02 12:51:38.996,0.0,Open Short,0.0,0xd6ca6da073a083d9caef04076e483d01700015e5d07eff64a84fe77e0184e16b,8671151556,True,0.236892,124659211192193,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
SUI,1.469,160.0,B,1707089079499,2024-02-05 07:24:39.499,0.0,Open Long,0.0,0x49531aeaa057d2852a9f0407791ecd015800cc158746e386899d1a310967de50,8799864791,False,-0.0047,362050470647768,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
SOL,93.69,9.54,B,1707216286520,2024-02-06 18:44:46.520,-9.54,Close Short,53.76744,0x180d66324e1fac4c165e04077ed587020214006bb2943d98e2d2138c310e413c,8935650444,True,0.22345,39315915903893,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
SUI,1.5321,160.0,A,1707308616709,2024-02-07 20:23:36.709,160.0,Close Long,10.096,0xe925584bc6895be6b634040782f03f013100e1919722b1724179aa0b0ca43757,9021190256,True,0.061284,110048693410339,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
JUP,0.56651442,1515.0,B,1707315551561,2024-02-07 22:19:11.561,0.0,Open Long,0.0,0xe332f670680d14a5a0fd0407833e9702011900d070daebff1ba9ab6ee5e93337,9027839466,True,0.214567,981213621976677,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
JUP,0.57653,1515.0,A,1707316271197,2024-02-07 22:31:11.197,1515.0,Close Long,15.17424,0xe06f300cf09f12c9410004078346de0201350027b185f30a7b1c2cb01208f68c,9028591338,True,0.21836,746167302592232,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
JUP,0.57334248,1478.0,B,1707318257959,2024-02-07 23:04:17.959,0.0,Open Long,0.0,0x461051fcc71acb2d90190407835ce201a700dda79d3be784caa9e30d0f459d0d,9031267634,True,0.211849,43912252217815,USDC,,0xe569d51df593a2f896b51aecdf18fdfee87da2bc,,
