币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,3522.4,0.5097,B,1709206488783,2024-02-29 19:34:48.783,0.0,Open Long,0.0,0xf42a8375912903e59cf70407d52b2301a00055a8f7eb2e26752c88c115537961,11378251092,True,0.448841,946983171923113,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
BTC,63410.31350114,0.00437,B,1709206583474,2024-02-29 19:36:23.474,0.0,Open Long,0.0,0x351ab1e1b66c18a7767f0407d52c25014800a1d2adf45e9a9f1e05e1081124fc,11378415182,True,0.069273,1120367156363659,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
TAO,632.78581731,1.456,B,1709206623750,2024-02-29 19:37:03.750,0.0,Open Long,0.0,0xa1c04801f8bc5a914f2a0407d52c9a0201600049a17e3b0a62091c113dce6f93,11378475458,True,0.230333,487267500815750,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
ARB,2.0214,268.7,A,1709206663388,2024-02-29 19:37:43.388,0.0,Open Short,0.0,0xee54e189fcb8a7dc33d10407d52cfe017b006eec83466f07c2bfa921c250447f,11378550910,True,0.135787,127844355373862,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
SUI,1.6782,282.2,A,1709206786546,2024-02-29 19:39:46.546,0.0,Open Short,0.0,0x22d11a04cfae6c79e76e0407d52e520201440101a2e49ba6ffa518cd23ff2343,11378709400,False,-0.009471,333820445907281,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
WLD,8.0001,49.8,B,1709207050779,2024-02-29 19:44:10.779,0.0,Open Long,0.0,0xa20cfab87e8ee8b64e540407d531180123005129982ca4cbcfe859515fb09db5,11379147103,True,0.099601,426999028432397,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
ARB,1.9932,268.7,B,1709290570460,2024-03-01 18:56:10.460,-268.7,Close Short,7.577032,0x8d2b520a66117cf401f60407d8bac1012e005ad2b820efc243d34b4c17135ea7,11513073527,True,0.133892,828386438179434,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
SOL,134.19,2.19,B,1709290942670,2024-03-01 19:02:22.670,0.0,Open Long,0.0,0xa140d42c2eedca97273f0407d8befb011c00680f7c1ccb32c2082cb085c7549b,11513650507,True,0.073469,294763990080885,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
SUI,1.7034,282.2,B,1709291659182,2024-03-01 19:14:19.182,-282.2,Close Short,-7.11144,0xebf1cce3a35d24775e960407d8c6fc010d0061422f680c19af537cf140cfac40,11514689562,True,0.120174,53863791779070,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
STX,2.9524,29.1,B,1709291693277,2024-03-01 19:14:53.277,0.0,Open Long,0.0,0xb4703722f2d9861619b30407d8c77102016500a905adcd3de7abcdbf45d65090,11514717289,False,-0.001717,496262308759337,USDC,,0xe5e2af57cf42235d84ae02a849d842810eb0d189,,
