币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
POPCAT,0.7281,97.0,B,1724685065290,2024-08-26 23:11:05.290,0.0,Open Long,0.0,0x948eb1ff8554e4e8afbd041048def40181001557234f0486b24582fa485c4fbc,35538471949,False,0.007062,286090829581369,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
POPCAT,0.69265,97.0,A,1724694411834,2024-08-27 01:46:51.834,97.0,Close Long,-3.43865,0xd688c3c51873adb7073804104b2101000090dafea80793584ced3b281ce69575,35538471950,True,0.023515,862846606251713,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
SEI,0.3409,450.0,B,1724695552915,2024-08-27 02:05:52.915,0.0,Open Long,0.0,0xf4cb077af726c015859504104b67990171001747eb0efa1eafc4d8b10c484f07,35521888981,False,0.01534,845235622783102,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
CRV,0.3187,350.0,B,1724726010502,2024-08-27 10:33:30.502,0.0,Open Long,0.0,0x50482608cc5ae3dd6dde041052c0280164001635fd46bdbbe90f2446af483742,35676908493,True,0.03904,410184237361505,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
CRV,0.3101,350.0,A,1724751724645,2024-08-27 17:42:04.645,350.0,Close Long,-3.01,0xcba9168d314c72a08a15041058f04a01a800ece3c76399503dc41b55482400b1,35708638386,True,0.037987,586366738075325,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
SEI,0.33455,450.0,A,1724751726308,2024-08-27 17:42:06.308,450.0,Close Long,-2.8575,0x01c4dbdc25048267cce1041058f0640198006707cbfd2efb84b6bdd66968f9b0,35708640821,True,0.052691,953904717707280,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
POPCAT,0.71689,40.0,A,1724828980296,2024-08-28 15:09:40.296,0.0,Open Short,0.0,0x18d32c2cf21f03bcb13c04106b99110164006ab3046c7171c86749b525ca2d96,35849026619,True,0.010036,583515123008703,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
POPCAT,0.70412,40.0,B,1724913347115,2024-08-29 14:35:47.115,-40.0,Close Short,0.5108,0xd33e06414548bf1f9e1304107ffbf9016100ed410aa74d885256973750ff0b6b,36015269423,True,0.009857,461930596877724,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
POPCAT,0.7023,97.0,A,1724942120409,2024-08-29 22:35:20.409,0.0,Open Short,0.0,0xe9a072100fd6cef7855f041086ec0b017700d157ff233caf6bed845b7ac5f90a,36061025788,True,0.023843,132449291524396,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
POPCAT,0.71499,97.0,B,1724942801813,2024-08-29 22:46:41.813,-97.0,Close Short,-1.23093,0xb769e44ab5d98df728730410871610014800dfa71cb7b37aa7ff963d22510495,36062325321,True,0.024273,989040198704737,USDC,,0xe79d715a6a416c7918cc3e0a5c99315b483ff94e,,
