币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SUI,2.2645,1324.8,A,1731093471802,2024-11-09 03:17:51.802,0.0,Open Short,0.0,0xe5453f5c23a7e27ab4040416505cc101d60036d172b363df21792b43ffc04238,45472946706,True,1.050002,339376939428,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
ETH,2966.7,0.1692,B,1731093494118,2024-11-09 03:18:14.118,0.0,Open Long,0.0,0x3242b7db97894f01d1530416505e1e02019000bdc0bd97106b984e6e894bcbb5,45473001569,False,0.050196,973240256233953,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
ETH,2966.7,1.8532,B,1731093494319,2024-11-09 03:18:14.319,0.1692,Open Long,0.0,0xa7ed20e85010350eeb4c0416505e21020122000fa786f55ab99609056e2a2216,45473001569,False,0.549788,815960595049307,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
MEME,0.010944,161070.0,B,1731093559976,2024-11-09 03:19:19.976,0.0,Open Long,0.0,0x28ed0f3803d5f5a3e5ab041650622c01fe00b81479eb527a286210d085ba7b84,45472913325,False,0.176275,101499112335868,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
MEME,0.010944,113052.0,B,1731093560023,2024-11-09 03:19:20.023,161070.0,Open Long,0.0,0x2466f9356e6b07c399ab041650622d0106008a53d997c38ca69b3c86e125cfbf,45472913325,False,0.123724,592332556995506,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
ENA,0.49717737,5144.0,A,1731093571796,2024-11-09 03:19:31.796,0.0,Open Short,0.0,0x1ba0209446cd2c7576d804165062e60161001e2e22a2b3532027b2c4646fc360,45473223690,True,0.895116,900938910829921,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
BTC,76891.0,0.15603,B,1731093600616,2024-11-09 03:20:00.616,0.0,Open Long,0.0,0x14c1e97a5fab670a12f104165064b1020200000d9292d33066dd996c03d86d3b,45473291381,True,4.199055,293695388754329,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
DOGE,0.19618,15287.0,B,1731093626251,2024-11-09 03:20:26.251,0.0,Open Long,0.0,0x91a28b334e9af64d0649041650664c019e00b1df76b5626653f307e0151b2ef4,45473362436,True,1.049651,879163086088592,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
SCR,0.68100998,7331.9,B,1731093708262,2024-11-09 03:21:48.262,0.0,Open Long,0.0,0x721e45d124da8bc485d10416506b5e013a00e299681a4c6759f427049a851a6f,45473542213,True,1.747581,533188700379595,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
APT,9.71301498,537.24,A,1731093779713,2024-11-09 03:22:59.713,0.0,Open Short,0.0,0x44a7cc4c51acba5692630416506fc801e9001014f0f060b149fed92e301a5c27,45473665158,True,1.826376,518604772113060,USDC,,0xe915d951a996d97fbe79cf899a30a3cd1e5d294d,,
