币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ONDO,0.22941,2397.0,B,1707614847307,2024-02-11 09:27:27.307,0.0,Open Long,0.0,0x8e2e95c374ff5a11254a040790814101e200b83cbaa2a6ad2d7d8a7d02490ece,9330398477,False,-0.010997,917697104127357,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
BTC,48298.0,0.00439,B,1707628634770,2024-02-11 13:17:14.770,0.0,Open Long,0.0,0xf2377092c6364c8008ee0407911ff301fc00c93fc43cb6491ee6a86d9492945e,9343646970,True,0.053007,739553514380654,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
ONDO,0.22843,2397.0,A,1707628659324,2024-02-11 13:17:39.324,2397.0,Close Long,-2.34906,0x5c81d19ef1a3b08584bc040791204501bc0064d30a6555118f5791f9f0f62a78,9343664241,True,0.136886,1047867715281676,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
BTC,48295.0,0.00012,B,1707628693414,2024-02-11 13:18:13.414,0.00439,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,9343685480,False,-0.000115,821490864314888,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
BTC,48295.0,0.00929,B,1707628800735,2024-02-11 13:20:00.735,0.00451,Open Long,0.0,0xf2eb5169d49510ff4b7d04079121fe010700ffcf1106728dfc0c5090f5b75569,9343685480,False,-0.008973,759979986564354,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
DYM,7.4834,42.3,B,1707633917772,2024-02-11 14:45:17.772,0.0,Open Long,0.0,0x7f2a7d6b27549350033d0407915c9501a3009b5b455d93e0d1c44b4c4107999a,9348247911,False,-0.00633,728195609822468,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
PANDORA,19300.0,0.00643,B,1707635851640,2024-02-11 15:17:31.640,0.0,Open Long,0.0,0x1e4d509991071fbd22cf040791728b01ed0052ed8d3fef54f983426bda3f7f08,9349359026,False,-0.002481,474392871306981,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
PANDORA,15624.11041991,0.00643,A,1707697772359,2024-02-12 08:29:32.359,0.00643,Close Long,-23.63597,0x1040b9b4a61f9eb986590407942d06011c001370b458d4f90d0691ac9db42a9b,9409402464,True,0.025115,987749552734065,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
JUP,0.48162,223.0,B,1707734080433,2024-02-12 18:34:40.433,0.0,Open Long,0.0,0xb81e32f29af063f8306b040795c508012d0008b543f6117979131597966b9a88,9445458298,False,-0.002148,800822623614228,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
JUP,0.48162,2196.0,B,1707734082235,2024-02-12 18:34:42.235,223.0,Open Long,0.0,0xdc2a2c5e3fb5fc38bae4040795c50f01d700d5fe92e6d024daeb5a42ef39d40a,9445458298,False,-0.021152,74697803369594,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
BTC,50155.5942029,0.0138,A,1707784435936,2024-02-13 08:33:55.936,0.0138,Close Long,25.66378,0x8d7712c524624dab5f73040797f26e010f00c69b1e2e3a3a35ac296dfcf3bff4,9506064089,True,0.173032,731413743519547,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
JUP,0.51649,2419.0,A,1707784441972,2024-02-13 08:34:01.972,2419.0,Close Long,84.35053,0x2c94dde8c80a39acadec040797f27e01ca00cefcf5642d0ca0249ac5a987b6ac,9506068826,True,0.312347,815450935728101,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
DYM,7.2244,42.3,A,1707784446457,2024-02-13 08:34:06.457,42.3,Close Long,-10.9557,0x211950d0b0957e4cbf82040797f28a013000d297657cbb48f0becbff6bd58c0b,9506073653,True,0.076398,957502717103492,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
W,0.95993314,2856.3,B,1707784524083,2024-02-13 08:35:24.083,0.0,Open Long,0.0,0x0df90d9ea78bc20b3a82040797f36202012700b985cd616a273601bd6ce3af65,9506174575,True,0.685462,194555176935434,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
W,1.00800454,2856.3,A,1707949743174,2024-02-15 06:29:03.174,2856.3,Close Long,137.315322,0x1596a77465455cb86ff904079f227c0118006757c9da3dca8a155a78dd0b3003,9673832850,True,0.719788,1061260467219319,USDC,,0xead74ca92880d5d8eab219b13a384c9c1944c74e,,
