币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
TRB,110.5,86.19,B,1716969761391,2024-05-29 16:02:41.391,0.0,Open Long,0.0,0x75321a3932c3ca7dbf3b040a2e67d901c000fa32d5e192043278eaf7713848c8,24258693803,False,0.952399,831887090035975,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,9.05,B,1716969761426,2024-05-29 16:02:41.426,86.19,Open Long,0.0,0xf65a70310f9669aae331040a2e67da01640094c0f479dd55f65524feb7e96c1f,24258693803,False,0.100002,38943474851625,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,0.56,B,1716969761592,2024-05-29 16:02:41.592,95.24,Open Long,0.0,0x67adf0f2d05de53d183b040a2e67dc020137008a69b8a94ee36b11a268699a60,24258693803,False,0.006188,938481193456270,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,0.92,B,1716969761834,2024-05-29 16:02:41.834,95.8,Open Long,0.0,0x39e4e5fbce4f3c882fc7040a2e67e001a50064a6d8d1991236f4cb623090088d,24258693803,False,0.010166,626827824325341,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,28.34,B,1716969761994,2024-05-29 16:02:41.994,96.72,Open Long,0.0,0xdaa637becdce9c6ed585040a2e67e201d100a5d9500d70df0414dfde25f33aca,24258693803,False,0.313157,532394464106551,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,9.24,B,1716969763909,2024-05-29 16:02:43.909,125.06,Open Long,0.0,0x1f3979da664650f198df040a2e6800015c00407d37b54b715ce46e9f6baf92e3,24258693803,False,0.102102,289418258279627,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,15.04,B,1716969764310,2024-05-29 16:02:44.310,134.3,Open Long,0.0,0x33f2c22c10290f53796e040a2e68060186005f6ee92ba9b0889d977f7f4ce5f6,24258693803,False,0.166192,1043941310285121,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,15.58,B,1716969764411,2024-05-29 16:02:44.411,149.34,Open Long,0.0,0x3e51df7757eb767718f0040a2e6807017100ffad8e7560bccb9498927baa173a,24258693803,False,0.172159,518883298313682,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,8.73,B,1716969765939,2024-05-29 16:02:45.939,164.92,Open Long,0.0,0x85a259ead16d5dc35e37040a2e681e016e00c53768865f32ec9bb6735151a134,24258693803,False,0.096466,1060288359739618,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
TRB,110.5,7.52,B,1716969769409,2024-05-29 16:02:49.409,173.65,Open Long,0.0,0xbc186a01ec64964f49a6040a2e685601360084d882b650230b52680cc6b44c43,24258693803,False,0.083096,883598258555050,USDC,,0xefbd2a8e984ef3ddcdaa119f3463a18fb2979435,,
