币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2770.1,0.3245,A,1749711705593,2025-06-12 15:01:45.593,0.0,Open Short,0.0,0x59254482a0eda41ae29104255710d70201f800057307946882a82f01c628b513,101843089405,False,0.134834,191538857168231,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2770.1,0.0868,A,1749711706087,2025-06-12 15:01:46.087,-0.3245,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,101843089405,False,0.036066,961506588158196,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2770.1,0.0274,A,1749711711189,2025-06-12 15:01:51.189,-0.4113,Open Short,0.0,0x145e15757487a502667e042557112302026800a4e5049924fb471c6724679a07,101843089405,False,0.011385,145779951185850,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2770.1,0.6699,A,1749711712720,2025-06-12 15:01:52.720,-0.4387,Open Short,0.0,0x2ff5d1855c1cc248d4eb042557113a015500d74ff7ab4de2513ac997772ac44b,101843089405,False,0.278353,1049882508701162,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2770.1,0.7684,A,1749711712802,2025-06-12 15:01:52.802,-1.1086,Open Short,0.0,0xdd001bf155c0ad130b14042557113b0201650071cfec31ab976c396110de54c5,101843089405,False,0.319281,967858041716360,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2759.2,1.877,B,1749713244169,2025-06-12 15:27:24.169,-1.877,Close Short,20.4593,0x2c49df950d7aa0b1a5f60425575f1a0201480003afa3ce6d9a6ed4b1ccf4c06c,101848357255,True,2.330556,14962369249879,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2755.3,1.9555,B,1749713605648,2025-06-12 15:33:25.648,0.0,Open Long,0.0,0x62a67d5f81e5474f787204255771570208ba00c77ce9b2297af30b37f73e7000,101848736048,False,0.808198,103970393814123,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2770.0,1.9555,A,1749740762501,2025-06-12 23:06:02.501,1.9555,Close Long,28.74585,0xa2e4682dad00e9b24cb604255cdef6010a00baa1f7fafbc88bd81bea03bfba3b,101860459641,True,2.43753,983082590433427,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2753.3,2.0434,B,1749742648513,2025-06-12 23:37:28.513,0.0,Open Long,0.0,0xcd5d01a428baedf8a29b04255d3fcf02016b001e455908128db44648ed679ad4,101957319009,True,2.53174,859425573797009,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2730.6,0.4241,B,1749744416814,2025-06-13 00:06:56.814,2.0434,Open Long,0.0,0x21731179f4b79fa778ea04255d990001710015a9abf5898b854c14543a0370ab,101966879475,True,0.521121,865210530427698,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2571.0098885512,2.4675,A,1749773454647,2025-06-13 08:10:54.647,2.4675,Close Long,-440.152925,0xfca0459c0befea653c170425635eff01010097b3aa7eaefbda744a1b025e21da,102084103179,True,2.854783,18547885413798,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,"{'liquidatedUser': '0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218', 'markPx': '2573.3', 'method': 'market'}",
ETH,2518.9,0.9182,A,1749977861759,2025-06-15 16:57:41.759,0.0,Open Short,0.0,0xa84a191bd28e91af4dc504258b454301b600abc2e3789e869c95cce633af4fba,102772395099,True,1.040784,488254061392028,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2592.8,0.9182,B,1750051596282,2025-06-16 13:26:36.282,-0.9182,Close Short,-67.85498,0x4a61a75b52e88fef5ca8042599b0cb02017c0091cf241828cbabdcb2dca3218c,102994483757,True,1.071319,181869727160973,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,"{'liquidatedUser': '0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218', 'markPx': '2592.4', 'method': 'market'}",
HYPE,34.4,6.68,B,1750479939312,2025-06-21 12:25:39.312,0.0,Open Long,0.0,0xe0c35f58e867c1867edd0425ed97c602011e0072706bdd3006898427567674af,104543405822,False,0.034468,873252140293921,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
HYPE,35.164,6.68,A,1750505068657,2025-06-21 19:24:28.657,6.68,Close Long,5.10352,0xd589b51238bb63b3e8440425f2562f0201eb00c55ee7b84a2b5e33175a3bd46f,104612831821,True,0.105702,188462990009894,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
BTC,102215.0,0.00997,A,1750563693700,2025-06-22 11:41:33.700,0.0,Open Short,0.0,0xbb1946f5ff0deeb3ac890425fda7bd02032a00fb82e8e754ed0ed113c2609310,104880429653,True,0.458587,643357792786918,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
BTC,102000.0,0.00997,B,1750598308829,2025-06-22 21:18:28.829,-0.00997,Close Short,2.14355,0x60de692b5cbe471b362a04260462b201cf0031b69c2a0a046f42bb72085b1b6f,104973454327,False,0.152541,15402909456167,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
BTC,100905.0,0.00516,B,1750599233580,2025-06-22 21:33:53.580,0.0,Open Long,0.0,0x14c75355a982929b27850426048e10020c9100fae41e6bb436ef48d388fd08d2,105037215594,True,0.234301,218271970311333,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
BTC,100270.0,0.00116,B,1750599792001,2025-06-22 21:43:12.001,0.00516,Open Long,0.0,0x2016a730d92e60c82cd3042604a8c20202da004aa02effc7d4c4115167ca3af2,105041963733,False,0.017446,197724868382833,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
BTC,101628.0,0.00632,A,1750657687236,2025-06-23 13:48:07.236,0.00632,Close Long,5.306272,0x7067bde11cd170cff21404260fd59c0202390086759154a9d9227396054f0840,105327261766,True,0.28903,791611059810883,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
BTC,106890.5168007571,0.02113,B,1750843541333,2025-06-25 17:25:41.333,0.0,Open Long,0.0,0x2f02b830407252a94f2404263444a502018d00dfc1a0d4222fb6c2e6164a1637,106124504124,True,1.016354,567579964502081,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
BTC,106946.0,0.02113,A,1750848168746,2025-06-25 18:42:48.746,0.02113,Close Long,1.172715,0xe2243b61a95b3a53274e0426352d0601fa00ac46e5fd259cd782a7dd2c8945c6,106142578734,True,1.016895,70567085475425,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,2434.2956831427,0.4633,B,1750860240132,2025-06-25 22:04:00.132,0.0,Open Long,0.0,0x3c4b1898fe7bdc707c880426378b4502018100194bc1865b76d512b2ffa8eace,106189870617,True,0.507513,433046128852370,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
ETH,3012.6,0.4633,A,1752229476975,2025-07-11 18:24:36.975,0.4633,Close Long,267.931023,0xe4ac0b594ff7caa87f3f0427463cb10202ee000caa72a77b65747b9b217adcb4,112038508449,True,0.628081,287828794368982,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
PUMP,0.0057754456,84782.0,B,1752326161705,2025-07-12 21:16:01.705,0.0,Open Long,0.0,0xe3285e22fc86c1d107560427594b7c0201ab00ee0191fb7e4975f77dc38b0751,112687938362,True,0.220343,456138447886568,USDC,,0xf2d6fe0c85ed598c7b49eb4bbc72ff89dc4c4218,,
