币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,101407.0,0.01,A,1738612001030,2025-02-04 03:46:41.030,0.0,Open Short,0.0,0xe3bf5ba3ae02c06bfe18041d13b8c702019f0000e317b75b704e2e1d4c5658e1,69151787582,False,0.101407,898162312680969,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,101648.0,0.01,A,1738612252590,2025-02-04 03:50:52.590,-0.01,Open Short,0.0,0xb9eaf32c03a732a82684041d13c49702050100997f66df09dec825e89717c98f,69152996965,False,0.101648,228230598367731,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,101889.0,0.01,A,1738612798982,2025-02-04 03:59:58.982,-0.02,Open Short,0.0,0xf854d7bb03a512c6e7e8041d13ded20201f900d2249e0e1bf220090490330c3b,69156283911,False,0.101889,746153180638309,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,101421.0,0.015,B,1738613145516,2025-02-04 04:05:45.516,-0.03,Close Short,3.405,0x9a2ffc038a2ec13ddd35041d13f03b0202ba000526ed0a13452a983c651fb928,69158526694,True,0.53246,463490021025188,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,101305.0,0.0075,B,1738613159929,2025-02-04 04:05:59.929,-0.015,Close Short,2.5725,0xdbae96455987068aa911041d13f0e202027200f8e35da8d6553920993eb3f7c7,69158609474,False,0.075978,46084041803720,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,101051.0,0.0075,B,1738613298789,2025-02-04 04:08:18.789,-0.0075,Close Short,4.4775,0xf9fdfc9f22add64147f1041d13f77d0201590059f99b5641b97cf764a801b1f6,69159452905,True,0.265258,754314543932076,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,98566.0,0.01,B,1738655527573,2025-02-04 15:52:07.573,0.0,Open Long,0.0,0xee6884b60986fe1b39c9041d1bea410203450074b01257a9f1d554041259d0b7,69346892964,False,0.098566,406226980767422,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,98055.0,0.03,B,1738658273373,2025-02-04 16:37:53.373,0.01,Open Long,0.0,0x624df400bae31cb22e37041d1c6e450202bf00a8a73208e9bd80aa789d9f7dd8,69361454430,False,0.294165,322426938941976,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,98000.0,0.04,A,1738658621178,2025-02-04 16:43:41.178,0.04,Close Long,-7.308,0xdb90703aa54eeda8739f041d1c7e8a0118006c90cfa8eba88ae89b38399853a0,69362213554,True,1.372,316238019141110,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,98909.0,0.01,B,1738690174698,2025-02-05 01:29:34.698,0.0,Open Long,0.0,0x15103b0fb0621d51cc41041d226df90178003848b415dae40f4939d87d00bffe,69523563842,False,0.098909,320482809334528,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,99128.0,0.005,A,1738690244845,2025-02-05 01:30:44.845,0.01,Close Long,1.095,0x6df4cb0f6251f6d473e9041d2271480201c0005fbce6e0e164c01d8ae87efefc,69523998522,True,0.173474,76349331249608,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,99131.0,0.00248,A,1738690267667,2025-02-05 01:31:07.667,0.005,Close Long,0.55056,0x18bb7c75e39bd029fa6b041d22726702029400d807990c282fea4d8ce0a8dc67,69524094644,False,0.024584,600967804353596,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,99131.0,0.00252,A,1738690268409,2025-02-05 01:31:08.409,0.00252,Close Long,0.55944,0xa067361c1820ed8cb921041d22727202010800a1981b8b2320a28abda4443dd3,69524094644,False,0.024981,36972910979770,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,97320.0,0.02,B,1738948765295,2025-02-08 01:19:25.295,0.0,Open Long,0.0,0xb78e2f2276dbd5bfc42a041d52dcf202010300ac596dbc23702b7a6a9ec49291,70526040365,False,0.19464,951414214961516,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,97605.0,0.01,A,1738951521026,2025-02-08 02:05:21.026,0.02,Close Long,2.85,0xbbdfd4f4db84bc251299041d5362f602040a001fa825b81cfaeee4fb0a5a144b,70537233069,False,0.097605,236121116414277,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,98202.0,0.01,A,1738953255804,2025-02-08 02:34:15.804,0.01,Close Long,8.82,0x6a21d75a058b0b2c1a8c041d53b7a3010600b117fbfed126208175b5825f711b,70538705731,True,0.343707,953039332871075,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,96297.0,0.02,B,1738959322537,2025-02-08 04:15:22.537,0.0,Open Long,0.0,0x4e7adaf4bb4d7d2a0e5b041d54df2a020107003240b57d75c82ce08a2904aace,70563218254,False,0.192594,477494120793781,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,95906.0,0.02,B,1738960685500,2025-02-08 04:38:05.500,0.02,Open Long,0.0,0xf5b64da32bbdde260740041d5521e9020326004ecb88b26ad0bc94388e872096,70569444992,False,0.191812,181253507713445,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,95794.0,0.02,B,1738960748912,2025-02-08 04:39:08.912,0.04,Open Long,0.0,0xe91c2f6b5b7a906bfbdb041d5524f70201c900de04c98d58b893f553e3d182a3,70569756440,False,0.191588,1002101158307467,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,95714.0,0.04,B,1738961952982,2025-02-08 04:59:12.982,0.06,Open Long,0.0,0x64c03e538b886a9dec01041d555ffb0201ab0067aae47c86e530fed2b96dc627,70575465765,True,1.339996,974350817226081,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,95984.0,0.05,A,1738962105898,2025-02-08 05:01:45.898,0.1,Close Long,4.95,0x9672abd647e3d3e64f62041d55675b02026400f7fc2bceca60175ffe185900d4,70576312959,True,1.67972,89303627459086,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,96041.0,0.00317,A,1738962161007,2025-02-08 05:02:41.007,0.05,Close Long,0.49452,0x0000000000000000000000000000000000000000000000000000000000000000,70576568755,False,0.030444,698889545637594,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,96041.0,0.01839,A,1738962161405,2025-02-08 05:02:41.405,0.04683,Close Long,2.86884,0x76eb8099b5e9dd1ad7ac041d556a2902017c0053ab3eff0f04fe07c285817cfc,70576568755,False,0.176619,471753064455153,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,96041.0,0.00344,A,1738962161641,2025-02-08 05:02:41.641,0.02844,Close Long,0.53664,0x229b2c4c9c1e77d2eb46041d556a2c01e000e0646273133cb17f2530f226ffd8,70576568755,False,0.033038,241085632215733,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,96024.0,0.0125,A,1738962879744,2025-02-08 05:14:39.744,0.025,Close Long,1.7375,0x13e5a2f5463e58d8f000041d558d1a02026e00e12b18061980603e05a2808006,70579251847,True,0.420105,1020795871617728,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,96119.0,0.0125,A,1738962998547,2025-02-08 05:16:38.547,0.0125,Close Long,2.925,0x20419e03670ddee88524041d5592e602018600a5d97e4f35349bb44497bf8d79,70579772697,True,0.42052,680492412405203,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
BTC,96748.0,0.02,B,1739067757271,2025-02-09 10:22:37.271,0.0,Open Long,0.0,0xd4fdf74aaf25a9337ca1041d6907da01f10010f8d62334dad8e4a294f777ac74,70855335932,False,0.193496,698123325854001,USDC,,0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,,
