币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
TRUMP,9.4058460876,8912.6,A,1749147171634,2025-06-06 02:12:51.634,8912.6,Close Long,-16163.391474,0xbb878b0aaac02cc68dae0424e8f1520201a500e9d4d46869009de39779d54307,100148137298,True,37.723738,440738423506307,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,"{'liquidatedUser': '0xfb15f7d596503a6496c2c443280498c830088893', 'markPx': '9.4166', 'method': 'market'}",
TRUMP,10.06,1792.0,B,1749150234610,2025-06-06 03:03:54.610,0.0,Open Long,0.0,0xd209a1aa28c0b350be7a0424e98b15020104005385061ad0f0a76c400dd7b428,100160625392,True,8.112384,260356428446494,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.79,221.8,B,1749165421250,2025-06-06 07:17:01.250,1792.0,Open Long,0.0,0x291a6addced399f943420424ec76230204ab007df82b82496234b6cad02b76bf,100240030791,False,0.325713,360476071691340,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.79,380.6,B,1749165421371,2025-06-06 07:17:01.371,2013.8,Open Long,0.0,0xbdf277ac59fa1ecf29b30424ec76240205d1005fdcc078b360fd6f33d20e4f1e,100240030791,False,0.558911,141408284164090,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.79,538.8,B,1749165421577,2025-06-06 07:17:01.577,2394.4,Open Long,0.0,0xe9f0817c33b52f14e8700424ec762602088d00c63945d4e8ff77cf03b2149272,100240030791,False,0.791227,731185251936307,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.79,2.0,B,1749165440228,2025-06-06 07:17:20.228,2933.2,Open Long,0.0,0x28fd75fb3a8fcc202cfc0424ec771f01e0006a4a87f0187a2f6eb47bd030aaaa,100240030791,False,0.002936,342052209417064,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.79,168.1,B,1749165445439,2025-06-06 07:17:25.439,2935.2,Open Long,0.0,0x8395d9a26ef50cff1e620424ec775a02034200a7396b552f8c13e605bb67bd6e,100240030791,False,0.246854,689351126590836,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.79,98.5,B,1749165445525,2025-06-06 07:17:25.525,3103.3,Open Long,0.0,0x7804270654f855afef960424ec775b02049100a897eec1169d5cf1562cf2b6ba,100240030791,False,0.144647,985437886745208,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.79,164.8,B,1749165446447,2025-06-06 07:17:26.447,3201.8,Open Long,0.0,0x40fa55198ea20fa21d0a0424ec776802010b00a3558cf1781b4805c346e4f2b3,100240030791,False,0.242008,693837654376449,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.8606,128.3,B,1749215799921,2025-06-06 21:16:39.921,3366.6,Open Long,0.0,0x8c95dd3c82074d5878d50424f653f202032e00294ed638e0647eddff6450775c,100389780531,False,0.189767,359931886533784,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.8606,21.1,B,1749215874067,2025-06-06 21:17:54.067,3494.9,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,100389780531,False,0.031208,361837691500794,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,9.8606,2.2,B,1749215874196,2025-06-06 21:17:54.196,3516.0,Open Long,0.0,0x6529a385c7211b5dd1370424f657cb02011c00b770d32e63cfdc466628a3db77,100389780531,False,0.003253,93773420894352,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,1.1,B,1749510254082,2025-06-10 07:04:14.082,3518.2,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,101148614851,False,0.001788,892341405538891,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,9.4,B,1749510262204,2025-06-10 07:04:22.204,3519.3,Open Long,0.0,0x96706993818a7ed4d4e704252ef76502038d00a4ee7d8a57b4cd262064a0ed45,101148614851,False,0.015282,87587592711742,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,9.3,B,1749510263364,2025-06-10 07:04:23.364,3528.7,Open Long,0.0,0xa20f2ab32bb80da893c004252ef7770201880008029394fe2c61398dcec07c0c,101148614851,False,0.01512,810597254667762,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,1.1,B,1749510265047,2025-06-10 07:04:25.047,3538.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,101148614851,False,0.001788,182277170290792,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,9.3,B,1749510273069,2025-06-10 07:04:33.069,3539.1,Open Long,0.0,0x40387352d2434e6008dc04252ef7fc02021500317e48d9955a35bef4be25e8ce,101148614851,False,0.01512,576630315803704,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,92.2,B,1749510277142,2025-06-10 07:04:37.142,3548.4,Open Long,0.0,0x4254f003988c54ae5c4904252ef8330201e9005b62f4747790992f2ccc3b6c86,101148614851,False,0.149903,59697377040167,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,184.5,B,1749510277216,2025-06-10 07:04:37.216,3640.6,Open Long,0.0,0x72d39414bbb1dc150c6f04252ef8340201cf0074fe95c4fa9146c01b8de41004,101148614851,False,0.299969,54586358047881,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,922.5,B,1749510278390,2025-06-10 07:04:38.390,3825.1,Open Long,0.0,0x211b94ccc9220d398c4404252ef84201a20085a1e00100dcdfc03e3ca3413bcc,101148614851,False,1.499846,883028746775702,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,9.4,B,1749510278452,2025-06-10 07:04:38.452,4747.6,Open Long,0.0,0x286d9609eeab944d4bed04252ef84302010300a8810ab713a462f06adf336295,101148614851,False,0.015282,530534345768601,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.839,297.0,B,1749510279887,2025-06-10 07:04:39.887,4757.0,Open Long,0.0,0x78c77aece7ff98706d1504252ef85602033e001a404aafd5c26a31aaf58bfcbf,101148614851,False,0.482877,196727560161149,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
TRUMP,10.1810139433,6103.3,A,1749757874077,2025-06-13 03:51:14.077,6103.3,Close Long,-883.428608,0x009ec93503558f12c59c0425604f1c00006a50cdad9516d36d3f0f121967d95b,102015801614,True,27.961997,730841227045539,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,"{'liquidatedUser': '0xfb15f7d596503a6496c2c443280498c830088893', 'markPx': '10.193', 'method': 'market'}",
TRUMP,10.166,311.1,B,1749760459422,2025-06-13 04:34:19.422,0.0,Open Long,0.0,0xf031f3b59faed4a08c41042560d17a0206f5008e3afe8b9937b433e7459f429c,102027103332,False,0.474396,919165658684030,USDC,,0xfb15f7d596503a6496c2c443280498c830088893,,
