币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,146.06790366,25.95,B,1715672177004,2024-05-14 15:36:17.004,0.0,Open Long,0.0,0xd26166f6f8bb48eaeb1b040903e142014300600a49eaad9c625990d07bb9f941,22475615317,True,1.326659,330110971169683,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
WIF,3.1026,250.0,B,1715672285216,2024-05-14 15:38:05.216,0.0,Open Long,0.0,0x541d494a3063871b16f2040903e792017800419abf4faa2a7777bb72cc966816,22475780016,True,0.271477,198280328394111,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
WLD,5.24746075,315.7,A,1715672473364,2024-05-14 15:41:13.364,0.0,Open Short,0.0,0x98815c08ec94f229eb34040903f28c018800592857a637d9f3e83e354753a248,22476103235,True,0.579817,88322456704641,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
BTC,61933.0,0.03655,B,1715672702047,2024-05-14 15:45:02.047,0.0,Open Long,0.0,0xd996338bf730743d115e040903ffdf013200b3e58c7379fea79fe794ef473ea3,22476348780,True,0.792277,139526903254281,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
BTC,62050.0,0.07504,B,1715673579071,2024-05-14 15:59:39.071,0.03655,Open Long,0.0,0xb8efe8643fed88819ed10409043336014e009442e8ceb255511d91578dfe5ca3,22477448546,False,0.465623,768380770508231,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
WIF,2.8444,50.0,B,1715712831228,2024-05-15 02:53:51.228,250.0,Open Long,0.0,0x494112c08004c063d2f204090d22f6011600b02fbb5b09301dd536178864eeae,22548204776,True,0.049777,771879453242214,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
ADA,0.43188999,1500.0,A,1715713063705,2024-05-15 02:57:43.705,0.0,Open Short,0.0,0xccb0f4e1f34800e61d2204090d30930107007a3cbf62106777df434305c9a1f5,22548394620,True,0.226742,318339820491144,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
WLD,4.6694,78.9,B,1715713179563,2024-05-15 02:59:39.563,-315.7,Close Short,45.608934,0x9b6e711192a9219abfb604090d375a0145001d61339c7af167e9ce9a5bf9d1fd,22548509545,True,0.128945,199449804781448,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
SOL,143.97,5.0,B,1715713291544,2024-05-15 03:01:31.544,25.95,Open Long,0.0,0xf0336ffc8d457f5fd1c704090d3ddb01200055c124ed9ad9a99345f19a3ce229,22548640008,True,0.251947,454825754634691,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
ADA,0.43759,1500.0,B,1715776231135,2024-05-15 20:30:31.135,-1500.0,Close Short,-8.5515,0x8a6ef775fec02ff2886904091ba29402014100fed662d2658e1eca33363763f3,22619045140,True,0.229734,415823021501982,USDC,,0xfddd810096fde19a4d6302d2e652a6f51addf466,,
